Time (s),Roll (deg),Pitch (deg),Yaw (deg)
12.449100971,-0.0002431319,0.8744718,-0.8212103
12.548199654,-0.0002777814,0.8723283,-0.8236402
12.649775028,-0.001214891,0.8718604,-0.8264115
12.748872757,-0.002800631,0.8720061,-0.8304697
12.847971440,-0.003686628,0.8710729,-0.8332354
12.949546337,-0.005866559,0.8702804,-0.836208
13.048645020,-0.007331195,0.8698151,-0.8372658
13.147743225,-0.007508837,0.8681469,-0.8417563
13.249318123,-0.008376177,0.8658549,-0.8443046
13.348416805,-0.009052484,0.8637932,-0.8490164
13.449992180,-0.01018506,0.8632769,-0.8540733
13.549090862,-0.01120893,0.8625156,-0.8589677
13.648188591,-0.01491442,0.8619877,-0.8624983
13.749763966,-0.018616,0.8619874,-0.8664613
13.848862648,-0.01889171,0.8614442,-0.8693692
13.947960854,-0.01673573,0.8622641,-0.8734565
14.049536705,-0.0172808,0.8593482,-0.8771251
14.148634434,-0.0153823,0.8577287,-0.8775024
14.247732639,-0.01673984,0.8543743,-0.879982
14.349308491,-0.01923057,0.8535423,-0.8819153
14.448406696,-0.01663848,0.8589427,-0.8835875
14.549982548,-0.01616733,0.8593416,-0.8846821
14.649080753,-0.01656094,0.8559064,-0.8881407
14.748179436,-0.0203093,0.8567687,-0.8919891
14.849754811,-0.01679107,0.8549781,-0.8938593
14.948853493,-0.01812625,0.8560465,-0.894641
15.047951698,-0.01874904,0.8580366,-0.8976644
15.149527550,-0.01947899,0.8577895,-0.901777
15.248625755,-0.02054551,0.8552374,-0.9074134
15.347724438,-0.02265543,0.8528993,-0.9098342
15.449299812,-0.02345771,0.856065,-0.9107484
15.548398495,-0.0249796,0.858389,-0.913443
15.649973869,-0.02770169,0.8571579,-0.9158084
15.749072552,-0.02737965,0.8555766,-0.9206674
15.848170757,-0.03073699,0.8518574,-0.9232122
15.949746609,-0.03337573,0.8492353,-0.9232222
16.048844814,-0.03332143,0.8476621,-0.9234276
16.147943497,-0.03182467,0.8410567,-0.9245371
16.249519825,-0.03268138,0.8390322,-0.9267624
16.348618031,-0.0320066,0.8375701,-0.9293347
