Time (s),X (g),Y (g),Z (g)
0.000000000,0.003497611,-0.0006634422,0.001438962
0.009910107,-0.0008881346,-0.001085342,-0.002316175
0.029729366,0.002155673,-0.001045504,0.00434041
0.049548149,-0.004037043,-0.001950116,0.003495714
0.069367886,0.004553966,0.002240713,-0.003359317
0.089187145,0.0008381027,0.001825709,0.002942991
0.109006405,0.004712716,-0.00103989,0.00237659
0.128825665,0.001413611,-0.002842951,0.001473395
0.148644447,-0.001788907,0.003452491,0.003004472
0.168464661,0.00207447,0.0009924183,0.005316279
0.188283443,-0.002741965,-0.002798954,0.004912016
0.208102703,-0.002173352,-0.0004435737,0.00539347
0.227921963,-0.001743625,0.002857228,0.002523619
0.250218868,0.001113964,-0.001036577,0.0005319045
0.270038128,0.003558672,-0.0001578996,0.004804568
0.289857388,0.002096055,-0.004041899,0.008169504
0.309676647,-0.0002913983,-0.0001588129,0.006317151
0.329496384,0.001107197,0.0007248251,0.001979624
0.349315643,0.0005725702,-0.0001857952,0.0005462707
0.369134426,0.002055189,-0.003090274,0.002901305
0.388953686,0.003004378,-0.001632702,0.005286431
0.408772945,0.000992689,-0.001132489,0.004367001
0.428592682,0.006246372,0.0002843286,0.003313957
0.448411942,0.001441899,0.004687477,0.006302871
0.468231201,0.001858405,0.001291974,0.003881189
0.488049984,0.003268113,0.0003486712,0.004328463
0.507869721,-0.000193057,-0.001103746,-0.001845755
0.530166626,0.001340225,-0.0006255844,0.002443031
0.549985409,-0.001086024,-0.002486659,0.00343849
0.569804669,0.002394616,0.005716883,0.004850942
0.589624405,0.002302728,0.001372854,-0.0004424141
0.609443665,0.003366411,0.0004580911,0.005286541
0.629262924,-0.0008882068,0.001435089,0.007770985
0.649081707,0.0003602726,-0.00294325,0.0005325081
0.668901920,0.0003828993,-0.0009843147,0.0005419243
0.688720703,-0.003947413,-0.001932916,0.0001410249
0.708539963,-0.0004199496,0.0004525133,0.005839715
0.728359223,0.001337668,-0.00346877,-0.001405389
0.748178482,-0.001434693,-0.004367993,0.004877142
0.767998219,0.0006017726,0.001413694,0.005346572
0.790294647,0.003436198,-0.004908654,0.00526165
0.810113907,0.0009425561,-0.001983859,-0.0004307097
0.829933644,-0.0008478826,0.002850434,0.002505037
0.849752903,-0.001401026,-0.003426488,-0.000391091
0.869571686,0.003527858,0.001829516,0.001457698
0.889390946,-0.001694865,-0.001025119,0.006819943
0.909210682,0.0007638049,0.0008569125,0.005823453
0.929029942,-0.001219967,-0.003001211,0.002008058
0.948849201,0.002624196,-0.002091521,-0.0009385176
0.968668461,0.002130304,-0.003531025,2.264096E-05
0.988488197,0.002737625,-0.001526831,0.002419014
1.008306980,-0.004014884,-0.002540083,-0.0003299016
1.028126240,0.002409307,-0.001044767,0.006265159
1.047945499,0.003346532,0.003777279,0.003392686
1.070242405,0.003420908,-9.227377E-05,0.005291996
1.090061665,0.003392704,0.001820936,0.001945707
1.109880924,-0.001435024,0.001295939,0.0001208551
1.129700661,0.001061049,-0.00252675,0.002930762
1.149519920,0.00204153,-0.001549388,0.00243695
1.169339180,0.003091146,-0.003448088,0.003367739
1.189157963,0.001646849,0.0004241818,0.002455581
1.208978176,0.003688829,-0.001007479,0.004327872
1.228796959,0.003171284,0.0004452124,0.001947048
1.248616219,0.00131937,-0.000515252,0.002939884
1.268435478,0.001439206,0.001920904,0.006306524
1.288255215,3.296438E-05,-2.254834E-05,0.006326486
1.308074474,0.003360467,-0.0009744113,0.0033782
1.327893257,0.002460038,0.004334304,0.006777513
1.350190640,0.0009590951,0.002832729,0.001048077
1.370009899,0.001042477,-0.002949976,0.00341729
1.389828682,0.0009200611,0.001380813,-0.002314406
1.409648895,0.001901946,0.0004084255,-0.003297008
1.429467678,0.002546391,-0.001034266,0.004355902
1.449286938,0.0001247482,0.001377727,0.003457346
1.469106197,0.002980862,-0.001991159,-0.0004523807
1.488925934,0.0001452188,0.00189884,0.004897492
1.508745194,0.00101452,-0.0005715247,-0.002323675
1.528564453,0.0001991406,-0.0005397153,0.004407012
1.548384190,0.00505605,0.0008988904,0.00623328
1.568202973,0.001104269,-0.001122446,0.001508861
1.588022232,0.002636364,0.001698952,0.005328347
1.607841492,0.004329076,-0.0003282731,-0.008142142
1.630138397,-0.0001372069,0.003525266,0.0116283
1.649957657,0.0006387547,0.0005978779,-0.0003894177
1.669776917,0.004538033,0.002545036,0.001459094
1.689596653,-0.001676866,-0.0008727998,0.00204888
1.709415913,0.003673923,0.0006073423,0.003865248
1.729235172,0.004154217,-0.002798074,0.0004833734
1.749054909,-0.0005447353,0.001056464,0.006832775
1.768874169,-0.001600536,0.003920564,0.002073603
1.788692951,0.001842517,-0.0004224313,0.002941348
1.808512688,-7.221191E-05,-0.001384186,0.002017085
1.828331948,-0.0009872853,0.0005441402,0.003005668
1.848151207,0.00240391,-0.002834745,0.002439538
1.867970944,0.003343774,-0.00284164,2.300222E-05
1.890267372,0.002010168,-0.0004000654,0.004378996
1.910086632,0.002383125,-0.001851647,-0.00234908
1.929906368,0.004434562,-0.003272298,0.003355959
1.949725628,-0.002403116,0.001048197,-0.0003173223
1.969544888,0.0005369353,9.214261E-05,0.001056035
1.989364624,0.002489963,-0.002800408,0.000522006
2.009183884,0.004876859,0.000107699,-0.0009515087
2.029002666,0.003985356,-0.002769248,0.0004916174
2.048821926,0.002523425,-0.002774043,0.001001681
2.068641663,4.661428E-05,0.0001000186,-0.001330996
2.088460922,-0.003163825,-0.0008846339,0.006403641
2.108280182,0.006077127,-0.000852594,0.008130633
2.128099918,0.001700428,8.916385E-05,0.00582914
