Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.0139995,0.1220172,-0.1597527,-0.009729535,-0.001101972,0.9946629,34.20924,5.509406,-21.86667,1005.684
0.002478123,-0.04723396,0.1220172,-0.1597527,-0.009723022,-0.004030549,0.9917518,34.20924,5.509406,-21.86667,1005.684
0.004955292,0.0139995,0.2430426,-0.03742781,-0.01606052,0.001303446,0.996158,34.215,5.14271,-21.86019,1005.684
0.007432461,0.0139995,0.1825299,-0.09859026,-0.0131262,-0.001602999,0.996127,34.215,5.14271,-21.86019,1005.684
0.009910107,0.0139995,0.1220172,-0.09859026,-0.01411689,-0.001620923,0.9908228,34.215,5.14271,-21.86019,1005.683
0.012387276,0.07523298,0.1825299,-0.2209152,-0.01799875,0.0003207014,0.9966462,34.215,5.14271,-21.86019,1005.683
0.014864445,0.0139995,0.1825299,-0.2209152,-0.01509712,0.00325735,0.9966454,34.215,5.14271,-21.86019,1005.683
0.017342567,-0.1084674,0.364068,-0.09859026,-0.009241588,-0.002564916,0.992722,34.215,5.14271,-21.86019,1005.683
0.019819736,0.0139995,0.1220172,-0.03742781,-0.01166885,-0.001596621,0.9956363,34.215,5.14271,-21.86019,1005.683
0.022297382,0.07523298,-0.05952091,-0.09859026,-0.01359943,-0.003062774,0.9975702,34.215,5.14271,-21.86019,1005.683
0.024774551,-0.04723396,0.1220172,-0.2209152,-0.01215903,-0.003557381,0.9912848,34.215,5.14271,-21.86019,1005.683
0.027251720,0.0139995,0.1220172,-0.09859026,-0.01410213,-0.001610377,0.995167,34.215,5.14271,-21.86019,1005.683
0.029729366,0.1364664,0.0615045,-0.1597527,-0.01117596,-0.001589416,0.9975644,34.215,5.14271,-21.86019,1005.683
0.032206535,0.07523298,0.1825299,-0.2209152,-0.0116803,-0.0001381903,0.9946785,34.215,5.14271,-21.86019,1005.683
0.034684658,-0.04723396,0.1825299,-0.1597527,-0.01654521,0.001302101,0.9966432,34.215,5.14271,-21.86019,1005.683
0.037161827,0.0139995,0.1220172,-0.1597527,-0.01361419,-0.00307332,0.993226,34.215,5.14271,-21.86019,1005.683
0.039638996,-0.04723396,0.1825299,-0.2209152,-0.01408796,-0.003555731,0.9961222,34.215,5.14271,-21.86019,1005.683
0.042116165,-0.04723396,0.1825299,-0.2820776,-0.01362068,0.00132189,0.9985581,34.215,5.14271,-21.86019,1005.683
0.044593811,0.07523298,0.3035553,-0.2820776,-0.01361518,0.003281306,1.003395,34.215,5.14271,-21.86019,1005.683
0.047070980,0.2589334,0.0615045,-0.09859026,-0.01263881,-0.003555211,0.9932181,34.215,5.14271,-21.86019,1005.683
0.049548149,-0.04723396,0.1220172,0.02373465,-0.01749607,-0.002598329,0.9966284,34.215,5.14271,-21.86019,1005.686
0.052026272,0.1364664,0.2430426,-0.09859026,-0.01411135,0.003271758,1.000501,34.215,5.14271,-21.86019,1005.686
0.054503441,0.0139995,0.1825299,-0.1597527,-0.009751336,0.002793424,0.994683,34.215,5.14271,-21.86019,1005.686
0.056981087,0.0139995,0.1220172,-0.03742781,-0.008726832,-0.002053211,1.001893,34.215,5.14271,-21.86019,1005.686
0.059458256,0.1364664,0.1220172,0.08489711,-0.009727295,0.002321733,1.000955,34.215,5.14271,-21.86019,1005.686
