Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.186203480,95.84766,1150.03125,4.0575,273.75,0
1.240680218,95.83594,777.1875,4.056875,270.9375,0
2.119805336,95.83594,621.84375,4.056875,314.0625,0
3.174390793,95.82422,502.3125,4.06,316.25,0
4.229150772,95.8125,432.46875,4.05625,257.5,0
5.108160019,95.80078,393.1875,4.05125,260.3125,0
6.163002014,95.80078,358.3125,4.06,262.5,0
7.217683315,95.78516,329.15625,4.053125,282.8125,0
8.097041130,95.77344,309.09375,4.054375,290,0
9.151518345,95.76172,288.5625,4.056875,327.1875,0
10.207711220,95.76172,272.4375,4.055,286.25,0
11.086422920,95.75,261.84375,4.049375,285,0
12.140098572,95.73828,249.65625,4.054375,304.6875,0
13.196283340,95.72656,242.15625,4.05375,265.9375,0
14.249763966,95.72656,234.84375,4.05625,278.75,0
15.128698349,95.71484,228.9375,4.053125,282.8125,0
16.183439732,95.70313,223.21875,4.051875,274.375,0
17.238740444,95.6875,216.1875,4.04,348.75,0
18.117563248,95.6875,209.90625,4.045625,288.75,0
19.172326565,95.67578,205.3125,4.046875,304.0625,0
20.226773739,95.66406,200.53125,4.04625,358.125,0
21.105803013,95.65234,194.34375,4.049375,291.875,0
