Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-3.047674,2.058424,11.95041,0.1113003,-0.07790816,0.9897444,-18.31586,33.53114,-29.71623,1000.375
0.012386322,-2.312872,0.6666315,11.82809,0.1098298,-0.08085717,0.9815318,-18.3209,33.90505,-29.34269,1000.372
0.032204151,1.299902,-1.632851,12.37855,0.1030464,-0.07745229,0.9946188,-18.3209,33.90505,-29.34269,1000.372
0.052021980,0.6875677,-2.177466,10.78833,0.1147374,-0.07933373,0.9969585,-18.3209,33.90505,-29.34269,1000.37
0.071839809,-1.088203,0.2430426,10.1767,0.1176351,-0.07982196,0.9901826,-17.5864,34.27129,-29.7953,1000.37
0.091658592,-2.435339,0.7271442,8.402991,0.1239202,-0.08666009,0.96791,-17.5864,34.27129,-29.7953,1000.373
0.111476421,-1.21067,0.9086823,8.464154,0.1233999,-0.08913121,0.9539024,-16.85025,34.65437,-29.36121,1000.373
0.131294251,1.78977,-1.14875,9.442753,0.1293258,-0.1022363,0.9586295,-16.85025,34.65437,-29.36121,1000.372
0.151112080,5.157611,0.6061188,9.014616,0.1211043,-0.08904654,0.9939777,-16.85025,34.65437,-29.36121,1000.372
0.170929909,0.993735,1.997911,6.568118,0.1026429,-0.09108401,0.9964817,-17.22654,35.01709,-29.3663,1000.375
0.242770195,-5.374546,6.959952,-6.948785,0.1115268,-0.1324999,0.9662943,-16.86009,35.33386,-28.99307,1000.375
0.250201702,-4.39481,6.717902,-8.477847,0.1130376,-0.141744,0.9662385,-16.86009,35.33386,-28.99307,1000.374
0.272496700,0.3201669,4.478932,-12.63689,0.1115877,-0.1525002,0.9512282,-16.18148,35.33395,-29.37563,1000.374
0.292315006,0.993735,4.720983,-17.59105,0.1247295,-0.1587798,0.9438838,-16.18148,35.33395,-29.37563,1000.375
0.312132835,2.769506,7.625592,-22.11707,0.1174678,-0.1612381,0.9497031,-16.8608,35.32665,-29.37309,1000.375
0.331950665,-1.02697,7.988668,-29.88471,0.1253052,-0.1709352,0.9500932,-16.8608,35.32665,-29.37309,1000.374
0.351768494,-4.578511,12.95071,-32.27004,0.1316999,-0.1894279,0.9407922,-16.8608,35.32665,-29.37309,1000.374
0.371587277,-8.068818,13.67686,-35.57281,0.1211687,-0.208918,0.9581262,-17.21504,34.2837,-29.35334,1000.375
0.391405106,-7.578951,10.40918,-42.78999,0.1140646,-0.2357073,0.9700944,-17.21504,34.2837,-29.35334,1000.375
0.411222935,-3.231374,11.49841,-46.76554,0.1345618,-0.2507057,0.9660438,-18.32665,34.27175,-29.34917,1000.375
0.431040764,-5.497013,12.58763,-52.82063,0.1398254,-0.2326512,0.9704518,-18.32665,34.27175,-29.34917,1000.375
0.450859070,-12.7838,18.27583,-59.85431,0.1515681,-0.2452509,0.9703228,-18.32665,34.27175,-29.34917,1000.376
0.470676899,-12.84503,20.81736,-62.60662,0.1661749,-0.2476076,0.9711961,-19.05705,33.52197,-29.77679,1000.376
0.490494728,-9.967056,21.90659,-65.84823,0.1745103,-0.2440943,0.9967504,-19.05705,33.52197,-29.77679,1000.375
0.510312557,-13.57983,24.38761,-68.35589,0.1695985,-0.2348655,0.9977902,-19.05705,33.52197,-29.77679,1000.375
0.532607556,-14.4371,23.47992,-72.20913,0.1439949,-0.2568754,1.012298,-20.83495,32.78496,-28.93375,1000.377
0.552425861,-9.967056,20.63582,-73.49354,0.1148,-0.2472598,1.024091,-20.83495,32.78496,-28.93375,1000.377
0.572243691,-7.21155,17.61019,-75.26725,0.1295079,-0.2456332,1.061185,-21.94234,32.39068,-29.74648,1000.378
0.592061520,-3.537542,16.94455,-76.73515,0.1346572,-0.2345047,1.020669,-21.94234,32.39068,-29.74648,1000.378
0.611879349,0.8100346,11.0143,-75.94003,0.136321,-0.234207,0.9386063,-22.97508,31.34885,-29.28083,1000.379
0.631698132,5.831179,3.692266,-73.98284,0.1435513,-0.2102607,0.9589621,-22.97508,31.34885,-29.28083,1000.379
0.651515961,1.60607,2.966114,-73.92168,0.1673419,-0.1871886,0.985015,-22.97508,31.34885,-29.28083,1000.378
0.671333790,-5.374546,7.56508,-72.75959,0.1391098,-0.1805083,0.9890652,-25.17613,29.84975,-29.68993,1000.378
0.691151619,-7.150316,6.959952,-72.51494,0.1319315,-0.1975732,0.9952917,-25.17613,29.84975,-29.68993,1000.377
0.710969925,-5.61948,7.080978,-72.02564,0.1328398,-0.1907699,0.9875989,-25.17613,29.84975,-29.68993,1000.377
0.730787754,-2.61904,5.326109,-70.06844,0.1318207,-0.1868971,0.9803842,-27.67952,28.0586,-29.20577,1000.377
0.750605583,-2.61904,3.934317,-69.51797,0.1278655,-0.1933188,0.9509295,-27.67952,28.0586,-29.20577,1000.377
0.770423413,-0.6595686,5.628673,-67.1938,0.1302411,-0.1762357,0.9625885,-28.77317,26.95378,-28.80215,1000.376
0.790241718,0.5038673,6.173287,-65.17545,0.1340802,-0.1899409,0.9248482,-28.77317,26.95378,-28.80215,1000.376
0.812536717,6.076113,2.905602,-61.62802,0.1200439,-0.1855659,0.9519774,-28.77317,26.95378,-28.80215,1000.377
0.832354546,8.647919,6.717902,-57.65246,0.134556,-0.1615912,0.9684322,-30.15498,24.42554,-29.13257,1000.377
0.852172375,3.38184,7.323029,-54.77783,0.1194302,-0.1548605,0.9651709,-30.15498,24.42554,-29.13257,1000.372
0.871991158,1.361136,8.170207,-55.08364,0.1306665,-0.1576996,0.9752309,-31.61412,22.94283,-29.10109,1000.372
0.891808987,4.300342,9.13841,-51.47506,0.1382507,-0.1450895,0.938088,-31.61412,22.94283,-29.10109,1000.372
0.911626816,2.034704,6.173287,-48.47809,0.1444669,-0.147577,0.9028057,-31.61412,22.94283,-29.10109,1000.372
0.931444645,0.8100346,4.781495,-44.99183,0.1403075,-0.1435331,0.9733203,-32.61975,20.05068,-29.48975,1000.373
0.951262951,-2.067938,8.956872,-43.89091,0.1472266,-0.1385302,1.013853,-32.61975,20.05068,-29.48975,1000.373
0.971080780,-10.08952,15.37122,-45.90927,0.1374027,-0.1406056,0.9820395,-34.09207,19.35526,-29.85234,1000.374
0.990898609,-11.19173,14.52404,-45.11416,0.1758939,-0.1672439,0.9585233,-34.09207,19.35526,-29.85234,1000.374
1.010716438,-3.721242,10.77225,-41.75023,0.1641561,-0.1546407,0.9601004,-34.09207,19.35526,-29.85234,1000.372
1.030534744,0.8100346,8.593796,-42.91231,0.1669979,-0.1321919,0.9746805,-34.44536,18.25119,-29.83151,1000.372
1.050352573,-8.558686,16.7025,-44.99183,0.1936959,-0.1228008,0.9750652,-34.44536,18.25119,-29.83151,1000.373
1.072647572,-18.29481,19.66762,-46.76554,0.1957445,-0.1574268,0.9483289,-34.78963,16.45921,-30.62217,1000.373
1.092465401,-22.70362,20.27275,-48.11112,0.1768342,-0.1785061,0.930465,-34.78963,16.45921,-30.62217,1000.375
1.112284184,-13.82476,9.683024,-47.98879,0.1823654,-0.2394576,0.8833019,-34.78963,16.45921,-30.62217,1000.375
1.132102013,17.09814,4.781495,-44.62486,0.1545051,-0.2198008,1.01774,-35.45099,15.35904,-30.22017,1000.378
1.151919842,6.504747,3.08714,-46.64322,0.1747856,-0.181667,1.037615,-35.45099,15.35904,-30.22017,1000.378
1.171738148,5.831179,6.052262,-43.89091,0.1399046,-0.1959292,1.054143,-35.0632,14.26293,-30.20212,1000.374
1.191555977,2.463338,5.628673,-44.68602,0.1169769,-0.1814315,1.057722,-35.0632,14.26293,-30.20212,1000.374
1.211373806,16.8532,-3.690283,-48.53926,0.1356198,-0.2115299,1.055535,-35.0632,14.26293,-30.20212,1000.373
1.231191635,-7.762651,13.79789,-44.80835,0.07776394,-0.1049552,0.9516575,-36.51756,12.47464,-30.16525,1000.373
1.251009941,9.199019,3.631754,-44.38021,0.07014936,-0.2155053,0.9612677,-36.51756,12.47464,-30.16525,1000.375
1.270827770,27.32413,-2.237978,-45.60346,0.04324998,-0.1727311,0.9876992,-36.86075,10.62275,-30.89149,1000.375
1.290645599,27.9977,-7.805147,-45.84811,0.04756782,-0.1439072,1.01775,-36.86075,10.62275,-30.89149,1000.375
1.310464382,25.91576,-13.49334,-47.07136,0.06991176,-0.135989,1.022495,-36.86075,10.62275,-30.89149,1000.375
1.330282211,12.75056,-14.88513,-47.37717,0.05118135,-0.0746653,1.050425,-37.56687,8.490162,-30.09088,1000.375
1.352577210,-23.68335,-9.196939,-51.29156,0.05124476,-0.07364223,1.070702,-37.56687,8.490162,-30.09088,1000.378
1.372395039,-38.93048,2.966114,-49.82367,0.0657556,-0.06091255,1.068275,-38.58235,6.348239,-29.60579,1000.374
1.392213345,-45.9111,4.176368,-46.58206,0.08172168,-0.0775103,1.016456,-38.58235,6.348239,-29.60579,1000.374
