Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.245800972,96.55469,880.5,4.046875,328.75,0
1.243175983,96.54297,683.8125,4.060625,249.6875,0
2.122317314,96.53125,585.9375,4.060625,237.8125,0
3.176951885,96.53125,505.6875,4.060625,255,0
4.231752396,96.51953,451.78125,4.06125,250.625,0
5.110745907,96.51953,413.90625,4.058125,245,0
6.165526867,96.50781,381.84375,4.055625,257.1875,0
7.220451355,96.49609,354.1875,4.06,255.625,0
8.099449158,96.49609,336.9375,4.05875,251.875,0
9.154249668,96.48438,319.3125,4.0575,241.25,0
10.209383011,96.48438,306.5625,4.058125,253.4375,0
11.088039875,96.46875,296.8125,4.058125,252.8125,0
12.142805100,96.46875,287.71875,4.056875,234.375,0
13.197456837,96.45703,278.34375,4.05875,254.375,0
14.252543926,96.45703,269.34375,4.05625,246.875,0
15.131664753,96.44531,263.53125,4.05625,250.9375,0
16.186344147,96.43359,258.28125,4.056875,247.1875,0
17.240980625,96.43359,252.28125,4.056875,244.375,0
18.119809628,96.42188,247.875,4.059375,261.875,0
19.174617291,96.41016,243.28125,4.055,261.875,0
20.229500294,96.41016,239.625,4.055625,257.1875,0
21.108482838,96.39844,237.65625,4.055625,249.0625,0
22.163284302,96.39844,234.46875,4.055,244.6875,0
23.217994690,96.38672,228.9375,4.0375,439.375,0
24.097139835,96.37109,223.59375,4.055625,258.75,0
25.152297497,96.37109,221.71875,4.05625,269.0625,0
26.206658840,96.35938,218.0625,4.054375,256.5625,0
27.085648060,96.34766,217.40625,4.05625,248.4375,0
28.140345097,96.34766,215.25,4.050625,249.0625,0
29.195229054,96.33594,214.5,4.050625,270.3125,0
30.250501156,96.32422,212.8125,4.055625,238.4375,0
31.129020691,96.32422,212.90625,4.056875,245.625,0
32.183825016,96.3125,212.8125,4.054375,265,0
33.238497734,96.3125,213,4.053125,253.4375,0
34.117479801,96.30078,212.34375,4.04375,306.5625,0
35.172397614,96.30078,211.96875,4.050625,276.25,0
36.227190495,96.28906,210.9375,4.053125,248.75,0
37.106074810,96.28906,210.84375,4.053125,262.1875,0
38.161108017,96.27344,209.15625,4.05375,252.8125,0
39.215724945,96.26172,209.4375,4.054375,267.8125,0
40.095042229,96.26172,208.59375,4.051875,267.8125,0
41.149557591,96.25,208.40625,4.054375,244.6875,0
42.204224587,96.25,207.65625,4.055,250.625,0
43.083198071,96.23828,208.03125,4.05125,261.875,0
44.138341904,96.23828,208.59375,4.053125,244.0625,0
45.192880631,96.22656,208.6875,4.050625,248.125,0
46.247709751,96.21484,208.125,4.035,311.25,0
47.126670837,96.21484,208.3125,4.051875,265.625,0
48.181336880,96.20313,208.125,4.0525,249.0625,0
49.236324310,96.20313,208.6875,4.051875,244.375,0
50.115239143,96.19141,209.0625,4.0525,259.0625,0
51.169894695,96.17578,209.625,4.053125,251.5625,0
52.224896431,96.17578,208.96875,4.051875,256.25,0
53.104215622,96.16406,208.96875,4.05125,243.4375,0
54.158626080,96.16406,208.3125,4.04375,309.0625,0
55.213397503,96.15234,206.0625,4.0525,258.75,0
56.092267990,96.14063,204.5625,4.053125,248.4375,0
57.147253037,96.14063,202.6875,4.050625,244.375,0
58.202240944,96.12891,202.6875,4.04125,356.25,0
59.080948830,96.11719,202.3125,4.050625,245.3125,0
60.135604858,96.11719,202.59375,4.04875,250.3125,0
61.190597534,96.10547,202.6875,4.05,246.25,0
62.245209217,96.09375,203.53125,4.05125,246.25,0
63.124300480,96.09375,204.5625,4.049375,281.875,0
64.179156780,96.07813,204.75,4.05125,247.1875,0
65.233751774,96.07813,204.75,4.03,440.9375,0
66.113164425,96.06641,203.15625,4.041875,313.75,0
67.167538643,96.06641,203.15625,4.049375,261.875,0
68.222478390,96.05469,203.0625,4.050625,246.25,0
69.101316929,96.04297,201.84375,4.05,264.6875,0
70.156128883,96.04297,202.6875,4.049375,262.5,0
71.211113930,96.03125,202.6875,4.04875,254.0625,0
72.090019703,96.03125,202.21875,4.04875,243.4375,0
