Time (s),X (g),Y (g),Z (g)
0.000000000,0.1113003,-0.07790816,0.9897444
0.012386322,0.1098298,-0.08085717,0.9815318
0.032204151,0.1030464,-0.07745229,0.9946188
0.05202198,0.1147374,-0.07933373,0.9969585
0.071839809,0.1176351,-0.07982196,0.9901826
0.091658592,0.1239202,-0.08666009,0.96791
0.111476421,0.1233999,-0.08913121,0.9539024
0.131294251,0.1293258,-0.1022363,0.9586295
0.15111208,0.1211043,-0.08904654,0.9939777
0.170929909,0.1026429,-0.09108401,0.9964817
0.242770195,0.1115268,-0.1324999,0.9662943
0.250201702,0.1130376,-0.141744,0.9662385
0.2724967,0.1115877,-0.1525002,0.9512282
0.292315006,0.1247295,-0.1587798,0.9438838
0.312132835,0.1174678,-0.1612381,0.9497031
0.331950665,0.1253052,-0.1709352,0.9500932
0.351768494,0.1316999,-0.1894279,0.9407922
0.371587277,0.1211687,-0.208918,0.9581262
0.391405106,0.1140646,-0.2357073,0.9700944
0.411222935,0.1345618,-0.2507057,0.9660438
0.431040764,0.1398254,-0.2326512,0.9704518
0.45085907,0.1515681,-0.2452509,0.9703228
0.470676899,0.1661749,-0.2476076,0.9711961
0.490494728,0.1745103,-0.2440943,0.9967504
0.510312557,0.1695985,-0.2348655,0.9977902
0.532607556,0.1439949,-0.2568754,1.012298
0.552425861,0.1148,-0.2472598,1.024091
0.572243691,0.1295079,-0.2456332,1.061185
0.59206152,0.1346572,-0.2345047,1.020669
0.611879349,0.136321,-0.234207,0.9386063
0.631698132,0.1435513,-0.2102607,0.9589621
0.651515961,0.1673419,-0.1871886,0.985015
0.67133379,0.1391098,-0.1805083,0.9890652
0.691151619,0.1319315,-0.1975732,0.9952917
0.710969925,0.1328398,-0.1907699,0.9875989
0.730787754,0.1318207,-0.1868971,0.9803842
0.750605583,0.1278655,-0.1933188,0.9509295
0.770423413,0.1302411,-0.1762357,0.9625885
0.790241718,0.1340802,-0.1899409,0.9248482
0.812536717,0.1200439,-0.1855659,0.9519774
0.832354546,0.134556,-0.1615912,0.9684322
0.852172375,0.1194302,-0.1548605,0.9651709
0.871991158,0.1306665,-0.1576996,0.9752309
0.891808987,0.1382507,-0.1450895,0.938088
0.911626816,0.1444669,-0.147577,0.9028057
0.931444645,0.1403075,-0.1435331,0.9733203
0.951262951,0.1472266,-0.1385302,1.013853
0.97108078,0.1374027,-0.1406056,0.9820395
0.990898609,0.1758939,-0.1672439,0.9585233
1.010716438,0.1641561,-0.1546407,0.9601004
1.030534744,0.1669979,-0.1321919,0.9746805
1.050352573,0.1936959,-0.1228008,0.9750652
1.072647572,0.1957445,-0.1574268,0.9483289
1.092465401,0.1768342,-0.1785061,0.930465
1.112284184,0.1823654,-0.2394576,0.8833019
1.132102013,0.1545051,-0.2198008,1.01774
1.151919842,0.1747856,-0.181667,1.037615
1.171738148,0.1399046,-0.1959292,1.054143
1.191555977,0.1169769,-0.1814315,1.057722
