Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.250165463,25.038,28.686
1.248353958,25.15,28.698
2.249021053,25.206,28.708
3.249691010,25.294,28.72
4.250362873,25.362,28.732
5.248559475,25.464,28.744
6.249235153,25.496,28.754
7.249912262,25.602,28.766
8.250590801,25.622,28.778
9.248794556,25.692,28.788
10.249476433,25.71,28.802
11.250160217,25.814,28.814
12.248368740,25.836,28.824
13.249055862,25.944,28.836
14.249744415,25.978,28.846
15.250434399,26.078,28.858
16.248648644,26.136,28.87
17.249341965,26.154,28.88
18.250036717,26.204,28.89
19.248256207,26.27,28.902
