Time (s),X (g),Y (g),Z (g)
0.049539089,0.002411,0.000881562,0.009322818
0.148615837,0.0008981185,-0.002530724,0.01402966
0.250170708,-0.001798447,0.0009092047,0.009747903
0.349248886,-0.002150742,-0.001005279,0.00970315
0.448326588,0.002332653,-0.003999504,0.012094
0.549880982,0.0009340108,-0.004556783,0.0115869
0.648958683,-0.001274923,0.001710305,0.007851131
0.750513554,0.002588487,-0.001512725,0.0155069
0.849591255,-0.0004982201,-0.000101269,0.008786153
0.948668957,-0.000532417,-0.0003328359,0.02077001
1.050223827,0.001232315,-0.005267018,0.01061778
1.149301529,0.0008306873,0.0007506221,0.01362092
1.248379231,-0.0004397989,-0.004234479,0.01206323
1.349934578,0.0002067166,-0.002912998,0.01401668
1.449012280,-0.001052701,-0.0058299,0.01154223
1.550567150,0.0004737495,-0.003049608,0.0116198
1.649644852,0.000106226,-0.002678807,0.01114562
1.748723507,0.002208222,-0.001828288,0.009747786
1.850278378,0.0013179,-0.001500109,0.01502156
1.949356079,0.000552589,-0.004042507,0.01256088
2.048434734,0.001604104,-0.006080268,0.01348539
2.149989605,0.0007566659,-0.002245246,0.0102067
2.249067783,0.002290293,-0.003329562,0.01499222
2.350623131,0.002462633,-0.003301932,0.008280808
2.449700832,0.005800906,-0.003920887,0.01405368
2.548779011,0.003526969,-0.006835162,0.01156822
2.650334358,0.0001969054,-0.002135451,0.0140422
2.749412537,-9.316488E-05,-0.003107366,0.006345749
2.848490715,-0.001532146,0.002030214,0.01124774
2.950046063,0.006320708,-0.005618108,0.006347296
3.049124241,0.003486742,-0.003342988,0.009731018
3.150680065,0.00456301,-0.004714304,0.006830289
3.249758244,0.0006577704,-0.005795531,0.01108687
3.348836899,0.004117997,-0.003835966,0.008285583
3.450391770,0.003197943,-0.0005282088,0.01123075
3.549470425,0.003251931,-0.004374181,0.009703026
3.648548603,-0.00207876,-3.844609E-05,0.01167478
3.750104428,0.006087443,-0.002114241,0.01505758
3.849182606,0.00282384,-0.003032971,0.008773766
3.948261261,0.005277024,-0.004044259,0.007812986
4.049817085,0.004347305,-0.006527206,0.01014442
4.148895264,0.003411426,-0.004089329,0.008275236
4.250451088,0.0009479477,-0.004636911,0.014954
4.349529266,0.001501653,-0.003046445,0.009239573
4.448607922,0.00631617,-0.002649246,0.009292386
4.550163269,0.002002924,-0.004512243,0.006334051
4.649242401,0.003880179,-0.003611646,0.01212549
4.748321057,0.003397803,-0.003155999,0.0135705
4.849876404,0.002446668,-0.00655065,0.0149215
4.948955536,0.001493897,-0.004551645,0.01447913
5.050511360,0.001572223,-0.003949059,0.009696658
5.149589539,0.003049855,-0.002033161,0.01167099
5.248668671,-0.002762443,-0.001529122,0.01163357
5.350224495,0.0088018,-0.006981464,0.0116082
5.449302673,0.001494809,-0.004036445,0.01353161
5.548381806,0.008756795,-0.003056704,0.01073955
5.652414799,-0.002752487,1.933493E-05,0.005914884
5.749016762,-0.001378301,5.88964E-06,0.007844118
5.850572586,0.003956642,-0.000536521,0.007399123
5.949651242,0.00296958,-0.002892791,0.007335295
6.048730373,0.001925499,-0.004369471,0.008731712
6.150286198,0.003296487,-0.003439694,0.01212173
