Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.049539089,0.8690655,-1.018056,-0.5502844
0.148615837,0.8675089,-1.016967,-0.5694706
0.250170708,0.8682077,-1.009833,-0.5902925
0.349248886,0.8671691,-1.001878,-0.6079656
0.448326588,0.8692781,-0.9912827,-0.6282759
0.549880982,0.8742822,-0.9885071,-0.64934
0.648958683,0.8789704,-0.9817197,-0.6667296
0.750513554,0.8902315,-0.9745643,-0.6872893
0.849591255,0.8986765,-0.9634559,-0.7075523
0.948668957,0.9028444,-0.9560571,-0.7284127
1.050223827,0.916265,-0.9475483,-0.01527224
1.149301529,0.9292488,-0.9387267,-0.03572642
1.248379231,0.9385943,-0.9310149,-0.05237153
1.349934578,0.9445646,-0.9198261,-0.07132092
1.449012280,0.9470742,-0.9114122,-0.09207137
1.548090458,0.9543205,-0.9066411,-0.1116556
1.649644852,0.9610628,-0.8997995,-0.128962
1.748723507,0.9692212,-0.8908614,-0.1491349
1.850278378,0.973551,-0.8827386,-0.1705438
1.949356079,0.9825362,-0.873271,-0.1889518
2.048434734,0.9877301,-0.86792,-0.2069456
2.149989605,0.9923664,-0.8628579,-0.2245589
2.249067783,0.9950412,-0.8548754,-0.2429295
2.348145485,0.9988652,-0.8491169,-0.2610678
2.449700832,1.001999,-0.8480392,-0.2779469
2.548779011,1.004649,-0.8415846,-0.2997122
2.650334358,1.010313,-0.8368472,-0.3177602
2.749412537,1.017272,-0.8307222,-0.3356945
2.848490715,1.023533,-0.8270353,-0.3539872
2.950046063,1.022156,-0.8228021,-0.3718344
3.049124241,1.027488,-0.8169685,-0.3914655
3.148202896,1.024962,-0.8126213,-0.4081666
3.249758244,1.028417,-0.811758,-0.4295665
3.348836899,1.028989,-0.8091573,-0.4457151
3.450391770,1.030901,-0.8050701,-0.4648473
3.549470425,1.030819,-0.8023152,-0.4835418
3.648548603,1.031035,-0.8027348,-0.4987549
3.750104428,1.034466,-0.8028854,-0.5141411
3.849182606,1.037904,-0.799775,-0.5301412
3.948261261,1.040657,-0.7979185,-0.5465503
4.049817085,1.042381,-0.7937405,-0.5638213
4.148895264,1.043142,-0.7936565,-0.5796461
4.250451088,1.041427,-0.7921449,-0.595708
4.349529266,1.038384,-0.7919704,-0.6125294
4.448607922,1.041762,-0.7929339,-0.627338
4.550163269,1.041634,-0.7921067,-0.6455449
4.649242401,1.039557,-0.7919877,-0.6616724
4.748321057,1.039991,-0.791185,-0.6743069
4.849876404,1.039573,-0.7882562,-0.6876185
4.948955536,1.036633,-0.7884197,-0.7040074
5.050511360,1.034026,-0.7870094,-0.7191084
5.149589539,1.032688,-0.7849401,-0.7334324
5.248668671,1.034075,-0.7859936,-0.7501763
5.350224495,1.036406,-0.7853087,-0.7651321
5.449302673,1.035567,-0.7888454,-0.776788
5.548381806,1.033845,-0.7900565,-0.7905306
5.652414799,1.033769,-0.7895268,-0.8070443
5.749016762,1.032159,-0.7926627,-0.818708
5.848095894,1.032479,-0.7914075,-0.8298172
5.949651242,1.030095,-0.7914851,-0.8443896
6.048730373,1.030874,-0.7942756,-0.854901
6.150286198,1.029256,-0.7971528,-0.8635668
6.249365330,1.027829,-0.7973256,-0.8763902
6.348444462,1.025227,-0.798889,-0.8870748
