Time (s),Altitude (m)
0.250170708,23.26143
1.248379231,23.26352
2.249067783,23.34741
3.249758244,23.32604
4.250451088,23.47454
5.248668671,23.43911
6.249365330,23.38127
7.250063896,23.38023
8.248286724,23.53186
9.248988628,23.55895
10.249692440,23.31145
11.250398636,23.22444
12.248629093,23.22496
13.249337673,23.1963
14.250048637,23.20308
15.248283863,23.28279
16.248997688,23.24059
17.249713421,23.21766
18.250435829,23.22496
19.248677731,23.22288
20.249394417,23.05614
21.250116825,22.97643
22.248363972,22.91182
23.249089718,22.94829
24.249816895,23.10199
25.248069286,22.97903
26.248800755,23.00143
27.249533176,22.96027
28.250268459,22.96548
29.248527527,22.99206
30.249265194,23.03582
31.250005245,22.98893
32.248269558,23.05979
33.249012947,23.16504
34.249757767,23.27029
35.248027802,23.29999
36.248776436,23.27394
37.249526024,23.37867
38.250283241,23.58084
39.248559952,23.80021
40.249310970,23.84867
41.250068188,23.80021
42.248350143,23.7554
43.249111176,23.72309
44.249873638,23.64649
45.248160839,23.5402
46.248927116,23.48705
47.249695301,23.39847
48.247987747,23.3745
49.248759270,23.24632
50.249532700,23.32396
51.250307560,23.31197
52.248607159,23.31197
53.249385357,23.28123
54.250165939,23.24007
