Time (s),Altitude (m)
0.250171661,61.62658
1.250861645,61.7228
2.249076843,61.85457
3.249770641,61.95079
4.250467300,61.90739
5.248688221,62.07734
6.249388218,62.19761
7.250090122,62.44444
8.248316288,62.41986
9.249022961,62.07577
10.249729633,61.85771
11.250437737,61.79444
12.251149654,61.94974
13.251861095,62.17983
14.250097275,62.06792
15.248336792,61.82163
16.251530170,61.65063
17.249773026,61.72646
18.250493527,61.95916
19.251216412,62.22585
20.249463558,62.36913
21.250194073,62.47634
22.248440743,62.43032
23.249170780,62.4596
24.249902248,62.37803
25.250635624,62.40417
26.248894215,62.33305
