Time (s),X (g),Y (g),Z (g)
0.000000000,0.03064164,0.01051719,0.01973027
0.002476692,0.028353,0.02042942,0.02319551
0.004953861,0.02906795,0.01870732,0.03189248
0.007430553,0.03070643,0.01795988,0.03334904
0.009908199,0.02648164,0.02005197,0.02423447
0.012384892,0.02325242,0.02794693,0.02673382
0.014862061,0.01910882,0.02803209,0.02678484
0.017338753,0.01597293,0.02764248,0.03117245
0.019815922,0.01573094,0.0287028,0.03313971
0.022292614,0.01351354,0.0350517,0.03321797
0.027246475,0.02175054,0.02988496,0.03031307
0.027246475,0.02175054,0.02988496,0.03031307
0.029723167,0.01564852,0.03042504,0.02941453
0.032200336,0.01675493,0.03482057,0.01498556
0.037154198,0.009595431,0.01692619,0.03092724
0.037154198,0.009595431,0.01692619,0.03092724
0.039630890,0.01271006,0.0213675,0.02903688
0.042108536,0.006115401,0.02716343,0.01900309
0.044585228,0.006868439,0.02525058,0.01564533
0.049539089,0.009761943,0.01717953,0.01227307
0.049539089,0.009761943,0.01717953,0.01227307
0.052016258,0.01237597,0.02022604,0.01761705
0.054492950,0.0130408,0.01790584,0.01859945
0.056970119,0.00980401,0.02720174,0.02932203
0.061923504,0.01748895,0.02683912,0.04190558
0.061923504,0.01748895,0.02683912,0.04190558
0.064400673,0.01621003,0.02932277,0.04244566
0.066877365,0.01497777,0.03278828,0.0463683
0.071831226,0.01600664,0.02188456,0.04298764
0.071831226,0.01600664,0.02188456,0.04298764
0.074308872,0.01821157,0.02019001,0.03912723
0.076785564,0.02137193,0.01611172,0.02993596
0.079262733,0.02064931,0.01496509,0.02512342
0.084216595,0.02109926,0.01371113,0.009696424
0.084216595,0.02109926,0.01371113,0.009696424
0.086693287,0.02230997,0.01792417,0.00683248
0.089170456,0.01966137,0.01821722,-0.003754795
0.091647148,0.01943711,0.02046291,-0.01772487
0.096601009,-0.004490517,0.009375371,-0.0519067
0.096601009,-0.004490517,0.009375371,-0.0519067
0.099077702,0.006311025,-0.005710356,-0.0520401
0.101555347,0.02706719,-0.01293861,-0.06135786
0.104031563,0.006961174,-0.008280642,-0.08728379
0.108985901,0.003031641,-0.01999667,-0.09359622
0.108985901,0.003031641,-0.01999667,-0.09359622
0.111463070,0.004786491,-0.02001536,-0.1133952
0.113939762,0.005183754,-0.03108918,-0.1105636
0.116416931,0.003622105,-0.04014623,-0.1004752
0.121370792,-0.005873293,-0.04424937,-0.09515327
0.121370792,-0.005873293,-0.04424937,-0.09515327
0.123847485,-0.009342665,-0.0421899,-0.08016527
0.126324177,-0.00848612,-0.0372848,-0.07290381
0.131278038,-0.01096454,-0.03727181,-0.04633677
0.131278038,-0.01096454,-0.03727181,-0.04633677
0.133755684,-0.01478651,-0.03341195,-0.02746743
0.136232376,-0.01661637,-0.03200781,-0.01875883
0.138709545,-0.01983007,-0.03013161,-0.01004142
0.143663406,-0.01920202,-0.03016414,0.01843023
0.143663406,-0.01920202,-0.03016414,0.01843023
0.146140099,-0.02320192,-0.03067696,0.02133942
0.148617268,-0.02174997,-0.03740177,0.03093761
0.151093960,-0.02024852,-0.04163945,0.0439226
0.156047821,-0.027391,-0.03324438,0.05507553
0.156047821,-0.027391,-0.03324438,0.05507553
0.158524513,-0.02625154,-0.02781199,0.06425285
0.161001682,-0.0299482,-0.01807729,0.07155138
0.163478375,-0.02871208,-0.0214487,0.0705474
0.168432713,-0.03056258,-0.01890577,0.08019352
0.168432713,-0.03056258,-0.01890577,0.08019352
0.170909882,-0.03221049,-0.01838932,0.07874352
0.173386574,-0.02077274,-0.02600561,0.0815202
0.178340435,-0.008898221,-0.0300341,0.08477718
0.178340435,-0.008898221,-0.0300341,0.08477718
0.180817604,-0.008974335,-0.02550995,0.08188844
0.183294296,-0.004302944,-0.0112793,0.08675331
0.185771465,0.00516271,-0.00773757,0.08960736
0.190724850,0.008381838,-0.007032104,0.0924719
0.190724850,0.008381838,-0.007032104,0.0924719
0.193202496,0.008450758,-0.0103216,0.08858275
0.195678711,0.01229503,-0.004372142,0.08617193
0.198156357,0.0112568,-0.001395114,0.08136106
0.203110218,0.01830795,-0.01035438,0.07594979
0.203110218,0.01830795,-0.01035438,0.07594979
0.208064079,0.02414115,-0.0129228,0.05657458
0.210540772,0.01662778,-0.01517012,0.05852097
0.213017941,0.01301265,-0.02077375,0.05318487
