Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.9913697,-0.06015863,-0.01166199,0.05935834,0.9896972,-0.05963466,0.01522003,0.05882724,0.9914013
0.002476692,0.9913638,-0.06020153,-0.01193837,0.05937973,0.9896761,-0.05996367,0.01551762,0.05913857,0.9913782
0.004953861,0.9913574,-0.06025525,-0.01221331,0.05941219,0.9896559,-0.06026888,0.01581301,0.05942602,0.9913566
0.007430553,0.9913493,-0.06032559,-0.01250712,0.05946014,0.9896349,-0.06056213,0.01612749,0.05970012,0.9913349
0.009908199,0.9913412,-0.0604045,-0.01277369,0.0595177,0.9896121,-0.06088002,0.01641687,0.06000026,0.9913122
0.012384892,0.9913332,-0.0604816,-0.01301968,0.05957333,0.9895847,-0.06127019,0.01668998,0.06037377,0.991285
0.014862061,0.9913258,-0.06055674,-0.01324238,0.05962808,0.989557,-0.06166708,0.01694023,0.0607554,0.9912576
0.017338753,0.9913185,-0.06063566,-0.01344701,0.05968749,0.9895287,-0.06206642,0.0171729,0.06114045,0.9912302
0.019815922,0.9913107,-0.06071726,-0.01365792,0.05974866,0.9894987,-0.06248636,0.01741327,0.0615456,0.991201
0.022292614,0.9913033,-0.06079231,-0.01385956,0.05980274,0.9894657,-0.06295855,0.0176472,0.06200358,0.9911686
0.027246475,0.9912875,-0.06093563,-0.0143325,0.05990078,0.9894049,-0.06381369,0.01817881,0.06282625,0.991107
0.027246475,0.9912875,-0.06093563,-0.0143325,0.05990078,0.9894049,-0.06381369,0.01817881,0.06282625,0.991107
0.029723167,0.9912797,-0.06101194,-0.01456075,0.05995482,0.9893749,-0.06423076,0.01843615,0.06322748,0.9910771
0.032200336,0.9912707,-0.06109684,-0.01480447,0.06001538,0.989341,-0.06469392,0.01871229,0.06367359,0.9910432
0.037154198,0.9912578,-0.06119959,-0.01524647,0.06007261,0.9892795,-0.06557949,0.01921267,0.06452905,0.9909787
0.037154198,0.9912578,-0.06119959,-0.01524647,0.06007261,0.9892795,-0.06557949,0.01921267,0.06452905,0.9909787
0.039630890,0.9912517,-0.06124511,-0.0154727,0.06009446,0.989248,-0.06603567,0.01946853,0.06496992,0.9909451
0.042108536,0.991244,-0.06132617,-0.01564099,0.06015472,0.9892116,-0.06652501,0.01967105,0.06544667,0.9909098
0.044585228,0.9912347,-0.06143128,-0.01582308,0.0602384,0.9891755,-0.06698781,0.01988737,0.06589559,0.9908759
0.049539089,0.9912118,-0.06167592,-0.01629964,0.06043436,0.9891085,-0.06779961,0.02042757,0.06667219,0.9908131
0.049539089,0.9912118,-0.06167592,-0.01629964,0.06043436,0.9891085,-0.06779961,0.02042757,0.06667219,0.9908131
0.052016258,0.9911986,-0.06181319,-0.0165695,0.06054474,0.9890734,-0.06820951,0.02073048,0.06706215,0.9907804
0.054492950,0.9911844,-0.06196433,-0.01685802,0.06066765,0.9890383,-0.06861079,0.02105249,0.06744201,0.990748
0.056970119,0.9911699,-0.06212122,-0.0171199,0.06079631,0.9889973,-0.06908417,0.02135287,0.06789528,0.9907105
0.061923504,0.9911384,-0.06247912,-0.01766097,0.06109526,0.9889117,-0.07004954,0.02197543,0.06881808,0.9906339
0.061923504,0.9911384,-0.06247912,-0.01766097,0.06109526,0.9889117,-0.07004954,0.02197543,0.06881808,0.9906339
0.064400673,0.9911225,-0.06265487,-0.01791345,0.06124301,0.9888701,-0.07050377,0.02226699,0.06925212,0.9905969
0.066877365,0.9911081,-0.06282412,-0.01812559,0.0613869,0.9888291,-0.07095566,0.0225179,0.06968635,0.9905611
0.071831226,0.9910811,-0.06312969,-0.01853774,0.06164651,0.9887618,-0.071667,0.02299378,0.070364,0.9905023
0.071831226,0.9910811,-0.06312969,-0.01853774,0.06164651,0.9887618,-0.071667,0.02299378,0.070364,0.9905023
0.074308872,0.991068,-0.06327857,-0.01873411,0.06177526,0.9887356,-0.07192005,0.02321555,0.07060099,0.9904804
0.076785564,0.991054,-0.06343427,-0.01894641,0.06191094,0.9887128,-0.07211549,0.02345013,0.07077924,0.9904622
0.079262733,0.9910398,-0.06359734,-0.01915012,0.06205498,0.9886912,-0.07229086,0.02367548,0.07093778,0.9904456
0.084216595,0.9910088,-0.06395267,-0.01958461,0.06237164,0.9886509,-0.0725747,0.02415118,0.07118542,0.9904167
0.084216595,0.9910088,-0.06395267,-0.01958461,0.06237164,0.9886509,-0.0725747,0.02415118,0.07118542,0.9904167
0.086693287,0.9909932,-0.06413491,-0.01977462,0.0625353,0.9886268,-0.0727612,0.0243651,0.07135523,0.9903992
0.089170456,0.9909775,-0.06432586,-0.01992903,0.06271053,0.988603,-0.07293141,0.02454325,0.07151073,0.9903834
0.091647148,0.9909624,-0.06452159,-0.02006799,0.06289162,0.9885795,-0.07310027,0.02470633,0.07166569,0.9903685
0.096601009,0.9909387,-0.06487671,-0.02007211,0.06324115,0.9885436,-0.07327837,0.02474737,0.07183437,0.9903549
0.096601009,0.9909387,-0.06487671,-0.02007211,0.06324115,0.9885436,-0.07327837,0.02474737,0.07183437,0.9903549
0.099077702,0.9909292,-0.06503368,-0.02003972,0.06339889,0.98853,-0.07332674,0.02472955,0.0718808,0.990352
0.101555347,0.9909143,-0.06521507,-0.02019146,0.06356829,0.9885174,-0.07335132,0.02489527,0.07189114,0.9903472
0.104031563,0.9909007,-0.06541006,-0.02022491,0.06375908,0.9885012,-0.07340325,0.02494599,0.07193595,0.9903426
