Time (s),Altitude (m)
0.106509686,0.6660401
1.107206821,0.6317232
2.107906342,0.6124849
3.106131554,0.5708889
4.106835365,0.5812879
5.107541561,0.5870073
6.108249187,0.6052057
7.106481552,0.622364
8.107192993,0.8745435
9.107905388,0.9442188
10.106142521,0.7398737
11.109335899,0.7455932
12.107576370,0.6629203
13.108295441,0.748193
14.106538296,0.8059085
15.107260227,0.7398737
16.107984066,0.7279147
17.106232166,0.7201154
18.106958389,0.7669115
19.107686520,0.6967173
20.105938911,0.9338195
21.106669426,0.9660575
22.107401848,0.8880625
23.108135223,0.9041814
24.128686428,0.9868562
25.107129574,0.7575523
26.107866287,0.8839028
27.106128216,0.7627519
28.106868744,0.8043486
29.107610703,0.826187
30.108353138,0.7346742
31.106620312,0.7440334
32.107365608,0.6379626
33.108111858,0.6483616
34.106383324,0.8012288
35.107131481,0.7388338
36.107882023,0.8719437
37.106156826,0.7102362
38.106909275,0.6364027
39.107663155,0.7897897
40.105940819,0.7102362
41.106696606,0.6967173
42.107453823,0.6753992
43.105734825,0.8007089
44.108971596,0.7528726
45.107254505,0.7372739
46.108016491,0.6166446
47.106301785,0.7175156
48.107065678,0.6670799
49.107830524,0.7684714
50.106119156,0.7830303
51.106885910,0.6915178
52.107653618,0.7897897
53.105945587,0.6525213
54.106715202,0.5516508
55.107486248,0.6098852
56.105781078,0.688918
57.106553555,0.7960292
58.107326984,0.7372739
59.105624199,0.8683039
60.106400013,0.7939494
61.107176781,0.7346742
62.105477333,0.7050366
63.106255531,0.8277468
64.107034683,0.7424735
65.107814789,0.7975891
66.106119156,0.9629377
67.106901169,1.10853
68.107683659,1.231764
69.105990887,1.207325
70.106775284,1.271803
71.117468834,1.300402
72.105869293,1.291042
73.109134197,1.258283
74.107444286,1.360201
75.105756283,1.229165
76.106545448,1.192246
77.107336044,1.36696
78.105649948,1.486558
79.106442452,1.456919
80.107234955,1.415319
81.105551243,1.422079
82.108823299,1.499038
83.107141018,1.613437
84.107936859,1.618637
85.106256008,1.499038
86.107053757,1.520358
87.107851505,1.609277
88.106173515,1.600957
89.106973171,1.591597
90.105296612,1.579637
91.106097698,1.556237
92.106899738,1.562477
93.107701778,1.515158
94.106028080,1.577037
95.106831551,1.681557
96.107636929,1.744998
97.130737305,1.752798
98.106770515,1.744998
99.105100155,1.748118
100.105907440,1.657117
101.106716156,1.841719
102.105047226,1.911401
103.105856895,1.914001
104.106667042,1.954042
105.107478142,2.000324
106.105812073,1.988883
107.106624126,1.913481
108.104959488,1.968603
109.108250141,2.059086
110.106587410,1.988363
111.107401848,2.014884
112.108216763,1.993564
113.109032631,1.946762
114.107372284,1.906201
115.105712414,1.976403
116.106530190,1.935322
117.104871273,1.917121
118.105690002,1.954562
119.106509686,2.039325
120.107330322,2.091847
121.105673313,1.993044
122.106495380,2.024765
123.107316971,1.968603
124.115571499,1.971723
125.106485844,1.950402
126.104832649,1.86044
127.105657101,1.831319
128.106481552,1.834959
129.107307434,1.925441
130.105655670,1.907241
131.106482983,1.845879
132.107310295,1.747598
133.108138084,1.705478
134.121353149,1.656077
135.104840279,1.635277
136.108147621,1.701838
137.106500149,1.719518
138.104853630,1.750718
139.105684280,1.774638
140.106516361,2.046085
141.104871273,1.956122
142.105703831,1.899961
143.106537819,1.937402
144.104894161,1.760078
145.105728149,1.84796
146.106563091,1.914521
147.104920864,2.045045
148.105757713,1.974843
149.106593132,1.940002
150.104953289,1.972243
151.105791092,2.024765
152.106628895,2.062726
153.104990006,1.997724
154.105829239,2.029965
155.106668472,2.044005
156.107508659,1.992523
157.138077259,1.971203
158.106713295,2.014364
159.107554436,2.019564
160.108396053,2.005004
161.106761456,1.999284
162.105127335,1.957682
163.105970383,1.986803
164.106814384,1.936362
165.105181217,1.969123
166.106026649,2.022165
167.106871605,2.103808
168.105240345,2.039325
169.106085777,1.959762
170.104455948,2.017484
171.107780457,2.032045
172.106150150,2.034645
173.104521275,1.955082
174.112801552,2.008124
175.111173153,2.036725
176.112022877,2.029965
177.105440617,1.995124
178.106290340,2.191692
179.104664326,2.229134
180.107992649,2.178691
181.106366634,2.231214
182.104742050,2.319099
183.105594158,2.247855
184.106446743,2.14593
185.104822636,2.125649
186.108153820,2.242135
187.106531143,2.259816
188.104907990,2.223934
189.105763435,2.164651
190.106619358,2.129809
191.104997635,2.208853
192.105853558,2.075727
193.104233265,1.996164
194.105090618,2.048686
195.105948448,2.14593
196.106806278,2.188572
197.105187416,2.224454
198.106046677,2.218734
199.106905460,2.14437
200.110242844,2.115248
201.113579750,2.084567
202.107008457,2.034125
203.132642746,2.077807
204.116162777,2.057526
205.104637146,1.997724
206.105499744,2.012804
207.106361866,1.993044
208.114656925,2.012804
209.105610847,2.048686
210.103997231,2.074167
211.104860783,2.058566
212.105725288,2.067926
213.104112625,2.130849
214.104977608,2.277497
215.108320236,2.32066
216.111663342,2.378383
217.105097771,2.378383
218.105964661,2.378383
219.104353905,2.391904
220.105220795,2.435588
221.106088638,2.379944
222.106956482,2.398665
223.105347633,2.423107
224.106215954,2.47147
225.104608059,2.535956
226.107954502,2.598881
227.106347084,2.628004
228.104739666,2.642045
229.105609894,2.657127
230.104002953,2.655566
231.104874134,2.610842
232.105746269,2.531795
233.106617928,2.495912
234.105012417,2.413746
235.105885029,2.369543
236.104280949,2.374743
237.107631207,2.32482
238.106027603,2.334701
239.104424477,2.217173
240.107776165,2.026325
241.103695393,2.011764
242.107048512,1.752798
243.105446339,1.781398
244.103844166,1.809999
245.104720593,1.839119
246.105596542,1.967043
247.103996277,2.089247
248.104873657,2.010204
