Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.047004223,98.48438,2802.46875,4.070625,122.5,0
1.098731995,98.48438,1808.71875,4.070625,106.25,0
1.977726459,98.47266,1418.53125,4.07,126.5625,0
3.032620430,98.47266,1128,4.071875,103.75,0
4.087456226,98.47266,958.78125,4.071875,126.875,0
4.966405392,98.46094,846.75,4.0675,115.3125,0
6.021746159,98.46094,767.0625,4.07125,106.875,0
7.077556610,98.46094,698.15625,4.070625,117.5,0
7.980933189,98.44922,657.9375,4.0725,139.6875,0
9.009821415,98.44922,623.15625,4.07125,129.6875,0
10.064832211,98.44922,590.8125,4.070625,114.6875,0
10.946585655,98.4375,558.46875,4.068125,148.4375,0
11.998159885,98.4375,535.875,4.0725,131.5625,0
13.056701660,98.4375,515.25,4.06875,119.6875,0
13.932870865,98.42188,498.9375,4.0625,125.3125,0
14.987352848,98.42188,488.53125,4.069375,120,0
16.055164814,98.41016,471.65625,4.066875,144.6875,0
17.099125862,98.41016,461.625,4.070625,114.6875,0
17.976473331,98.41016,454.59375,4.07,102.5,0
19.030222893,98.39844,443.90625,4.0675,134.6875,0
20.086824417,98.39844,436.21875,4.070625,145.3125,0
20.964099884,98.39844,429.5625,4.066875,128.4375,0
22.019773483,98.38672,421.6875,4.066875,129.6875,0
23.073987484,98.38672,417.46875,4.06625,117.8125,0
23.952416897,98.38672,413.0625,4.06875,131.875,0
25.007318974,98.375,413.625,4.06625,99.6875,0
26.062068462,98.375,412.5,4.0675,111.875,0
26.942167759,98.375,409.5,4.06375,131.5625,0
27.995759010,98.36328,403.6875,4.064375,136.5625,0
29.052233219,98.36328,398.53125,4.065,131.5625,0
30.105457306,98.35156,395.4375,4.063125,157.5,0
30.984421730,98.35156,392.25,4.066875,144.6875,0
32.039830685,98.35156,393.1875,4.0675,129.0625,0
33.096527576,98.33984,393.1875,4.0675,138.4375,0
33.972918510,98.33984,390.75,4.065,131.875,0
35.027906418,98.33984,387.84375,4.060625,134.375,0
36.087591171,98.32422,391.6875,4.065625,131.25,0
36.961624145,98.32422,389.25,4.06125,105.3125,0
38.019093513,98.32422,387.84375,4.068125,121.875,0
39.073783875,98.3125,387.84375,4.065625,116.5625,0
39.952629566,98.3125,388.3125,4.064375,144.375,0
41.005403519,98.3125,385.59375,4.066875,106.875,0
42.104922771,98.30078,384.65625,4.06625,152.1875,0
42.939596176,98.30078,382.96875,4.0675,123.75,0
43.995805740,98.30078,382.96875,4.063125,158.4375,0
45.048403740,98.28906,382.5,4.06375,124.6875,0
46.103188992,98.28906,383.4375,4.065,117.1875,0
46.982234001,98.28906,384.9375,4.064375,124.0625,0
48.038504601,98.27734,385.875,4.064375,115.3125,0
49.093647957,98.27734,384.9375,4.06125,124.6875,0
49.970550537,98.27734,385.875,4.064375,118.4375,0
51.025524616,98.26563,384.9375,4.065625,118.125,0
52.083681107,98.26563,384.9375,4.063125,122.8125,0
52.961728573,98.26563,385.40625,4.064375,147.1875,0
54.014021873,98.25391,385.40625,4.064375,147.8125,0
55.086274624,98.25391,384,4.063125,132.1875,0
55.947786331,98.24219,381.5625,4.06375,120.3125,0
57.002462387,98.24219,382.03125,4.06375,120,0
58.057359695,98.24219,381.375,4.063125,127.5,0
58.944699287,98.22656,382.3125,4.061875,125.625,0
59.991930485,98.22656,380.4375,4.06375,131.875,0
61.046048641,98.22656,381.84375,4.065625,118.125,0
62.101264477,98.21484,377.34375,4.063125,133.4375,0
62.981208324,98.21484,377.34375,4.065,124.375,0
64.034518242,98.21484,377.34375,4.06375,140.625,0
65.089310169,98.20313,377.8125,4.065625,110.9375,0
65.969886303,98.20313,378.75,4.06375,120,0
67.023495674,98.20313,378.28125,4.066875,101.25,0
68.107363701,98.19141,378.28125,4.063125,107.8125,0
68.956883430,98.19141,376.5,4.05875,163.125,0
70.013904095,98.19141,377.34375,4.064375,123.125,0
71.068726540,98.17969,376.5,4.0625,132.5,0
71.946837902,98.17969,373.96875,4.0575,158.75,0
73.003463745,98.16797,373.5,4.060625,120.625,0
74.054981232,98.16797,371.0625,4.065625,137.8125,0
74.934027195,98.16797,373.03125,4.063125,95.3125,0
76.005281925,98.15625,375.75,4.061875,132.1875,0
77.044296741,98.15625,379.03125,4.064375,120.3125,0
78.098281860,98.15625,379.03125,4.060625,127.8125,0
78.979179382,98.14453,379.6875,4.06,95.625,0
80.032189369,98.14453,378.5625,4.06125,126.875,0
81.088238716,98.14453,378.5625,4.060625,133.125,0
81.965945721,98.12891,376.21875,4.060625,143.4375,0
83.020735264,98.12891,375.28125,4.06625,122.8125,0
84.093214512,98.12891,377.625,4.05875,155,0
84.954599380,98.11719,374.4375,4.061875,131.25,0
86.009327412,98.11719,375.09375,4.06375,120,0
87.064062595,98.10547,374.625,4.0625,121.875,0
87.959237576,98.10547,374.15625,4.0625,126.875,0
88.997876167,98.10547,375.09375,4.060625,130.3125,0
90.052672386,98.09375,375.09375,4.0625,120.625,0
90.931737423,98.09375,373.6875,4.06375,110.9375,0
91.988286495,98.09375,372.375,4.059375,136.875,0
93.041497231,98.08203,371.25,4.061875,129.6875,0
94.096113205,98.08203,371.71875,4.063125,124.0625,0
94.975060940,98.08203,371.71875,4.059375,129.6875,0
96.030824184,98.07031,371.25,4.059375,142.5,0
96.909120083,98.07031,371.71875,4.059375,141.25,0
97.963787079,98.07031,370.78125,4.064375,113.75,0
99.021073341,98.05859,373.3125,4.05625,142.8125,0
100.075874329,98.05859,372.5625,4.0575,150,0
100.953925610,98.05859,373.03125,4.060625,115.625,0
102.006999016,98.04688,374.8125,4.059375,134.375,0
103.063288212,98.04688,373.5,4.0625,146.5625,0
103.943025589,98.03125,373.5,4.06125,147.5,0
104.998361111,98.03125,373.03125,4.060625,135,0
106.052952290,98.03125,375.75,4.06,120.3125,0
107.105793476,98.01953,373.96875,4.061875,120,0
107.992079258,98.01953,371.4375,4.061875,135.3125,0
109.038976669,98.01953,372.5625,4.0625,130.3125,0
110.095855713,98.00781,372.1875,4.059375,119.0625,0
110.974428177,98.00781,373.5,4.060625,130,0
112.027356148,98.00781,371.4375,4.063125,123.4375,0
113.085788727,97.99609,370.96875,4.0625,135.9375,0
113.961477756,97.99609,371.25,4.06,126.875,0
115.016031265,97.99609,371.25,4.060625,123.4375,0
116.070833206,97.98438,371.90625,4.060625,126.25,0
116.950841427,97.98438,369.46875,4.060625,126.5625,0
118.006896973,97.97266,371.25,4.059375,110.625,0
119.060532570,97.97266,373.21875,4.06,132.8125,0
119.938421249,97.97266,372.375,4.06,112.8125,0
120.996063232,97.96094,373.21875,4.06125,105.625,0
122.048947811,97.96094,374.15625,4.060625,117.5,0
123.103163719,97.96094,374.15625,4.06125,111.5625,0
123.981664658,97.94922,375.09375,4.0625,110.625,0
125.036694527,97.94922,376.03125,4.065625,108.75,0
126.091330528,97.94922,374.15625,4.060625,149.6875,0
126.982593536,97.93359,375.5625,4.060625,144.6875,0
128.027987003,97.93359,374.8125,4.0575,155.9375,0
129.079801083,97.93359,373.96875,4.06125,119.6875,0
129.960525036,97.92188,375.28125,4.063125,120.9375,0
131.013704777,97.92188,374.34375,4.06125,122.1875,0
132.068471909,97.92188,374.34375,4.056875,157.8125,0
132.947498798,97.91016,374.34375,4.0575,148.125,0
134.005599976,97.91016,375.28125,4.0625,109.0625,0
135.057650566,97.91016,378.09375,4.05875,135.3125,0
