Time (s),Data
0.663156033,$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A\r\n
0.691659451,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
0.745896816,$GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
0.781960488,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
1.660918713,$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42\r\n
1.691239834,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
1.743240833,$GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B\r\n
1.783212185,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
2.659925938,$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43\r\n
2.693821430,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
2.744079590,$GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A\r\n
2.781691551,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
3.660788536,$GPGGA,235946.799,,,,,0,0,,,M,,M,,*40\r\n
3.691581249,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
3.713932514,$GPGSV,1,1,00*79\r\n
3.762228966,$GPRMC,235946.799,V,,,,,0.00,0.00,050180,,,N*49\r\n
3.800979138,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
4.659586907,$GPGGA,235947.799,,,,,0,0,,,M,,M,,*41\r\n
4.691212654,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
4.743005276,$GPRMC,235947.799,V,,,,,0.00,0.00,050180,,,N*48\r\n
4.781679154,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
5.662176132,$GPGGA,235948.799,,,,,0,0,,,M,,M,,*4E\r\n
5.693618298,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
5.742921353,$GPRMC,235948.799,V,,,,,0.00,0.00,050180,,,N*47\r\n
5.783303738,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
6.659708023,$GPGGA,235949.799,,,,,0,0,,,M,,M,,*4F\r\n
6.691176415,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
6.742770672,$GPRMC,235949.799,V,,,,,0.00,0.00,050180,,,N*46\r\n
6.783401966,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
7.659583569,$GPGGA,235950.800,,,,,0,0,,,M,,M,,*48\r\n
7.691194058,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
7.742811203,$GPRMC,235950.800,V,,,,,0.00,0.00,050180,,,N*41\r\n
7.781635285,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
8.661488056,$GPGGA,235951.800,,,,,0,0,,,M,,M,,*49\r\n
8.693436146,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
8.713415623,$GPGSV,1,1,00*79\r\n
8.762124062,$GPRMC,235951.800,V,,,,,0.00,0.00,050180,,,N*40\r\n
8.800977707,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
9.661880016,$GPGGA,235952.800,,,,,0,0,,,M,,M,,*4A\r\n
9.693393231,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
9.744060517,$GPRMC,235952.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
9.781881809,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
