Time (s),Altitude (m)
0.250177860,70.60236
1.248413086,70.97446
2.249126911,71.04668
3.249843121,70.82007
4.250561714,70.42233
5.248804092,70.40767
6.249526024,70.48408
7.250249386,70.64788
8.248496532,70.67928
9.249222755,70.62957
10.249950886,70.87502
11.248202801,71.14037
12.248933315,71.21835
13.249665737,71.46172
14.250398636,71.65066
15.248657227,71.0629
16.249393940,70.88653
17.250131607,70.87502
18.248394013,70.86769
19.249134541,70.92631
20.249877930,70.91531
21.248144150,70.88182
22.248889923,70.88548
23.249637127,70.75256
24.250386238,70.5584
25.248659611,70.48512
26.249411583,70.52385
27.250165463,70.55787
28.248443604,70.45477
29.249200821,70.27318
