Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.186501503,100.0234,1266.65625,4.109375,285,0
1.241016865,100.0117,869.15625,4.108125,261.25,0
2.119877338,100.0117,706.78125,4.108125,264.375,0
3.174720764,100,567.375,4.10875,286.25,0
4.229529858,99.98438,481.5,4.105625,309.0625,0
5.108425617,99.98438,434.90625,4.1025,280.3125,0
6.163443089,99.97266,392.90625,4.11,268.4375,0
7.218097687,99.96094,364.96875,4.10875,255.3125,0
8.097416401,99.96094,346.21875,4.10875,267.1875,0
9.151864529,99.94922,326.0625,4.10375,261.875,0
10.206666470,99.9375,304.125,4.071875,437.1875,0
11.085524082,99.92578,271.03125,4.05875,500.9375,0
12.140395641,99.91406,237.9375,4.06125,527.5,0
13.195114136,99.90234,217.125,4.056875,493.4375,0
14.251299381,99.88672,198.46875,4.069375,501.875,0
15.129111767,99.875,196.03125,4.104375,250.3125,0
16.183800221,99.86328,197.34375,4.1,240.9375,0
17.238544941,99.86328,198.09375,4.096875,259.0625,0
18.117609978,99.85156,199.40625,4.095,248.4375,0
19.172947884,99.83984,200.25,4.101875,280.3125,0
20.227181435,99.83984,200.0625,4.105625,247.5,0
21.106847763,99.82813,200.53125,4.1,258.4375,0
22.161697388,99.81641,201.75,4.1,230.9375,0
23.217416763,99.81641,203.25,4.101875,239.0625,0
24.094593048,99.80469,204.09375,4.105,290.625,0
25.149962425,99.78906,204,4.101875,264.0625,0
26.204331875,99.78906,205.125,4.103125,260.9375,0
27.083311558,99.77734,204.46875,4.1,283.4375,0
28.137977600,99.76563,204.65625,4.1,275.3125,0
29.192807674,99.76563,206.15625,4.103125,263.125,0
