Time (s),Altitude (m)
0.250189781,64.22051
1.248472214,64.21528
2.249233723,64.23306
3.249997616,64.14153
4.248286247,64.04425
5.249053955,63.9522
6.249823093,63.83452
7.248116970,64.03641
8.248889446,64.02699
9.249663830,64.03275
10.250439167,64.14153
11.248739243,64.21162
12.249517441,64.36749
13.250298023,64.4381
14.248601914,64.50138
15.249384880,64.49876
16.250169754,64.51132
17.248477936,64.36539
18.249265194,64.34395
19.250053883,64.39364
20.248366356,64.53433
21.249157906,64.54008
22.249951363,64.51393
23.248268604,64.39886
24.249064446,64.34447
25.249861240,64.37219
26.248182774,64.30785
27.248982906,64.26235
28.249784946,64.39991
29.248110771,64.57513
