Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.049557686,-0.3729775,0.6850396,-0.1597987
0.148674011,-0.385871,0.6952149,-0.1672787
0.247789860,-0.3892839,0.7003365,-0.1735385
0.349384308,-0.3932826,0.7079748,-0.1808297
0.448499680,-0.3944507,0.7091838,-0.1854765
0.547615528,-0.3923115,0.7149395,-0.1902401
0.649209976,-0.3947005,0.7170224,-0.1988657
0.748325825,-0.3953767,0.7211334,-0.2056379
0.847442150,-0.4046523,0.7268444,-0.212311
0.949035645,-0.4105588,0.7349734,-0.2199925
1.048151970,-0.4147109,0.741662,-0.004637274
1.149745941,-0.4191883,0.7462674,-0.01505294
1.248862267,-0.4258081,0.7493821,-0.0215481
1.347978592,-0.4352178,0.7559569,-0.02671649
1.449572086,-0.4426812,0.7636364,-0.03134355
1.548688889,-0.4520727,0.7685766,-0.03525736
1.647805214,-0.4574543,0.7735131,-0.03764474
1.749398709,-0.4629927,0.7806931,-0.04407343
1.848515034,-0.4685647,0.785027,-0.05037791
1.947631359,-0.473002,0.7907174,-0.05504197
2.049225330,-0.4792718,0.7975414,-0.06314832
2.148341656,-0.484081,0.8018892,-0.06569088
2.247457981,-0.4844756,0.8027145,-0.07184772
2.349052429,-0.4884081,0.8090863,-0.07829168
2.448168755,-0.4897651,0.8141447,-0.08356461
2.549762726,-0.4897542,0.8169866,-0.09208086
2.648879051,-0.4938447,0.8169972,-0.0988325
2.747995377,-0.4971879,0.8171265,-0.1026814
2.849589825,-0.4999828,0.8227979,-0.1101741
2.948706150,-0.5009782,0.8236032,-0.1129686
3.047822475,-0.5009855,0.8268608,-0.1189727
3.149416924,-0.5022354,0.8303131,-0.1264388
3.248533249,-0.5063878,0.8370625,-0.1320769
3.347649098,-0.5079576,0.8405424,-0.1393165
3.449243069,-0.5128013,0.8417311,-0.1444162
3.548359871,-0.5183035,0.8445444,-0.1501448
3.647476196,-0.5186607,0.8462172,-0.1571451
3.749070645,-0.5232666,0.8481058,-0.1642817
3.848186970,-0.523903,0.8510785,-0.1694429
3.947303295,-0.525181,0.8531337,-0.1742373
4.048897743,-0.5258277,0.85637,-0.1775024
4.148014069,-0.5253795,0.8539196,-0.1812378
4.249608994,-0.5259441,0.853411,-0.1885118
4.348724842,-0.5263578,0.8525085,-0.1923944
4.447841644,-0.525247,0.8537632,-0.1999072
4.549436093,-0.5304962,0.8529247,-0.2055999
4.648552418,-0.5310615,0.8528531,-0.2090061
4.747668743,-0.5340306,0.8504276,-0.2156962
4.849263191,-0.5352654,0.8500236,-0.2193408
4.948379517,-0.5365683,0.8471563,-0.2233085
5.047496319,-0.5386903,0.8447055,-0.2255958
5.149090290,-0.5370039,0.8401242,-0.2289133
