Time (s),Data
0.719483376,$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A\r\n
0.751139641,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
0.802871227,$GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
0.841783524,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
1.719410420,$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42\r\n
1.751314640,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
1.802704811,$GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B\r\n
1.841583252,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
2.718460083,$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43\r\n
2.750503063,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
2.801628113,$GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A\r\n
2.840528965,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
3.719918728,$GPGGA,235946.799,,,,,0,0,,,M,,M,,*40\r\n
3.751611710,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
3.804165840,$GPGSV,2,1,05,23,,,36,20,,,33,10,,,38,24,,,38*7E\r\n
3.832576752,$GPGSV,2,2,05,15,,,29*73\r\n
3.883169174,$GPRMC,235946.799,V,,,,,0.00,0.00,050180,,,N*49\r\n
3.922012806,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
4.718550682,$GPGGA,235947.799,,,,,0,0,,,M,,M,,*41\r\n
4.750174999,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
4.802003861,$GPRMC,235947.799,V,,,,,0.00,0.00,050180,,,N*48\r\n
4.840621948,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
5.718698502,$GPGGA,235948.799,,,,,0,0,,,M,,M,,*4E\r\n
5.750611305,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
5.801785469,$GPRMC,235948.799,V,,,,,0.00,0.00,050180,,,N*47\r\n
5.840634346,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
6.718442917,$GPGGA,235949.799,,,,,0,0,,,M,,M,,*4F\r\n
6.750082016,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
6.801775456,$GPRMC,235949.799,V,,,,,0.00,0.00,050180,,,N*46\r\n
6.840686321,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
7.718721390,$GPGGA,235950.800,,,,,0,0,,,M,,M,,*48\r\n
7.750245571,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
7.801751137,$GPRMC,235950.800,V,,,,,0.00,0.00,050180,,,N*41\r\n
7.840520859,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
8.718981743,$GPGGA,235951.800,,,,,0,0,,,M,,M,,*49\r\n
8.750555039,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
8.803382397,$GPGSV,2,1,05,23,,,36,20,,,33,10,,,37,24,,,38*71\r\n
8.831153393,$GPGSV,2,2,05,15,,,30*7B\r\n
8.882433892,$GPRMC,235951.800,V,,,,,0.00,0.00,050180,,,N*40\r\n
8.921102524,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
9.719658852,$GPGGA,235952.800,,,,,0,0,,,M,,M,,*4A\r\n
9.751176834,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
9.802764893,$GPRMC,235952.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
9.841618538,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
10.718560696,$GPGGA,235953.800,,,,,0,0,,,M,,M,,*4B\r\n
10.750135422,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
10.801697254,$GPRMC,235953.800,V,,,,,0.00,0.00,050180,,,N*42\r\n
10.840895176,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
11.290930271,$GPGGA,235954.369,,,,,0,0,,,M,,M,,*48\r\n
11.322220326,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
11.373807907,$GPRMC,235954.369,V,,,,,0.00,0.00,050180,,,N*41\r\n
11.412941456,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
11.510505200,$GPGGA,235954.589,,,,,0,0,,,M,,M,,*40\r\n
11.542165756,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
11.593939781,$GPRMC,235954.589,V,,,,,0.00,0.00,050180,,,N*49\r\n
11.632592678,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
