Time (s),X (g),Y (g),Z (g)
0.000000000,0.002591016,-0.001520349,-0.00288403
0.007433414,0.001192344,-0.002987589,-0.005778611
0.029734612,-0.001630944,0.004738379,-0.0004119277
0.049557686,0.003197837,-0.001476736,-0.0101245
0.069380760,-0.001668183,0.0009838231,-0.008637249
0.089204311,0.003223735,-0.001349262,-0.00771004
0.109027863,0.002377414,-0.002692562,1.227856E-05
0.128850937,0.0005278513,-0.0007684291,-0.004792452
0.148674011,0.001436148,0.001185359,-0.004305542
0.168497086,0.001452331,0.002126244,-0.003335238
0.188320160,-0.0009235078,0.004501664,-0.001378477
0.208143234,-0.0004424769,-0.0003767312,-0.00478524
0.227966785,-0.00136972,0.0006639194,-0.01297873
0.247789860,0.002028209,-0.001674519,-0.004321694
0.267612934,-0.002771696,-0.0002601151,-0.004769564
0.287436009,-0.0003831722,0.004177973,-0.005242765
0.309737206,0.00116372,0.0007576472,-0.007680893
0.329560280,-0.002700249,-0.00120822,-0.01056546
0.349384308,0.004562608,0.001807637,-0.007694006
0.369207382,0.001627933,0.001761577,-0.004782736
0.389030457,0.004988349,-0.0016893,-0.003854692
0.408853531,-0.002709361,-0.00466411,-0.004309714
0.428676605,0.00360703,0.0003001629,-0.006248474
0.448499680,0.002177163,-0.0006111227,-0.004314184
0.468322754,0.0002528289,-0.001158301,-0.006719887
0.488146305,-0.001670604,-0.0002077026,-0.003808141
0.507969380,0.002708836,0.0007830025,-0.005757451
0.527792454,0.001288584,-0.00351158,-0.001427352
0.547615528,0.0017847,-0.002122051,-0.008661985
0.567439556,0.004735905,-0.0006170552,-0.003360748
0.589740276,0.002264884,0.001797139,-0.003335595
0.609563828,0.001338601,0.001324374,0.001011968
0.629386902,-0.0006099939,0.001295473,-0.008630872
0.649209976,0.002786089,-0.0001255632,-0.007691681
0.669033051,0.005717382,0.0008840589,-0.002875268
0.688856125,0.0008508395,-0.00108535,-0.008650839
0.708679199,0.003281516,0.004252727,-0.006222844
0.728502274,0.004292778,-0.00208245,-0.006260991
0.748325825,0.0009114053,-0.001102454,-0.009615421
0.768149376,0.00340295,-0.003479276,-0.003365993
0.787972450,0.00145986,-0.0005627354,-0.005753279
0.807795525,-0.002386988,-0.001015817,-0.001873016
0.827619076,0.00194707,0.004362071,-0.007177889
0.847442150,0.0005127825,0.002958227,-0.006694257
0.869743347,0.002945335,0.001536821,-0.007680237
0.889566422,-0.0003959741,0.0005655969,-0.005252719
0.909389496,0.001582954,-0.001331466,-0.004307449
0.929212570,-0.001799004,0.0001154682,-0.008142591
0.949035645,-0.0002765572,-0.002292404,-0.003335297
0.968859673,0.002133079,0.0006337874,-0.006712139
0.988682747,0.002670472,0.001606814,-0.00284791
1.008505821,0.00269821,-0.0003101528,-0.003340185
1.028328896,0.001243657,-0.000789409,-0.01105732
1.048151970,-0.002605102,0.0002015955,-0.003307581
1.067975044,0.004198568,0.002681541,-0.00671041
1.087798595,0.003253388,0.001692716,-0.0115366
1.107621670,0.003799449,0.001228841,-0.002852857
1.127444744,0.007191026,0.00127252,-0.005284786
1.149745941,0.0004025092,-0.001654573,-0.00381428
1.169569492,0.005769135,-0.004044606,-0.00819993
1.189392567,-0.001066539,0.00614915,-0.00714457
1.209216118,0.0004599048,-0.002088551,-0.003816128
1.229039192,0.002374914,-0.0001193485,-0.007677853
1.248862267,0.002885766,-0.002506952,-0.006245077
1.268685341,0.001441761,0.0004712413,-0.004290402
1.288508415,3.126636E-05,-0.003863894,0.0005224347
1.308332443,0.003910153,0.001039878,-0.004782915
1.328155518,0.003912317,0.001555012,-0.005744994
1.347978592,-0.003334824,0.002013943,-0.002806365
1.367801666,0.004512216,-0.0008360408,0.001963854
1.387624741,0.00257476,-0.00134328,-0.005267799
1.407447815,0.0001621172,0.004056294,-0.001847684
1.429749012,-0.001293597,0.001633122,-0.01005661
1.449572086,0.0006985376,-0.0002747071,-0.004285395
1.469395638,0.006509319,0.0007867883,-0.006242573
1.489219189,0.0001739534,0.006601903,-0.005212367
1.509042263,0.003610018,0.000321209,-0.01153749
1.528865337,0.002666567,0.00231898,-0.003316283
1.548688889,0.0007869238,-0.001088122,-0.005253077
1.568511963,-0.0006802278,0.005263263,-0.002798557
1.588335037,-0.001613329,0.002824939,9.036064E-05
1.608158112,0.003277743,0.0004470386,-0.005257308
1.627982140,0.00518926,0.003875345,-0.01007688
1.647805214,0.0052266,0.002922026,-0.005737603
1.667628288,0.001863783,0.0009702914,-0.003797889
1.687451363,0.001878124,0.0009932797,-0.002832353
1.709752560,0.003793194,0.00490363,-0.01102787
1.729575634,0.001439678,0.002982375,-0.006679714
1.749398709,0.0004831823,0.005433322,-0.003282607
1.769221783,0.002486845,-0.002329363,-0.00381583
1.789045811,0.005892537,0.002587937,-0.0009127855
1.808868885,0.003011657,-0.003247053,-0.004788101
1.828691960,-0.0008897986,0.003076992,-0.002802849
1.848515034,0.005916614,0.004096812,-0.003317952
