Time (s),Altitude (m)
0.438429355,73.08485
1.439140320,72.99953
2.439854145,72.95609
3.438092232,73.01157
4.438809395,73.08328
5.439528465,73.0079
6.437772274,72.98854
7.438494682,72.79643
8.439218998,72.75874
9.439945221,72.71896
10.438195705,72.6907
11.438924789,73.1283
12.439655781,73.25446
13.437911033,73.18274
14.438644886,73.36491
15.439380646,73.33874
16.437641144,73.29843
17.438379764,73.16547
18.439120293,73.19688
19.439862728,73.03355
20.438128948,73.03198
21.438875198,73.05083
22.439621925,72.9519
23.437893867,73.01681
24.438644409,73.13668
25.439396858,73.19216
26.437674045,73.35811
27.438430786,73.34188
28.439188480,73.23561
29.437471866,73.26074
30.438233375,73.3445
31.438997269,73.47746
32.437285900,73.39475
33.438053608,73.50782
34.438823700,73.58739
35.439595222,73.70203
36.437891960,73.62927
37.438667774,73.73502
38.439445495,73.63346
39.437748432,73.7837
40.438531399,73.76957
41.439315796,73.77114
42.437624931,73.79679
43.438414097,73.96117
44.439205170,74.09205
45.437520981,73.93656
46.438316822,73.71198
47.439114570,73.7167
48.437438011,73.61252
49.438240528,73.68529
50.439044952,73.65335
51.437374592,73.50311
52.438184261,73.51777
53.438996315,73.69418
54.437332630,73.67272
55.438149452,73.50154
56.438968658,73.39475
57.437312126,73.35863
58.438135624,73.6099
59.438961506,73.81459
60.437311649,73.66487
61.438141823,73.69418
62.438974857,73.68581
63.449718475,73.51096
64.438169002,73.56122
65.439008236,73.59263
66.437372684,73.5073
67.438216686,73.31256
68.439063072,73.00058
