Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.309178829,100.0117,711.46875,4.105,279.375,0
1.364043236,100,570,4.110625,270.3125,0
2.418830871,99.98438,492.46875,4.109375,261.5625,0
3.297720909,99.98438,442.5,4.10875,284.0625,0
4.352765083,99.97266,401.71875,4.11125,269.6875,0
5.407445431,99.96094,374.4375,4.11,260,0
6.286622047,99.96094,350.0625,4.108125,242.8125,0
7.341217041,99.94922,331.21875,4.1075,249.375,0
8.395988941,99.94922,315.75,4.11125,267.1875,0
9.274883270,99.9375,303,4.109375,262.1875,0
10.329730511,99.92578,291.75,4.109375,275,0
11.384562015,99.91406,269.53125,4.08125,463.125,0
12.439568519,99.90234,245.0625,4.075,481.25,0
13.318334579,99.88672,227.71875,4.086875,405,0
14.373352051,99.875,209.90625,4.0875,427.8125,0
15.427812099,99.86328,194.0625,4.07125,461.875,0
16.307167530,99.85156,184.3125,4.08375,317.8125,0
17.362323284,99.83984,174.28125,4.064375,462.1875,0
18.416538238,99.81641,165.84375,4.06875,506.875,0
19.296511173,99.80469,160.21875,4.07,525.3125,0
20.350314617,99.78906,154.96875,4.054375,498.75,0
21.406074047,99.77734,151.5,4.065,499.0625,0
22.283965111,99.76563,147.1875,4.0625,458.4375,0
23.338720798,99.75391,142.78125,4.06,561.25,0
24.393698215,99.73047,140.90625,4.0575,567.5,0
25.272619247,99.71875,138.84375,4.096875,253.4375,0
26.327321052,99.70703,135.84375,4.074375,403.4375,0
27.382264614,99.69141,133.40625,4.06625,550,0
28.437415123,99.67969,132.65625,4.09625,258.125,0
29.316181660,99.66797,130.40625,4.05875,455.625,0
30.370753288,99.64453,128.0625,4.063125,517.8125,0
31.425572872,99.63281,126.9375,4.05625,440.625,0
32.306805134,99.62109,125.90625,4.0675,545.625,0
33.359436989,99.60938,124.5,4.053125,443.125,0
34.414250374,99.59375,123.5625,4.075625,421.875,0
35.293238163,99.58203,122.71875,4.053125,504.6875,0
36.347966194,99.55859,122.71875,4.090625,267.8125,0
37.403204441,99.54688,121.875,4.055,455.625,0
38.281717777,99.53516,120.1875,4.05375,504.6875,0
39.336403847,99.52344,119.4375,4.06625,537.5,0
40.391425133,99.51172,118.03125,4.055625,545.625,0
41.270297050,99.48438,117.84375,4.059375,516.25,0
42.325932503,99.47266,116.90625,4.073125,294.0625,0
43.379776001,99.46094,116.53125,4.059375,467.1875,0
44.434722423,99.44922,116.71875,4.058125,445.9375,0
45.314060688,99.4375,115.78125,4.063125,472.5,0
46.368440628,99.41406,116.25,4.06,440,0
47.423187256,99.39844,115.6875,4.059375,439.0625,0
48.302110672,99.38672,116.8125,4.05,473.75,0
49.357071876,99.375,116.0625,4.07875,510,0
50.411674499,99.36328,116.4375,4.05875,422.8125,0
51.291099548,99.35156,117.09375,4.08375,280.9375,0
52.345535278,99.33984,117.75,4.06625,390.3125,0
53.400263786,99.32813,118.3125,4.049375,495.625,0
54.279289722,99.31641,118.21875,4.055625,477.8125,0
55.334291458,99.28906,118.59375,4.055,408.125,0
56.390272140,99.27734,118.6875,4.048125,553.75,0
57.267962456,99.26563,118.125,4.058125,506.5625,0
58.323602676,99.25391,119.4375,4.06,408.75,0
59.377640724,99.24219,119.34375,4.04625,527.1875,0
60.432246685,99.23047,118.78125,4.083125,261.5625,0
61.311298847,99.21875,119.90625,4.04625,551.25,0
62.366076946,99.19141,118.3125,4.055,474.6875,0
63.420785427,99.17969,118.5,4.08,272.5,0
64.299773216,99.16797,118.59375,4.05875,519.375,0
65.355193138,99.15625,117.5625,4.04625,432.5,0
66.409429073,99.14453,118.21875,4.05625,482.1875,0
67.288440227,99.13281,118.59375,4.065625,415.3125,0
68.343159199,99.10547,118.03125,4.048125,495.625,0
