Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.002476692,0.1976999,0.1220172,-0.03742781,-0.001447688,0.001395358,1.002836,33.94368,6.522867,-23.08749,1004.789
0.004953861,0.1976999,0.1220172,-0.1597527,-0.00634867,0.002809871,0.9941819,33.94368,6.522867,-23.08749,1004.789
0.007430553,0.2589334,0.1825299,-0.1597527,-0.005350354,0.0008777523,0.9985106,33.94368,6.522867,-23.08749,1004.789
0.009907722,0.2589334,0.1825299,-0.1597527,-0.009215909,-0.003035435,0.9994769,33.94368,6.522867,-23.08749,1004.789
0.012384415,0.1976999,0.1825299,-0.2209152,-0.002435103,0.001379778,0.9984972,33.95589,5.796692,-22.69451,1004.789
0.014862061,0.1364664,0.2430426,-0.2209152,-0.001929699,-0.002026177,0.9984769,33.95589,5.796692,-22.69451,1004.789
0.017338276,0.1364664,0.1220172,-0.2209152,-0.00872681,-0.0005865777,1.004314,33.95589,5.796692,-22.69451,1004.789
0.019815922,0.1364664,0.0615045,-0.1597527,-0.006811514,0.001846394,0.9994888,33.95589,5.796692,-22.69451,1004.789
0.022292614,0.1976999,0.1220172,-0.1597527,-0.001436234,-6.307196E-05,1.003794,33.95589,5.796692,-22.69451,1004.789
0.024769783,0.1976999,0.1220172,-0.2820776,-0.001934041,-7.379148E-05,1.000418,33.95589,5.796692,-22.69451,1004.789
0.027246475,0.0139995,0.3035553,-0.1597527,-0.007309321,0.001835675,0.9961128,33.95589,5.796692,-22.69451,1004.789
0.029723644,0.0139995,0.364068,-0.1597527,-0.005333958,0.0008894702,1.003337,33.95589,5.796692,-22.69451,1004.789
0.032200813,0.1364664,0.0009917939,-0.2209152,-0.003887533,0.001376914,1.000436,33.95589,5.796692,-22.69451,1004.79
0.034677506,0.2589334,-0.05952091,-0.1597527,-0.01115848,-0.002065795,1.001906,33.95589,5.796692,-22.69451,1004.79
0.039631844,0.1364664,0.2430426,-0.1597527,-0.003399563,0.001380603,1.000916,33.95589,5.796692,-22.69451,1004.79
0.042109013,0.07523298,0.1220172,-0.03742781,-0.0102109,0.001832291,1.000955,33.95589,5.796692,-22.69451,1004.79
0.044585705,0.1976999,0.2430426,-0.2209152,-0.006798442,-0.001077496,0.9985085,33.95589,5.796692,-22.69451,1004.79
0.047062874,0.1364664,0.2430426,-0.2820776,-0.008757385,0.001347059,0.9985316,33.95589,5.796692,-22.69451,1004.79
0.049539566,0.1364664,0.1220172,-0.2820776,-0.0009520976,-0.0005509949,1.002341,33.95589,5.796692,-22.69451,1004.79
0.052016735,0.1364664,0.0615045,-0.03742781,-0.002912126,0.002361656,1.002849,33.95589,5.796692,-22.69451,1004.79
0.054493427,0.07523298,0.1825299,-0.1597527,-0.009763876,0.00473995,0.9942105,33.95589,5.796692,-22.69451,1004.79
0.056970596,0.0139995,0.1825299,-0.2209152,-0.005824122,0.0003953413,1.001407,33.95589,5.796692,-22.69451,1004.79
0.059448242,0.0139995,0.0615045,-0.2209152,-0.007282579,-0.0005895733,0.9999617,33.95589,5.796692,-22.69451,1004.79
0.061924934,0.07523298,0.1825299,-0.2820776,-0.004873817,0.003806503,1.000454,33.94943,6.156171,-23.08101,1004.79
0.064402103,0.1364664,-0.05952091,-0.2209152,-0.003388663,-0.0005670947,1.000906,33.94943,6.156171,-23.08101,1004.79
0.066878796,0.2589334,0.0615045,-0.2820776,-0.003873399,-0.003501705,0.9965492,33.94943,6.156171,-23.08101,1004.79
0.069355965,0.1364664,0.2430426,-0.2209152,-0.006302321,-0.004001214,0.9965599,33.94943,6.156171,-23.08101,1004.79
0.071832657,0.1976999,0.1220172,-0.4044026,-0.005326359,-0.002527204,0.999941,33.94943,6.156171,-23.08101,1004.79
0.074309826,0.1364664,0.2430426,-0.2820776,-0.00924263,0.0008564454,0.998049,33.94943,6.156171,-23.08101,1004.79
0.076786518,-0.04723396,0.0615045,-0.03742781,-0.005828509,-0.0005855381,0.9985057,33.94943,6.156171,-23.08101,1004.79
0.079263687,0.07523298,0.0615045,-0.2209152,-0.004894024,0.004769806,0.9961147,33.94943,6.156171,-23.08101,1004.79
0.081740379,0.1364664,0.2430426,-0.2820776,-0.0009717732,-0.0005650567,0.9965484,33.94943,6.156171,-23.08101,1004.79
0.084218025,0.1364664,0.0615045,-0.2209152,-0.002417091,-7.396471E-05,1.001386,33.94943,6.156171,-23.08101,1004.79
0.086694717,0.0139995,0.1220172,-0.1597527,-0.009220805,-0.001572318,1.00045,33.94943,6.156171,-23.08101,1004.79
0.089171886,-0.04723396,0.1220172,-0.1597527,-0.007764034,-0.00352184,0.9965704,33.94943,6.156171,-23.08101,1004.79
0.091649056,0.1364664,0.1825299,-0.2209152,-0.006332275,0.002821588,0.9990085,33.94943,6.156171,-23.08101,1004.79
0.094125748,0.2589334,0.1220172,-0.1597527,-0.001479326,0.005283723,0.9999601,33.94943,6.156171,-23.08101,1004.79
0.096602917,0.07523298,0.0615045,-0.2820776,-0.002930693,0.003326131,0.9989924,33.94943,6.156171,-23.08101,1004.79
0.099079609,0.07523298,0.1220172,-0.1597527,-0.006312113,-0.00107498,0.9985058,33.94943,6.156171,-23.08101,1004.79
0.101557255,0.1976999,0.0615045,-0.2209152,-0.004389705,0.001851948,0.9965795,33.94943,6.156171,-23.08101,1004.79
0.104033470,-0.04723396,0.1825299,-0.2209152,-0.01118033,-0.001103664,0.9970842,33.94943,6.156171,-23.08101,1004.79
0.106511116,0.3201669,0.0615045,-0.4044026,-0.006806641,-0.001083355,0.9960951,33.94943,6.156171,-23.08101,1004.79
0.108987808,0.1976999,0.1220172,-0.2820776,-0.006324099,0.001360815,0.999001,33.94943,6.156171,-23.08101,1004.79
0.111464977,0.3201669,0.2430426,-0.09859026,-0.008736138,-0.003037605,0.9975436,33.94943,6.156171,-23.08101,1004.791
0.113941669,0.07523298,-0.05952091,-0.3432401,-0.01020273,0.0003715178,1.000948,33.58464,5.785493,-23.07314,1004.791
0.116418839,-0.04723396,0.0615045,-0.2820776,-0.00195531,0.00284424,0.9989846,33.58464,5.785493,-23.07314,1004.791
0.118896008,0.1976999,0.1825299,-0.3432401,-0.002899609,-0.001051502,1.000901,33.58464,5.785493,-23.07314,1004.791
0.121372700,0.2589334,0.1220172,-0.3432401,-0.006325208,0.0003822786,0.9970652,33.58464,5.785493,-23.07314,1004.791
0.123850346,0.2589334,0.0615045,-0.4044026,-0.006335045,0.000375248,0.9941693,33.58464,5.785493,-23.07314,1004.791
0.126327038,0.0139995,0.0009917939,-0.2820776,-0.002919793,0.001378433,0.9989824,33.58464,5.785493,-23.07314,1004.791
0.128804207,0.07523298,-0.1200336,-0.2209152,-0.0048722,0.002341043,0.9985155,33.58464,5.785493,-23.07314,1004.791
0.131280899,0.1364664,0.2430426,-0.2209152,-0.004870006,0.002831483,0.999966,33.58464,5.785493,-23.07314,1004.791
0.133758068,0.1976999,0.1825299,-0.2209152,-0.008235008,-9.127753E-05,1.006727,33.58464,5.785493,-23.07314,1004.791
0.136234760,0.1364664,0.2430426,-0.2820776,-0.004361323,-0.0005721285,1.000911,33.58464,5.785493,-23.07314,1004.791
0.138711929,0.07523298,0.364068,-0.1597527,-0.002409424,0.0009092586,1.005252,33.58464,5.785493,-23.07314,1004.791
0.141188622,0.1976999,0.1825299,-0.2209152,-0.007297867,0.0003772448,0.9970706,33.58464,5.785493,-23.07314,1004.791
0.143665791,0.07523298,0.0009917939,-0.2820776,-0.005870516,0.004273161,0.9941868,33.58464,5.785493,-23.07314,1004.791
0.146142483,0.07523298,0.1220172,-0.1597527,-0.002423118,-0.001056016,0.9980019,33.58464,5.785493,-23.07314,1004.791
0.148620129,0.0139995,0.1220172,-0.2209152,-0.006305577,-0.002536925,0.9980155,33.58464,5.785493,-23.07314,1004.791
0.151096344,0.2589334,0.2430426,-0.2209152,-0.005332341,-0.0005759906,1.001399,33.58464,5.785493,-23.07314,1004.791
0.153573990,0.3201669,0.1825299,-0.1597527,-0.004853633,0.001376568,1.002372,33.58464,5.785493,-23.07314,1004.79
0.156051159,0.07523298,0.1220172,-0.09859026,-0.01019069,0.0008689886,1.005294,33.58464,5.785493,-23.07314,1004.79
0.158527851,0.0139995,0.1220172,-0.09859026,-0.009687528,-0.005960671,0.9989818,33.58464,5.785493,-23.07314,1004.79
0.161005020,0.1976999,0.0615045,-0.2820776,-0.003875547,-0.00105888,0.9999406,33.58464,5.785493,-23.07314,1004.79
0.163481712,0.2589334,0.0615045,-0.09859026,-0.004379336,0.0008816143,0.9980226,33.95518,5.789476,-23.07453,1004.79
0.165958881,0.1364664,0.1220172,-0.09859026,-0.007282047,-0.001566938,0.9985086,33.95518,5.789476,-23.07453,1004.79
0.168435573,0.07523298,0.1220172,-0.1597527,-0.004864602,-0.001075631,0.9951191,33.95518,5.789476,-23.07453,1004.79
0.170913219,0.07523298,-0.05952091,-0.2209152,-0.00584599,-0.0001091594,0.9941642,33.95518,5.789476,-23.07453,1004.79
0.173389911,0.1364664,0.0009917939,-0.2820776,-0.00631209,0.0003916528,1.000927,33.95518,5.789476,-23.07453,1004.79
0.175867080,0.07523298,0.1825299,-0.2209152,-0.003911018,0.002337874,0.9951314,33.95518,5.789476,-23.07453,1004.79
0.178343773,-0.04723396,0.1825299,-0.09859026,-0.0009832273,0.0008933735,0.9955906,33.95518,5.789476,-23.07453,1004.79
0.180820942,0.07523298,0.1825299,-0.1597527,-0.0004587471,-0.005921052,0.9955527,33.95518,5.789476,-23.07453,1004.79
0.183298111,0.07523298,0.0615045,-0.2209152,-0.002456441,-0.0001020874,0.9898015,33.95518,5.789476,-23.07453,1004.79
0.185774803,0.0139995,0.0615045,-0.3432401,0.0009659461,0.002861685,0.9999343,33.95518,5.789476,-23.07453,1004.79
0.188252449,0.1976999,0.0009917939,-0.2209152,-0.007298975,-0.0006012912,0.9951349,33.95518,5.789476,-23.07453,1004.79
0.190728664,0.3814003,0.1825299,-0.2820776,-0.006830612,0.003788233,0.9970855,33.95518,5.789476,-23.07453,1004.79
