Time (s),X (g),Y (g),Z (g)
0.019815922,0.0009048162,-0.000296776,0.00626564
0.039631844,0.004345364,-0.0007929293,0.007692993
0.059448242,0.0005027256,-0.002785276,0.006739318
0.079263687,0.00290774,0.002556887,0.002892017
0.099079609,0.001503351,-0.003304983,0.005283654
0.118896008,0.004940087,-0.00331113,0.007678628
0.138711929,0.005449809,-0.001386104,0.01203018
0.158527851,-0.001794846,-0.008273235,0.005760431
0.178343773,0.006906793,-0.001435756,0.002369344
0.198160171,0.004009093,-0.0004992393,0.006734133
0.217976093,0.004059425,-0.001966907,0.00962323
0.237791538,0.007448978,-0.003923465,0.002354205
0.257608414,0.001144476,-0.005422075,0.002864063
0.277423858,-0.002725409,-0.002536193,0.003865778
0.299716949,0.003146498,-0.001582754,0.006735861
0.319532871,0.001696424,-0.001606347,0.006743729
0.339349270,0.003179711,-0.004051335,0.008654118
0.359165192,0.002219155,-0.003604189,0.008179426
0.378981113,0.001246284,0.0002504489,0.002895892
0.398797512,0.003754311,-0.004104978,0.006721854
0.418613434,0.006162697,0.002216261,0.001432002
0.438429355,-0.000112596,-0.001724714,0.002894402
0.458245754,0.003301757,0.003151158,0.008693516
0.478061676,0.00626967,-0.003694047,0.008159816
0.497877121,0.003396768,-0.004206762,0.01203471
0.517693519,0.001419747,-0.00132419,0.000959456
0.537509441,0.001472841,-0.0003673157,0.008204401
0.559802532,0.0005542291,-0.002846766,0.00626725
0.579618454,0.003983036,-0.002855879,0.003835797
0.599434853,0.001570158,-0.002402163,0.006747425
0.619250774,0.002049809,-0.001450337,0.003854275
0.639066696,0.001607128,-0.005846689,0.004799783
0.658883095,0.001134104,-0.001484304,0.004825413
0.678699016,0.004562292,-0.002470814,0.002388597
0.698514938,0.004135476,-0.00245933,0.01107967
0.718331337,0.005612524,-0.005877678,0.003814399
0.738146782,0.003225936,-0.004946137,0.004315794
0.757963657,0.003730011,-0.003469957,0.01011252
0.777779102,0.003721098,-0.004950208,0.003830612
0.797595024,0.001308146,-0.00255221,0.005304873
0.817411423,0.0003981562,-0.005477351,0.009156346
0.839704514,0.006195301,-0.003495796,0.006721437
0.859520435,0.00233044,-0.007440602,0.003343821
0.879336357,0.0003467714,-0.0006717271,0.001941741
0.899152756,0.002829097,-0.004553532,0.004804671
0.918968678,0.001879015,-0.004097136,0.002399564
0.938784599,0.004813409,-0.0002076833,0.004334807
0.958600998,0.0009672455,-0.004154725,0.006266296
0.978416920,0.005853993,-0.004104804,0.009136319
0.998233318,0.006330706,-0.0006974391,0.009151578
1.018048763,0.003419583,-0.005621904,-0.0005114079
1.037864685,0.005354723,-0.001727205,-0.0005015135
1.057681084,0.005901375,-0.000287744,0.005296052
1.077497005,0.004932899,-0.0008158784,0.00578177
1.099790096,0.0006024297,-0.006193215,0.006260693
1.119606018,0.003058476,-0.0003367614,0.01013952
1.139422417,0.004565022,-0.006673221,0.006720245
1.159238339,0.002599283,-0.003330268,0.0009567142
1.179054737,0.002136375,-0.004783492,0.004813135
1.198870659,0.005091724,-0.007702774,0.005747914
1.218686580,0.004612713,-0.003331243,0.006738782
1.238502979,0.004106457,-0.004814884,0.002872229
1.258318901,0.002187932,-0.003355605,0.008200049
1.278135300,0.005134896,-0.005749657,0.01106745
1.297951221,0.005617314,-0.007224614,0.002852023
1.317766666,0.005127471,-0.001854529,0.005778432
1.337583065,0.006596609,-0.004771823,0.003824711
1.357398987,0.007591584,-0.00379835,0.003342092
