Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.700997353,27.128,29.096
1.701716423,27.22,29.104
2.699961185,27.296,29.114
3.700684071,27.388,29.126
4.701409340,27.436,29.136
5.702136040,27.518,29.148
6.700387955,27.538,29.158
7.701117515,27.576,29.17
8.701849461,27.66,29.18
9.700106144,27.734,29.192
10.700840473,27.806,29.202
11.701576233,27.824,29.212
12.699836731,27.872,29.222
13.700575828,27.922,29.232
14.701316357,27.964,29.242
15.702058315,28.024,29.252
16.700323582,28.07,29.262
17.701067924,28.122,29.272
18.701813221,28.142,29.28
19.700082779,28.238,29.288
20.700830936,28.238,29.298
21.701580048,28.272,29.306
22.699852943,28.334,29.314
23.700604439,28.372,29.322
24.701356888,28.428,29.332
25.699633121,28.438,29.34
26.700387955,28.478,29.35
27.701143742,28.488,29.356
28.701900005,28.562,29.364
29.700181484,28.606,29.37
30.700939655,28.63,29.378
31.701699734,28.714,29.384
32.699983597,28.714,29.392
33.700744629,28.746,29.4
34.701507568,28.768,29.406
35.699794292,28.804,29.414
36.700558662,28.858,29.42
37.701323986,28.876,29.426
38.699613094,28.918,29.432
39.700380325,28.974,29.438
40.701148033,28.982,29.446
41.701917171,29.016,29.45
42.700209618,29.066,29.456
43.700980186,29.094,29.462
44.701752186,29.126,29.47
45.700047493,29.132,29.474
46.700820446,29.18,29.48
47.701594353,29.154,29.486
48.699891567,29.242,29.49
49.700667381,29.232,29.496
50.701443195,29.292,29.502
51.699742794,29.278,29.508
52.700520992,29.278,29.512
53.701299190,29.374,29.518
54.699601173,29.354,29.524
55.700381756,29.396,29.53
56.701161861,29.43,29.534
57.699465752,29.432,29.54
58.700248241,29.46,29.546
59.701030731,29.526,29.55
60.699337482,29.566,29.556
61.700121403,29.538,29.56
62.700906277,29.564,29.564
63.701691627,29.592,29.57
64.700000763,29.644,29.574
65.700788021,29.65,29.58
66.701575279,29.688,29.584
67.699886322,29.742,29.586
68.700674534,29.72,29.592
69.701463699,29.708,29.598
70.699777126,29.752,29.602
71.700567722,29.77,29.606
72.701358795,29.842,29.612
73.699673176,29.846,29.616
74.700465679,29.856,29.62
75.701259136,29.91,29.624
76.699575424,29.928,29.628
77.700369835,29.92,29.632
78.701165199,29.97,29.636
79.699482918,30.002,29.642
80.700279236,29.996,29.644
81.701076031,30.012,29.648
82.699395657,30.026,29.652
83.700193405,30.032,29.658
84.720809936,30.05,29.662
85.699313164,30.126,29.666
86.700113296,30.098,29.67
87.700912952,30.114,29.672
88.699235916,30.144,29.676
89.700037479,30.146,29.68
90.700839043,30.168,29.684
91.699163437,30.23,29.688
92.699966907,30.218,29.692
93.700769901,30.222,29.696
94.699096203,30.276,29.7
95.699900150,30.3,29.704
96.700705528,30.292,29.706
97.699033260,30.308,29.71
98.699839115,30.346,29.714
99.700644970,30.372,29.718
100.698974609,30.354,29.72
101.699781895,30.376,29.724
102.700589657,30.434,29.726
103.698920727,30.42,29.73
104.699729443,30.426,29.734
105.700538635,30.474,29.738
106.698871136,30.434,29.742
107.699681759,30.51,29.744
108.700491905,30.542,29.748
109.698825836,30.534,29.75
110.699637890,30.568,29.754
111.700449467,30.57,29.758
112.698784828,30.604,29.76
113.699597835,30.584,29.764
114.700411320,30.582,29.768
115.698748112,30.664,29.77
116.699562073,30.61,29.774
117.700377464,30.714,29.778
118.698715210,30.674,29.78
119.699531078,30.688,29.784
120.700347423,30.698,29.786
121.698686600,30.724,29.79
122.699503899,30.746,29.792
123.700320721,30.752,29.796
124.698661327,30.768,29.8
125.699480057,30.79,29.802
126.700299263,30.804,29.806
127.698640823,30.84,29.808
128.699460983,30.806,29.812
129.700280666,30.846,29.816
130.698623657,30.87,29.818
131.699444771,30.848,29.82
132.700265884,30.93,29.822
133.698610783,30.932,29.826
