Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.101557732,5.09245,-14.44755,-1.068805
0.200638771,5.10416,-14.43938,-1.085183
0.299719811,5.099791,-14.43656,-1.099293
0.401277542,5.103222,-14.42599,-1.116609
0.500358582,5.118389,-14.41582,-1.132707
0.601916313,5.127093,-14.4056,-0.01419369
0.700997353,5.126915,-14.39015,-0.02434786
0.800078392,5.135399,-14.3823,-0.03754157
0.901637077,5.146161,-14.37372,-0.05623483
1.000717163,5.148262,-14.36225,-0.07005986
1.099799156,5.158844,-14.35014,-0.08408681
1.201356888,5.175916,-14.3408,-0.09971929
1.300437927,5.188343,-14.33204,-0.1141637
1.401996136,5.180699,-14.32371,-0.1250818
1.501077175,5.174338,-14.31457,-0.1367669
1.600158214,5.189654,-14.30901,-0.1502656
1.701716423,5.22839,-14.30178,-0.1683959
1.800797462,5.249655,-14.29746,-0.1845776
1.899879456,5.24824,-14.29015,-0.1998683
2.001437187,5.222872,-14.28507,-0.208403
2.100518703,5.174674,-14.35515,-0.2081372
2.199599743,5.165244,-14.5521,-0.1682012
2.301158428,5.048458,-14.94294,-0.0957625
2.400239945,5.094901,-15.04625,-0.01479743
2.501798153,5.135061,-14.98782,-0.08929916
2.600879192,5.241628,-14.38503,-0.3436476
2.699961185,5.469977,-13.51871,-1.166567
2.801519394,5.507709,-13.17383,-1.761127
2.900600433,5.36907,-13.38955,-1.449121
3.017021656,5.239384,-13.66631,-0.9394301
3.101240635,5.266343,-13.30968,-0.9448151
3.200322151,5.489428,-12.76109,-1.420004
3.301880837,5.484234,-12.68861,-1.595493
3.400962353,5.480424,-12.71811,-1.340879
3.500044346,5.394852,-12.67834,-0.9942508
3.601602554,5.397065,-12.46797,-0.8373175
3.700684071,5.369538,-12.34411,-0.8929279
3.799766064,5.494937,-11.84497,-1.197279
3.901324272,5.459838,-11.52758,-1.219166
4.000406265,5.532955,-11.32528,-1.244286
4.101964951,5.63224,-10.36564,-1.254354
4.201046944,5.60128,-9.91406,-1.274265
4.300127983,5.549926,-9.915945,-1.290578
4.401687145,5.394077,-9.939838,-1.318684
4.500768662,5.202053,-9.950215,-1.335589
4.599850178,5.067979,-9.955526,-1.345442
4.701409340,5.110488,-9.980637,-1.355759
4.800491333,5.271013,-10.00886,-1.367786
4.899572849,5.428945,-10.03294,-1.384781
5.001132011,5.447829,-10.04588,-1.395856
5.100213528,5.350636,-10.04732,-1.407065
5.201772690,5.225756,-10.0479,-1.412436
5.300854206,5.220523,-10.0591,-1.41682
5.399936199,5.342372,-10.08519,-1.432337
5.501495361,5.457388,-10.09417,-1.451694
5.600576878,5.451443,-10.09392,-1.465886
5.699659347,5.339125,-10.08882,-1.476185
5.801218510,5.241696,-10.08409,-1.486988
5.900300026,5.215028,-10.08543,-1.496134
6.001859188,5.277326,-10.09128,-1.510479
6.100940704,5.331438,-10.10507,-1.526408
6.200023174,5.341673,-10.12014,-1.537134
6.301582336,5.312332,-10.11774,-1.55574
6.400664806,5.221221,-10.11733,-1.569336
6.499746323,5.147572,-10.089,-1.570793
6.601305485,5.212033,-10.06654,-1.586792
6.700387955,5.38538,-10.10824,-1.594002
6.801946640,5.564571,-10.12291,-1.592445
6.901029110,5.672744,-10.12758,-1.600764
7.000111103,5.692358,-10.22046,-1.591455
7.101670742,5.702323,-10.28235,-1.594697
7.200752258,5.635318,-10.48732,-1.641737
7.299834728,5.499385,-10.32131,-1.649879
7.401393890,5.42524,-9.917181,-1.658198
7.500476360,5.370569,-9.931962,-1.671303
7.599558353,5.334397,-9.935318,-1.697382
7.701117515,5.29817,-9.890811,-1.725986
7.800199985,5.344507,-9.91972,-1.738329
7.901759624,5.565652,-9.923425,-1.745367
8.000841618,5.807885,-9.907645,-1.749607
8.099923611,5.924692,-9.912612,-1.762009
8.201483727,5.824694,-9.961282,-1.778622
8.300565720,5.800147,-9.921449,-1.794579
8.399648190,5.943532,-9.921658,-1.802151
8.501207352,6.170196,-9.942402,-1.805621
8.600289822,6.567669,-10.0022,-1.794158
8.701849461,7.167603,-10.08825,-1.803534
8.800931930,7.593957,-10.12408,-1.809975
8.900014400,7.752613,-10.15456,-1.828392
9.001574039,7.518982,-10.26774,-1.828157
9.100656509,6.874113,-10.57931,-1.821257
9.199738503,6.020422,-12.07185,-1.639753
9.301298618,4.409894,-16.02091,-2.001709
9.400380612,4.491366,-12.5882,-2.071678
9.501940727,4.712928,-10.18424,-1.985194
9.601022720,4.741834,-10.98664,-1.96157
9.700106144,5.26931,-10.66397,-1.991886
9.801664829,5.549004,-10.1514,-2.026546
9.900748253,5.270622,-10.15711,-2.038211
9.999830246,4.90336,-10.20451,-2.038533
10.101390362,4.738976,-10.16214,-2.047211
10.200472355,4.916035,-10.18329,-2.051345
10.299555779,5.084604,-10.17902,-2.062103
10.401115418,5.023894,-10.15819,-2.075722
10.500197888,5.013586,-10.4517,-2.064025
10.601757526,5.0048,-10.36918,-2.082284
10.700840473,4.806557,-10.72171,-2.114292
10.799922943,4.590811,-10.3418,-2.117826
10.901483059,4.511008,-9.966589,-2.12745
11.000565529,4.781391,-9.980359,-2.133412
11.099648476,5.198238,-10.04967,-2.137617
11.201208115,5.510483,-10.15576,-2.154516
11.300290585,5.363391,-10.22161,-2.169743
11.401851177,4.944514,-10.03386,-2.183289
11.500933647,4.688449,-10.06993,-2.18834
11.600016594,4.734987,-10.26744,-2.192539
11.701576233,4.924192,-10.16995,-2.211973
11.800659180,4.980195,-10.16391,-2.230396
11.899742603,5.018026,-10.1537,-2.247987
12.001302242,5.132761,-10.1716,-2.258167
12.100385189,5.325424,-10.19706,-2.265659
