Time (s),X (g),Y (g),Z (g)
0.000000000,0.002671435,-0.001275145,0.005544186
0.019815922,0.002690852,-0.002740368,0.005051076
0.039632320,0.001721829,-0.002299421,0.005543828
0.061925411,0.002198324,0.002027668,0.00121665
0.081741810,-0.001148805,0.001510248,0.006534755
0.101557732,0.003317147,-0.002872676,0.005506873
0.121374130,-8.682907E-05,-0.001451924,0.004083097
0.141190052,0.003354236,0.004338071,0.01133174
0.161006451,0.002425015,-0.0005349517,0.004058957
0.180822372,0.004365489,0.0008889437,0.004542947
0.200638771,0.001993462,-0.00552547,0.0006576777
0.220454693,0.005369753,-0.002572335,0.004521728
0.240271092,0.004354894,0.003743,-0.001236379
0.260087490,0.001938745,0.007107578,0.008936048
0.279903412,0.00295575,0.003267065,0.01179934
0.299719811,0.002056509,-0.003487103,0.008371472
0.322012901,0.001128301,-0.006407738,0.006904304
0.341828823,0.005947202,-0.002508923,-0.001791656
0.361645222,0.002577886,0.0004039854,0.007891715
0.381461144,0.00266397,-0.00156194,0.007380724
0.401277542,0.005622447,-0.002565309,0.004938304
0.421093941,0.004683211,-0.003086947,0.006385803
0.440909863,0.0008130074,-0.002719223,0.003996015
0.460726261,0.002773389,-0.004202835,0.004462302
0.480542183,-0.002049685,-0.002324671,0.004489899
0.500358582,0.0004241318,0.0005568042,0.004480839
0.520174503,-0.0005194396,-0.001952201,-0.003255069
0.539990902,0.004406705,-0.0004777834,0.002989948
0.559807300,0.003476873,-0.0004870817,0.008782923
0.579623222,0.004409,0.007265516,0.006405175
0.601916313,0.002088532,-0.005428202,0.004411638
0.621732712,0.003570408,-0.007838242,0.003904104
0.641548633,0.003110856,0.000925675,0.005382061
0.661365032,0.005590767,-0.001478568,0.005345404
0.681181431,0.002704114,0.00432568,0.005377233
0.700997353,-0.0005639046,-0.005932122,0.004840016
0.720813751,0.005270183,-0.003014393,0.00192374
0.740629673,-4.249811E-05,-0.002080299,0.002431452
0.760446072,-0.001492217,-0.000673905,0.003412545
0.780261993,0.006793097,-0.004546992,-0.001964748
0.800078392,0.003447503,-0.006554328,0.0004514456
0.819894791,0.005380511,-0.001207389,-0.001950443
0.839710712,0.002478004,0.001661181,0.003391087
0.862003803,0.0001208633,-0.001293004,0.004342318
0.881820202,0.002087876,-0.002308011,0.001910627
0.901637077,0.006012157,-0.005755872,-0.001508594
0.921452522,0.00505431,-0.0008646697,0.001890898
0.941268921,0.006051257,0.00400193,0.001898289
0.961084843,0.001265526,-0.003354639,0.001880169
0.980901241,0.003300637,-0.006733917,0.007147014
1.000717163,0.003293589,-0.003851153,0.003297746
1.020533562,0.004787385,1.835823E-05,0.004264295
1.040350437,0.005844325,-0.007302672,0.003729284
1.060165882,0.001480728,-0.00294859,0.007631779
1.079982281,0.000531137,-0.003514692,0.001354158
1.099799156,0.007884607,-0.001559146,0.0100075
1.119614601,0.007418245,0.001289427,0.00567317
1.141907692,0.004073977,-0.004630171,0.003726661
1.161724567,0.006517678,-0.00320641,0.007103086
1.181540966,0.002163619,-0.003319234,-0.00205183
1.201356888,0.009489536,-0.003804862,0.003216863
1.221173286,0.005163297,-0.001407489,0.009036899
1.240989208,0.004192114,-0.0010368,0.001805604
1.260805607,0.006202042,-0.003505044,0.006605208
1.280622006,0.001831859,-0.002562031,0.007597983
1.300437927,0.001831204,-0.0001633242,0.002294958
1.320254326,0.004838049,-0.004501484,0.008519232
1.340070248,0.007695228,0.005240314,-0.001107752
1.359886646,0.003883034,-0.001075797,0.005631745
1.379703045,0.003913388,-0.002032027,0.002235949
1.401996136,0.004908606,-0.00392136,0.001246512
1.421812534,0.002026245,-0.003877215,0.006079912
1.441628456,0.002992406,-0.00239782,-0.0006842017
1.461444855,0.003535464,-0.002344035,0.004125774
1.481260777,0.006528318,-0.007169634,0.01035154
1.501077175,0.004098266,-0.004307054,0.002647758
1.520893574,0.005082697,-0.005291596,0.005536854
1.540709495,0.002655715,-0.00337673,0.008457065
1.560525894,0.007050961,-0.00489945,0.00456506
1.580342293,0.003185362,0.001363449,0.009439528
1.600158214,0.008097649,-0.004534639,0.006970167
1.619974613,0.002740592,-0.002272807,0.001225054
1.639791012,0.005203113,-0.001884378,0.005081117
1.659606934,0.004772604,-0.003968455,0.006041348
1.681900024,0.002838373,-0.005117051,0.002677679
1.701716423,0.00769484,-0.000326775,0.00364691
1.721533298,0.007741541,-0.007255934,-0.001695395
1.741348743,0.007270977,0.0009197518,0.00607425
1.761165142,0.004354075,0.001845844,0.002230942
1.780982017,0.003869399,0.000333488,0.003198683
1.800797462,0.005809456,-0.0007035434,-0.0001898408
1.820614338,0.006391779,-0.01339295,0.002637684
1.840430737,0.008737996,0.00412482,0.0007811785
1.860246658,-0.0008654594,-0.003660746,0.007533014
1.880063057,0.00253956,-0.003128201,0.006063759
1.899879456,0.005945057,-0.003118582,-0.0007187724
1.919695377,0.00208874,-0.001112297,0.003642678
1.941988945,0.006008863,-0.004923724,0.002626538
1.961804867,0.007974267,-0.005767643,0.004528999
1.981621265,0.007496089,-0.005182385,0.002106547
2.001437187,0.005578056,-0.003652759,0.007423699
2.021253586,0.004583582,-0.005512074,0.003069937
2.041069984,0.02434605,-0.004862696,-0.005211174
2.060885906,0.04445398,-0.008573622,-0.005745709
2.080702305,0.009309024,0.06860796,-0.06151736
2.100518703,0.02710101,-0.04939433,0.02949226
2.120334625,0.003981486,-0.02717388,0.008995473
2.140151024,0.05325924,-0.005608134,0.1064619
2.159967423,0.03899302,0.09109361,0.004400015
2.179783821,0.05554205,-0.06691477,-0.1073876
2.202077389,0.04453817,-0.04525843,-0.07251483
2.221892834,0.01858443,-0.02396329,0.0839079
2.241709232,-0.05005422,0.08218079,0.4646261
2.261526108,0.07141688,0.08971024,0.07280242
2.281342506,0.08031264,-0.0385495,-0.07292563
2.301158428,0.02091178,-0.007201105,0.194745
2.320974827,0.03927192,-0.1068949,-0.06553465
2.340791226,-0.0205611,-0.02419015,-0.1427295
2.360607147,-0.03301221,-0.03672695,0.1106128
2.380423546,-0.03523713,0.06816582,0.2059479
2.400239945,-0.05228466,0.1070952,0.3960908
2.420055866,-0.05714357,0.06437973,0.1192775
