Time (s),Data
0.253262520,$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A\r\n
0.284887314,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
0.336740971,$GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
0.375581265,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
1.253405571,$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42\r\n
1.284964562,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
1.336965561,$GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B\r\n
1.375426293,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
2.253744602,$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43\r\n
2.285102844,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
2.336572647,$GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A\r\n
2.378742218,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
3.253942013,$GPGGA,235946.799,,,,,0,0,,,M,,M,,*40\r\n
3.285246849,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
3.307411194,$GPGSV,1,1,00*79\r\n
3.355786800,$GPRMC,235946.799,V,,,,,0.00,0.00,050180,,,N*49\r\n
3.394656658,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
4.253443718,$GPGGA,235947.799,,,,,0,0,,,M,,M,,*41\r\n
4.285281181,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
4.336857796,$GPRMC,235947.799,V,,,,,0.00,0.00,050180,,,N*48\r\n
4.375489712,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
5.253694058,$GPGGA,235948.799,,,,,0,0,,,M,,M,,*4E\r\n
5.287278652,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
5.336430550,$GPRMC,235948.799,V,,,,,0.00,0.00,050180,,,N*47\r\n
5.375295639,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
