Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.019815922,0.961323,-0.003832043,-0.2502294,-0.01769949,0.9895983,-0.08344235,0.249632,0.08521276,0.9577152
0.039632320,0.9613234,-0.003777525,-0.25023,-0.0177627,0.9895952,-0.08346945,0.2496273,0.08525488,0.9577129
0.061925411,0.9613292,-0.003705117,-0.2502073,-0.01784243,0.9895911,-0.08349743,0.2495978,0.08530208,0.9577161
0.081741810,0.9613378,-0.003657026,-0.2501753,-0.01789251,0.9895892,-0.08351091,0.2495614,0.08532784,0.9577234
0.101557732,0.9613549,-0.003612302,-0.2501114,-0.01793536,0.9895878,-0.08352115,0.2494937,0.08534876,0.9577395
0.121374130,0.9613573,-0.00355523,-0.2501031,-0.01799442,0.9895865,-0.0835253,0.2494803,0.08536765,0.9577413
0.141190052,0.9613668,-0.003500512,-0.2500643,-0.01806601,0.9895784,-0.08359779,0.2494354,0.08545594,0.9577444
0.161006451,0.9613773,-0.003454546,-0.2500269,-0.01810235,0.9895808,-0.08356875,0.2493946,0.0854371,0.9577572
0.180822372,0.9613761,-0.003402529,-0.2500305,-0.01816491,0.9895763,-0.08360225,0.2493929,0.08548522,0.9577529
0.200638771,0.9613851,-0.003368177,-0.249997,-0.01821082,0.9895712,-0.08365472,0.2493556,0.08554766,0.9577572
0.220454693,0.9613777,-0.003317288,-0.2500261,-0.01826126,0.9895718,-0.083637,0.2493804,0.08554307,0.9577512
0.240271092,0.9613802,-0.003256839,-0.2500182,-0.01831775,0.9895726,-0.08361775,0.2493675,0.08553866,0.9577552
0.260087490,0.9613783,-0.003195692,-0.2500242,-0.01839129,0.9895675,-0.08365647,0.2493673,0.08559457,0.9577498
0.279903412,0.9613814,-0.003158703,-0.2500138,-0.0184153,0.9895716,-0.08360596,0.2493547,0.08555175,0.9577572
0.299719811,0.9613932,-0.003101258,-0.2499703,-0.01844783,0.9895786,-0.08351884,0.2493079,0.08547574,0.9577764
0.319535732,0.9613993,-0.003047775,-0.2499458,-0.01849795,0.9895782,-0.08350845,0.249279,0.08547834,0.9577832
0.341828823,0.9614011,-0.002987101,-0.2499396,-0.01855306,0.9895794,-0.08348236,0.249268,0.08546694,0.9577871
0.361645222,0.9614051,-0.002930879,-0.249926,-0.01860972,0.9895785,-0.08348255,0.2492494,0.08548139,0.9577909
0.381461144,0.9614235,-0.002862017,-0.249855,-0.01867428,0.9895771,-0.08348322,0.2491726,0.08549845,0.9578091
0.401277542,0.9614338,-0.002801316,-0.2498174,-0.01873928,0.9895743,-0.08350629,0.2491293,0.08553721,0.9578172
0.421093941,0.9614392,-0.002764371,-0.2497953,-0.01878133,0.9895711,-0.08352961,0.2491036,0.0855704,0.9578205
0.440909863,0.9614464,-0.002721041,-0.2497692,-0.01884424,0.9895635,-0.08360954,0.2490722,0.08566362,0.9578207
0.460726261,0.961447,-0.002693514,-0.2497669,-0.01887913,0.9895606,-0.08363568,0.249067,0.08569769,0.9578189
0.480542183,0.9614586,-0.002636197,-0.2497213,-0.01894158,0.9895566,-0.0836652,0.2490158,0.08574205,0.9578279
0.500358582,0.9614729,-0.002573931,-0.2496688,-0.01901028,0.9895526,-0.08370165,0.2489573,0.08579471,0.9578388
0.520174503,0.9616705,-0.02211953,-0.2479309,-2.21096E-05,0.9893048,-0.08864925,0.2489156,0.08584531,0.9578447
0.539990902,0.9616836,-0.02206903,-0.2478855,-7.332955E-05,0.9893039,-0.08866255,0.2488659,0.08587207,0.9578555
0.559807300,0.9616896,-0.0220039,-0.2478681,-0.0001391005,0.9893038,-0.08866404,0.2488428,0.0858904,0.9578599
0.579623222,0.9616922,-0.02196609,-0.2478601,-0.0001841933,0.9893011,-0.08869079,0.2488315,0.08592777,0.9578592
0.601916313,0.9617043,-0.02191027,-0.247818,-0.0002382398,0.989301,-0.08869275,0.2487846,0.08594418,0.9578699
0.621732712,0.961707,-0.02186301,-0.2478113,-0.0002786228,0.9893035,-0.08866333,0.2487737,0.08592597,0.9578742
0.641548633,0.9617251,-0.02180824,-0.247745,-0.0003257655,0.9893044,-0.08865134,0.2487028,0.0859277,0.9578922
0.661365032,0.9617342,-0.02177658,-0.2477131,-0.000348893,0.9893068,-0.08862623,0.2486682,0.0859099,0.957903
0.681181431,0.9617506,-0.02174658,-0.2476515,-0.0003781086,0.9893053,-0.08864177,0.2486041,0.08593365,0.9579173
0.700997353,0.9617718,-0.02171095,-0.2475736,-0.0004087053,0.9893054,-0.08864608,0.2485234,0.08594725,0.9579375
0.720813751,0.9617778,-0.02166859,-0.247553,-0.0004544025,0.9893037,-0.08866166,0.2484991,0.08597423,0.9579411
0.740629673,0.9617882,-0.02163022,-0.2475155,-0.0004912689,0.9893033,-0.08866493,0.2484584,0.08598747,0.9579503
0.760446072,0.9617923,-0.02158761,-0.2475051,-0.0005436949,0.9893004,-0.08870194,0.2484442,0.08603664,0.9579501
0.780261993,0.9617954,-0.02153783,-0.2474956,-0.0005927114,0.9893005,-0.08869688,0.2484302,0.08604424,0.9579526
0.800078392,0.9618054,-0.02150784,-0.2474585,-0.000630198,0.9892968,-0.0887358,0.2483906,0.08609211,0.9579583
0.819894791,0.9618121,-0.02144798,-0.2474379,-0.0006893817,0.989297,-0.0887339,0.2483648,0.08610555,0.9579639
0.839710712,0.9618156,-0.02138055,-0.2474301,-0.0007663816,0.989294,-0.08876628,0.248351,0.08615632,0.9579629
0.859527111,0.961828,-0.02132201,-0.2473871,-0.0008224752,0.9892941,-0.08876573,0.2483029,0.08617079,0.9579741
0.881820202,0.9618364,-0.0212798,-0.2473596,-0.0008739633,0.9892908,-0.08880686,0.2482717,0.08622409,0.9579778
0.901637077,0.9618426,-0.02121847,-0.2473389,-0.0009440323,0.9892872,-0.0888413,0.2482456,0.0862754,0.9579795
0.921452522,0.9618505,-0.0211453,-0.2473148,-0.001007657,0.9892905,-0.08880491,0.2482151,0.08625662,0.9579892
0.941268921,0.9618636,-0.02109422,-0.2472676,-0.001054487,0.9892908,-0.08879969,0.2481635,0.0862643,0.9580016
0.961084843,0.9618728,-0.02107487,-0.2472325,-0.001076802,0.9892886,-0.08882157,0.2481268,0.08629183,0.9580085
0.980901241,0.9618865,-0.02101931,-0.2471846,-0.001124396,0.9892905,-0.08880173,0.2480741,0.08628558,0.9580228
1.000717163,0.9618921,-0.02097149,-0.2471664,-0.001176178,0.9892889,-0.08881835,0.2480517,0.086315,0.9580259
1.020533562,0.9619062,-0.02093713,-0.2471159,-0.001213596,0.989287,-0.08884452,0.2479984,0.08635078,0.9580368
1.040350437,0.9619173,-0.02087787,-0.2470761,-0.00127233,0.9892859,-0.08885018,0.2479534,0.0863718,0.9580461
1.060165882,0.9619239,-0.02085154,-0.2470536,-0.001299372,0.9892855,-0.08885814,0.2479285,0.08638676,0.9580515
1.079982281,0.9619346,-0.02079655,-0.2470168,-0.00136372,0.9892817,-0.08890158,0.2478869,0.08644567,0.9580571
1.099799156,0.9619443,-0.02075648,-0.2469803,-0.001411743,0.9892775,-0.08894106,0.247847,0.08649667,0.9580623
1.119614601,0.9619576,-0.02069498,-0.2469347,-0.001481778,0.9892739,-0.08898386,0.2477959,0.08655658,0.9580703
1.141907692,0.9619665,-0.02065644,-0.2469041,-0.001529654,0.9892702,-0.08902682,0.247762,0.08661078,0.9580745
1.161724567,0.9619681,-0.02062834,-0.246898,-0.00157061,0.9892653,-0.08907583,0.2477533,0.08666857,0.958071
1.181540966,0.961982,-0.02057728,-0.2468484,-0.001632215,0.9892605,-0.089129,0.2476992,0.08673649,0.9580789
1.201356888,0.961985,-0.02054573,-0.246841,-0.001674269,0.9892572,-0.08916897,0.247689,0.08678584,0.9580775
1.221173286,0.961996,-0.02052332,-0.2467983,-0.001699076,0.9892548,-0.08919123,0.2476443,0.08681449,0.958086
1.240989208,0.9620032,-0.02049657,-0.2467719,-0.001745791,0.9892471,-0.08927532,0.2476155,0.08690812,0.9580849
1.260805607,0.9620121,-0.02045566,-0.246741,-0.001796195,0.9892431,-0.08931887,0.2475809,0.08696352,0.9580889
1.280622006,0.9620144,-0.020386,-0.2467383,-0.001865739,0.9892438,-0.08931177,0.247572,0.08697405,0.9580904
1.300437927,0.9620225,-0.02033638,-0.2467116,-0.001916864,0.9892431,-0.08932181,0.247541,0.08699708,0.9580966
1.320254326,0.962033,-0.0202881,-0.2466728,-0.001956377,0.9892448,-0.08929651,0.2474979,0.08698326,0.9581084
1.340070248,0.9620398,-0.02023036,-0.2466513,-0.002007163,0.9892471,-0.08927093,0.2474715,0.08697161,0.9581164
1.359886646,0.9620447,-0.02020112,-0.2466338,-0.002029343,0.9892491,-0.08924662,0.2474514,0.08695397,0.9581229
1.379703045,0.9620543,-0.02016323,-0.2466006,-0.00205637,0.9892524,-0.08921227,0.247415,0.08692814,0.9581349
1.399518967,0.9620562,-0.02010779,-0.2465984,-0.002095812,0.9892586,-0.08914483,0.247408,0.08687271,0.958142
1.421812534,0.9620625,-0.02006469,-0.2465749,-0.002123307,0.9892631,-0.08908791,0.2473808,0.08682495,0.9581528
1.441628456,0.9620688,-0.02002838,-0.2465534,-0.002148859,0.9892665,-0.08904988,0.2473562,0.08679495,0.9581618
1.461444855,0.9620792,-0.01997419,-0.2465177,-0.002187972,0.9892712,-0.08899821,0.2473159,0.0867554,0.9581759
1.481260777,0.9620858,-0.01990375,-0.2464975,-0.002250732,0.9892738,-0.08896787,0.2472896,0.08674209,0.9581839
1.501077175,0.9620974,-0.0198595,-0.2464572,-0.002296562,0.9892726,-0.08898377,0.2472454,0.08676972,0.9581931
1.520893574,0.962096,-0.01981512,-0.2464648,-0.002345739,0.9892712,-0.08899479,0.2472489,0.08679248,0.9581898
1.540709495,0.9620975,-0.01976692,-0.2464634,-0.002398875,0.9892698,-0.08900925,0.2472432,0.08681976,0.9581889
1.560525894,0.9621033,-0.01973641,-0.246443,-0.002445156,0.9892638,-0.0890746,0.2472199,0.08689498,0.9581881
1.580342293,0.9621147,-0.01970567,-0.2464017,-0.002485601,0.9892595,-0.08912396,0.2471759,0.08695369,0.9581943
1.600158214,0.9621205,-0.01968363,-0.2463793,-0.002523292,0.9892532,-0.08919053,0.2471514,0.087028,0.9581936
1.619974613,0.962127,-0.01965673,-0.246356,-0.002579714,0.9892422,-0.08931085,0.2471255,0.08715904,0.9581884
1.639791012,0.9621324,-0.01963163,-0.2463381,-0.002632239,0.9892324,-0.08942137,0.2471051,0.08727949,0.958183
1.659606934,0.9621422,-0.01959366,-0.2463,-0.002699244,0.9892205,-0.08954401,0.2470634,0.08741569,0.9581806
1.681900024,0.9621468,-0.01958091,-0.2462844,-0.002749034,0.9892073,-0.08969247,0.2470463,0.08757217,0.9581712
1.701716423,0.9621511,-0.01952553,-0.2462725,-0.002827831,0.9891991,-0.08978194,0.2470291,0.08767866,0.9581659
1.721533298,0.9621575,-0.01948231,-0.24625,-0.00289214,0.9891911,-0.08986751,0.2470025,0.08777798,0.9581636
1.741348743,0.9621666,-0.01943292,-0.2462188,-0.002966288,0.9891816,-0.08996993,0.2469667,0.08789624,0.9581621
1.761165142,0.9621714,-0.01938237,-0.2462037,-0.003019425,0.9891806,-0.08998001,0.246947,0.08791952,0.958165
1.780982017,0.9621688,-0.01934785,-0.2462169,-0.003066733,0.9891766,-0.09002122,0.2469569,0.08797094,0.9581578
1.800797462,0.9621688,-0.01933062,-0.2462179,-0.003099624,0.9891711,-0.09007996,0.2469561,0.08803599,0.9581519
1.820614338,0.9621726,-0.01929293,-0.2462061,-0.00314455,0.9891685,-0.09010835,0.2469408,0.08807489,0.9581524
1.840430737,0.9621773,-0.01923164,-0.2461924,-0.003207213,0.9891679,-0.09011203,0.2469216,0.08809431,0.9581555
