Time (s),Humidity (%)
0.700997353,64.52539
1.701716423,64.33301
2.699961185,64.24805
3.700684071,64.02539
4.701409340,64.24219
5.702136040,63.66895
6.700387955,63.79297
7.701117515,64.44922
8.701849461,63.82031
9.700106144,63.4209
10.700840473,63.56836
11.701576233,62.70508
12.699836731,63.02637
13.700575828,62.5791
14.701316357,62.70215
15.702058315,63.01172
16.700323582,62.66895
17.701067924,62.94238
18.701813221,62.96094
19.700082779,62.82715
20.700830936,62.75195
21.701580048,62.87305
22.699852943,61.82129
23.700604439,62.56055
24.701356888,62.89258
25.702110767,62.67773
26.700387955,62.12402
27.701143742,62.16406
28.701900005,62.06445
29.700181484,61.71973
30.700939655,61.75977
31.701699734,61.95117
32.699983597,61.53711
33.700744629,61.41406
34.701507568,61.79102
35.699794292,61.42383
36.700558662,61.69531
37.701323986,61.52539
38.699613094,61.57715
39.700380325,60.84668
40.701148033,61.16504
41.701917171,60.55078
42.700209618,61.26563
43.700980186,60.2334
44.701752186,60.84375
45.700047493,61.05762
46.700820446,60.52344
47.701594353,60.21387
48.699891567,60.36816
49.700667381,60.78125
50.701443195,60.36426
51.699742794,60.99805
52.700520992,59.87012
53.701299190,60.72656
54.699601173,60.90527
55.700381756,59.53223
56.701161861,59.7334
57.699465752,59.87695
58.700248241,60.03223
59.701030731,59.63867
60.699337482,59.10547
61.700121403,59.78613
62.700906277,60.76855
63.701691627,59.9668
64.700000763,60.01563
65.700788021,59.69238
66.701575279,60.30176
67.699886322,59.63867
68.700674534,59.51367
69.701463699,58.90918
70.699777126,58.94824
71.700567722,59.76855
72.701358795,60.01758
73.699673176,58.66602
74.700465679,59.12305
75.701259136,59.74512
76.699575424,59.44434
77.700369835,58.85156
78.701165199,59.10059
79.699482918,59.06836
80.700279236,58.29785
81.701076031,58.8623
82.699395657,57.96387
83.700193405,58.89063
84.720809936,58.70801
85.699313164,58.98926
86.700113296,58.44238
87.700912952,59.13574
88.699235916,58.12109
89.700037479,58.28711
90.700839043,58.10254
91.699163437,58.36133
92.699966907,57.84961
93.700769901,58.68262
94.699096203,58.27539
95.699900150,58.14844
96.700705528,57.64844
97.699033260,57.86133
98.699839115,58.15527
99.700644970,57.83008
100.698974609,57.27148
101.699781895,57.6123
102.700589657,57.88379
103.698920727,58.14258
104.699729443,57.36133
105.700538635,57.72754
106.701348305,57.95215
107.699681759,57.90625
108.700491905,57.7793
109.698825836,57.33789
110.699637890,56.64941
111.700449467,57.22461
112.701261997,57.33105
113.699597835,57.27539
114.700411320,57.37109
115.701225758,57.17285
116.699562073,57.35254
117.700377464,57.03809
118.701192379,57.55469
119.699531078,56.7373
120.700347423,56.50391
121.701163769,56.85742
122.699503899,56.6377
123.700320721,56.56934
124.701138973,56.49023
125.699480057,56.22168
126.700299263,56.93848
127.701118469,56.62402
128.699460983,56.76563
129.700280666,56.25391
130.701101303,56.29004
131.699444771,56.9707
132.700265884,56.37598
133.701087952,56.01367
