Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
14.779326916,9.800028,0.8739394,28.25843
14.878467083,20.55106,0.9658513,29.23364
14.980085373,20.48187,1.205112,29.89436
15.079225063,4.228622,0.7242575,30.90601
15.178365231,15.95687,1.098769,31.8889
15.279983521,5.636377,0.8464649,33.64239
15.379123688,6.051704,0.9434364,34.44288
15.478263378,8.874772,1.040014,35.98483
15.579881668,15.43774,0.9604978,37.14593
15.679021358,5.641182,1.100697,38.67719
15.778161526,4.374182,0.8128173,40.15028
15.879779816,23.23481,0.9412375,42.50203
15.978919506,11.12542,1.234887,43.62041
16.078059673,14.80577,1.012076,44.91952
16.179677486,9.522603,0.9033741,46.40303
16.278817654,6.5531,0.8981533,47.71449
16.377957821,5.718725,0.8699248,48.79768
16.479576111,8.946337,1.153755,49.13308
16.578715801,34.59052,1.206069,49.10468
16.677855492,15.05888,0.9037148,49.1524
16.779473782,7.212475,0.7942653,49.42989
16.878613472,8.973391,1.039298,48.17526
16.980231762,15.4694,0.9909734,48.19517
17.079371452,14.38455,1.266064,47.86549
17.178511143,22.36988,0.8706952,46.42671
17.280129910,9.312299,0.8084728,46.41011
17.379269600,6.098489,0.9309368,45.73334
17.478409767,12.68269,0.9682765,45.31943
17.580027580,7.847447,1.199913,44.41506
17.679167747,19.54109,0.9669322,43.27362
17.778307438,10.87323,0.845574,42.06138
17.879926205,4.008721,0.8488995,40.64463
17.979065895,8.385465,0.9776988,39.43695
18.078205585,5.219218,1.271863,38.22093
18.179823875,6.099281,0.9722587,37.49826
18.278963566,10.59444,0.9708967,37.71475
18.378103256,11.23508,0.8745834,36.7408
18.479721546,5.506496,0.9286913,37.22196
18.578861237,11.84011,1.033753,37.48816
18.678000927,35.21606,1.136471,37.23016
18.779619694,11.40923,0.7869461,37.56641
18.878759384,9.481154,0.8005443,38.49534
18.977899075,12.00445,0.9206421,38.64561
19.079516411,14.27168,1.120572,38.75157
19.178656101,17.86273,0.9013088,38.17641
19.280274868,18.89847,1.045841,38.45054
19.379414558,15.67964,0.8871785,37.43738
19.478554249,5.793356,0.864295,37.14517
19.580172539,6.632227,1.105801,36.53786
19.679312229,20.7546,1.249112,36.95004
19.778451920,14.19393,0.9499949,37.49788
19.880070209,10.19404,0.9061455,37.1406
19.979209900,6.142305,0.9184765,37.77631
20.078349590,11.98856,0.8930174,39.06602
20.179968357,11.2741,1.178626,40.1734
20.279108048,16.38988,0.9162152,40.87707
20.378247738,14.68545,0.9392619,40.94873
20.479865074,9.547212,0.8361819,42.12101
20.579005242,13.52092,0.8743588,42.79261
20.678144932,14.01248,1.1975,42.34425
20.779763222,23.65123,1.016561,42.11207
20.878902912,7.010759,0.9693521,42.8461
20.978042603,4.113563,0.8065902,41.6955
21.079660893,13.18175,0.988811,41.8242
21.178800583,16.26673,1.084181,40.49925
21.277940273,8.882759,1.103628,39.06855
21.379558086,32.11913,1.045691,36.67115
21.478697777,7.456491,0.7988141,35.05557
21.577837467,4.451062,1.016214,34.541
21.679455757,26.49053,1.160207,33.36324
21.778595447,11.9027,1.198789,32.61128
21.880214214,14.97747,0.9343253,32.50687
21.979353905,12.8544,0.9152504,33.13285
22.078492641,7.319912,0.7753558,33.16496
22.180110931,8.037237,0.9565106,33.56425
22.279251099,10.50172,1.15416,33.78424
22.378390789,17.36681,0.8643408,34.28345
22.480009079,23.80569,0.942642,33.67204
22.579148770,8.994949,0.7581941,34.89766
22.678287983,15.68103,0.9020205,34.70689
22.779906273,22.64531,1.177717,34.30833
22.879045963,24.03435,1.051302,34.51778
22.978185654,31.2095,1.089128,33.89854
23.079803467,8.341714,0.7922723,34.59561
23.178943157,4.257169,0.8469548,34.04808
23.278085232,4.375028,1.068404,33.85204
23.379701138,19.59555,1.249709,33.11261
23.478840828,32.59755,0.9668721,32.42731
23.577980518,17.46971,0.8335263,31.65966
23.679598331,7.927664,0.8957829,32.1225
23.778738022,4.396236,0.962989,31.89906
23.877882481,15.14291,1.210331,31.46051
23.979495525,26.87661,0.9323643,31.43
24.078635216,22.48365,0.8926031,32.94384
24.177774906,9.760516,0.8276266,34.0609
24.279393196,4.269189,0.9643109,33.64143
24.378532887,10.73268,1.111298,35.48603
24.480150700,18.72927,1.241286,36.75322
24.579290390,36.28632,1.032943,38.15339
24.678430080,7.280829,0.8659513,40.12328
24.780047893,7.365906,0.8935072,40.25352
24.879187584,12.11127,1.028495,41.66968
24.978327274,10.8499,1.116795,41.92257
25.079945564,15.35094,0.8528275,42.37704
25.179084778,9.663032,1.015743,42.97798
25.278224468,2.595731,0.8881739,42.80574
