Time (s),Altitude (m)
0.879872322,92.08871
1.878712654,92.08295
2.880031109,92.08137
3.878870487,92.00796
4.880187988,91.91619
5.879026890,91.91094
6.880342960,91.99747
7.879180431,91.96233
8.880496025,91.94503
9.879332542,91.94083
10.878169060,91.91619
11.879483700,92.0326
12.878318787,91.9938
13.879632473,92.00429
14.878467083,92.03732
15.879779816,91.9681
16.878613472,92.03522
17.879926205,91.96653
18.878759384,91.90623
19.880070209,91.93874
20.878902912,92.01792
21.880214214,92.03522
22.879045963,91.97177
23.880356312,91.94346
24.879187584,92.04099
25.878018856,92.13119
26.879328728,92.11231
27.878159046,92.06931
28.879467964,92.00586
29.878298759,92.12909
30.879607201,92.15479
31.878437042,92.24603
32.879745483,92.256
33.878575325,92.2969
