Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.079311848,-0.3651575,-2.047744,2.709411
0.178452969,0.7613537,-0.5880194,2.385157
0.280071735,0.8229222,-0.3189923,2.04436
0.379212380,1.147151,-0.2915612,1.85825
0.478352547,1.040483,-0.3918172,2.021939
0.579971790,0.5148243,0.4517605,2.408287
0.679111957,0.5997421,0.5105782,2.946173
0.778253078,0.3424548,0.5100244,3.384826
0.879872322,0.2267528,0.2195374,3.162866
0.979012489,0.1121213,-0.5594127,2.66966
1.078153133,0.5093095,-0.2805975,2.454345
1.179771900,0.1654716,-0.8516999,1.578978
1.278912544,1.362179,0.04287367,1.360433
1.378052712,0.9267429,-0.1993512,0.7626697
1.479671955,0.7370397,0.2538184,0.6232322
1.578812122,0.7027628,-0.1700293,0.4851885
1.680431366,0.3780341,-0.9295901,0.6398544
1.779572487,0.3420472,0.3895517,1.652728
1.878712654,0.2003707,-0.3097683,1.545159
1.980331898,0.5311286,-0.1886207,1.497552
2.079472065,0.0006834731,-0.636975,1.015844
2.178612709,-1.689905,-0.6777508,0.6686887
2.280231476,-0.4174201,0.1928792,-0.9690161
2.379372120,0.2912213,0.1875579,-2.097784
2.478512287,0.5847232,0.2749215,-2.054376
2.580131531,0.2975844,0.01424828,-1.837519
2.679271698,0.4275216,-0.1782462,-1.847398
2.778412342,0.08356734,-0.8646773,-0.4908137
2.880031109,-0.6194305,-0.1880867,1.735166
2.979171753,-0.6394706,-0.1574569,2.605844
3.078311920,-0.6296203,0.3472251,2.970091
3.179931164,-1.139065,-0.5728543,2.314274
3.279071331,-1.044495,-1.085068,1.756735
3.378211975,-1.202597,-0.1871055,1.139635
3.479830265,-0.1346491,-0.2420656,0.6498959
3.578970432,-0.3083319,-0.1257963,0.931656
3.678111076,-0.1007447,-0.09572612,0.7078624
3.779729843,-0.3246477,0.2394816,0.4881307
3.878870487,-0.594561,-0.1404988,0.4094995
3.978010654,-1.630135,0.6276502,1.333523
4.079629898,-1.545537,0.141413,1.623651
4.178770065,-1.190982,0.491004,2.131229
4.280389309,-0.746734,0.5681852,1.564847
4.379529476,-0.5380675,-0.9772967,1.437111
4.478669167,-1.476714,-0.03039963,1.063818
4.580288410,-0.008232827,0.2530836,-0.3040141
4.679428577,0.1825667,-0.8662943,-0.7529887
4.778569221,0.4006421,-1.083491,-0.6480867
4.880187988,0.1909357,-0.6324825,-0.211272
4.979328632,0.5228793,-0.5803859,0.6762489
5.078468800,-0.3573609,0.5252349,2.281619
5.180087090,-0.4605931,-0.5150667,2.228011
5.279227734,-0.3046317,-0.366875,2.907806
5.378367901,-0.9802485,-1.074306,2.639044
5.479987145,-1.110579,-0.9825707,2.234925
5.579126835,-0.7974307,-0.5083732,1.298211
5.678267479,0.9167781,1.031968,0.8115531
5.779886246,1.162158,1.242886,0.4065745
5.879026890,0.8891749,0.5668926,0.614979
5.978167057,0.4835178,0.5335512,1.374514
6.079785347,-0.1951744,2.089076,2.377301
6.178925991,-1.001324,2.15716,2.688556
6.278066158,-0.828211,1.463809,3.157755
6.379684448,-0.7028615,0.5049855,3.518991
6.478825092,-0.7565213,-0.1833292,3.418224
6.580443859,-0.3477263,0.3868025,3.179491
6.679584503,0.5101555,1.167848,2.326721
6.778724194,0.8587474,1.380602,1.14913
6.880342960,0.8889192,0.8299801,0.8128591
6.979483604,0.5374094,0.1011727,1.442114
7.078623295,0.4457471,-0.3179813,2.134171
7.180242538,-0.2745407,-0.8159811,3.088457
7.279382706,-0.2496694,-0.2592488,3.75218
7.378522396,-0.6142938,-0.6673526,3.549714
7.480141640,-0.6107852,-0.01026683,3.603007
7.579281807,-0.4734746,-0.5027053,2.828059
7.678421497,-0.8042478,0.2664611,2.677941
7.780040741,0.4624475,1.025278,2.3463
7.879180431,0.6871747,0.4074508,1.940388
7.978320599,0.777637,0.09965038,2.249161
8.079939842,0.3487547,-0.5391659,2.291438
8.179079533,0.005036417,-0.09515636,2.251702
8.278219700,-0.5929518,-0.8100638,2.120701
8.379838467,-0.615114,-0.5110034,3.373624
8.478978634,-1.062171,-0.2126875,3.976454
8.578119278,-0.9385937,-0.2207986,3.380916
8.679737568,-0.5634168,-0.4313293,2.335405
8.778877735,-0.03162552,-0.1268677,1.491281
8.878017426,0.8221538,0.961693,0.8851293
8.979636669,0.8735992,0.4308929,0.3111905
9.078776360,0.9872663,0.5244768,0.3743329
9.180395126,0.6565887,0.4387136,0.3473148
9.279534817,0.4050062,0.9810707,0.5981241
9.378675461,-0.1489405,0.9782727,1.616373
9.480293751,-0.4593119,0.1079336,1.955317
9.579434395,0.04484122,0.5237623,2.234027
9.678574085,-0.3082819,-0.1730012,1.6561
9.780192852,-0.3262593,0.3160844,1.857878
9.879332542,0.02648032,1.037591,1.314063
9.978473186,1.263218,1.278321,0.839832
10.080091476,1.349451,0.3450248,0.8719038
10.179231644,0.4810725,-0.9463664,1.607868
10.278371334,-0.04124548,-0.7191429,2.525576
10.379990578,-1.147951,0.233355,3.639076
10.479130268,-1.252986,0.8389989,3.92806
10.578270912,-1.076668,0.9282964,4.164712
10.679889202,-0.4931155,0.6262758,4.099092
10.779029369,0.1523125,0.03462927,3.97224
10.878169060,-0.8187761,0.2975482,3.483807
10.979787350,1.330711,1.1308,2.876354
11.078927994,1.270843,0.271521,2.57473
11.178067684,1.016812,0.06966161,2.439771
11.279686928,0.03674792,-0.06760634,3.257603
11.378826618,0.08666563,1.336897,4.360657
11.477966309,-0.7489555,0.9517999,5.612431
11.579585076,-0.6930433,0.127028,6.24922
11.678724766,-0.8173453,0.1728669,6.435894
11.780343056,-1.195242,-0.2248883,5.678752
11.879483700,-0.8712568,-0.2356911,4.858712
11.978623390,-1.306491,0.5684906,3.345099
12.080241680,-0.2020926,0.8805051,2.91395
12.179382324,-0.04143268,0.1632281,3.339844
12.278522015,-0.1935732,0.459761,3.265345
