Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.5983351,-4.658486,-0.5878899,-0.100499,0.01454077,1.215341,15.0795,-10.31074,-42.29962,1002.598
0.019827843,-9.477188,-21.17845,-7.009948,-0.06204238,-0.01637823,1.032037,15.0795,-10.31074,-42.29962,1002.598
0.039656162,-14.9882,-19.72615,-11.53597,0.02031525,-0.02923361,0.77377,15.0795,-10.31074,-42.29962,1002.598
0.059484005,-9.354721,-10.52822,-11.04667,0.07445045,-0.01403517,0.7001846,17.23522,-9.920815,-42.3142,1002.598
0.079311848,8.219284,17.61019,-4.563449,0.09966079,-0.02437073,0.8023213,17.23522,-9.920815,-42.3142,1002.6
0.099140167,15.81223,27.71581,-1.138352,-0.03499667,-0.0281051,0.9570135,13.59652,-10.33509,-42.73742,1002.6
0.118968010,15.751,16.46045,0.8188466,-0.07725947,-0.04847744,1.080706,13.59652,-10.33509,-42.73742,1002.596
0.138796330,13.24043,10.77225,-3.768338,-0.1106829,-0.0177569,1.170825,13.59652,-10.33509,-42.73742,1002.596
0.158624172,6.810915,-2.237978,-5.909023,-0.09109721,0.00409267,1.102772,16.85893,-9.558102,-42.31929,1002.597
0.178452969,2.095937,0.6061188,-6.275998,-0.03957015,0.02257451,0.9828808,16.85893,-9.558102,-42.31929,1002.597
0.198280811,-0.7820356,5.689186,-4.379962,-0.02859827,0.02199079,0.9191043,16.85893,-9.558102,-42.31929,1002.597
0.218109131,2.218405,-1.14875,-3.340201,-0.009764254,0.0205274,0.8774834,14.71471,-10.68142,-42.29175,1002.597
0.237936974,-0.4146348,3.510728,-2.178114,0.007693285,0.01813769,0.8585511,14.71471,-10.68142,-42.29175,1002.597
0.260243416,1.361136,0.4850934,-2.422764,-0.006362021,-0.007322168,0.8309847,16.85893,-9.558102,-42.31929,1002.595
0.280071735,0.2589334,1.876886,-3.8295,0.01510518,-0.01742864,0.8341939,16.85893,-9.558102,-42.31929,1002.597
0.299899578,2.585805,-0.05952091,-4.746937,0.03202893,-0.01398832,0.8109504,14.34583,-10.66857,-41.40366,1002.597
0.319728375,5.035144,-0.9672114,-2.850901,0.05787341,-0.003539283,0.8480288,14.34583,-10.66857,-41.40366,1002.597
0.339556217,5.708712,2.058424,-0.6490523,0.04099568,0.0003863727,0.8968919,14.34583,-10.66857,-41.40366,1002.599
0.359384537,4.79021,1.997911,0.3907094,0.01285633,-0.0006889272,0.9153821,17.59673,-9.158182,-40.99849,1002.599
0.379212380,2.218405,2.239962,0.2683845,-0.009815857,0.0007918237,0.9724699,17.59673,-9.158182,-40.99849,1002.601
0.399040222,-0.4146348,0.0009917939,-0.5267274,-0.008307658,0.002301161,0.9893632,14.33515,-9.926756,-40.97326,1002.601
0.418868542,-0.4146348,-1.330288,0.3295469,0.008750192,0.01854799,1.026519,14.33515,-9.926756,-40.97326,1002.598
0.438696385,-0.6595686,1.271759,2.40907,-0.004293136,0.02636457,1.065245,14.33515,-9.926756,-40.97326,1002.598
0.458524704,-0.8432691,-4.597974,3.876969,-0.01493021,0.01755393,1.06912,17.60331,-9.516459,-40.54865,1002.602
0.478352547,-3.904943,-3.266694,3.693482,-0.004135568,0.002033575,1.071394,17.60331,-9.516459,-40.54865,1002.602
0.498181343,-3.231374,12.34558,3.326507,-0.0439831,0.02238231,1.114675,17.60331,-9.516459,-40.54865,1002.604
0.518009186,-0.04723396,20.63582,4.610919,-0.09306832,0.06810641,1.200613,14.70651,-9.914352,-40.5313,1002.604
0.540315628,-5.864414,17.42865,5.89533,-0.1307767,0.07882634,1.28486,14.70651,-9.914352,-40.5313,1002.605
0.560143948,-9.844589,-8.410274,3.020695,-0.1183463,0.04891752,1.172657,17.9681,-9.145781,-40.55652,1002.605
0.579971790,-14.2534,-16.21641,-1.199515,-0.03373163,0.01185136,0.9659001,17.9681,-9.145781,-40.55652,1002.605
0.599800110,-6.537982,-6.836944,-1.444164,0.03713175,0.03572793,0.8203487,15.75802,-9.886229,-39.64852,1002.605
0.619627952,5.035144,4.357906,4.672081,0.0702071,0.07354577,0.8835928,15.75802,-9.886229,-39.64852,1002.605
0.639456272,5.341311,9.501486,10.72717,3.242539E-05,0.09982511,1.028433,15.75802,-9.886229,-39.64852,1002.605
0.659284115,0.8712681,4.478932,9.993216,-0.07618697,0.05601634,0.9967681,17.58782,-8.398331,-39.61805,1002.601
0.679111957,-5.925647,-0.7856733,6.017655,-0.05178279,0.0381166,0.9926811,17.58782,-8.398331,-39.61805,1002.601
0.698940754,-7.701417,-0.4831098,3.38767,0.006826668,0.01918619,0.8913833,17.58782,-8.398331,-39.61805,1002.601
0.718768597,-5.007145,-2.116953,4.488594,0.044176,0.006599254,0.8413984,15.38843,-9.880589,-39.14044,1002.601
0.738596916,-0.4758682,1.634835,5.467194,0.03451524,-0.0134478,0.8278334,15.38843,-9.880589,-39.14044,1002.601
0.758424759,2.279638,2.482013,4.977894,-0.001312504,-0.01645248,0.8704897,16.8525,-8.772991,-39.60879,1002.601
0.778253078,1.851004,2.542525,2.531395,-0.0167131,-0.005173219,0.9367588,16.8525,-8.772991,-39.60879,1002.601
0.798080921,-1.823005,2.239962,-0.5267274,-0.01425566,0.001702008,0.9556052,16.8525,-8.772991,-39.60879,1002.601
0.817908764,-2.496573,-1.753877,-2.912063,-0.01237362,0.009488806,0.9498428,16.13021,-9.865406,-38.7632,1002.599
0.840215683,-1.21067,-6.171304,-3.523688,0.02398867,0.02035241,0.9342538,16.13021,-9.865406,-38.7632,1002.599
0.860043526,-1.21067,-4.355923,-3.095551,0.04098674,0.0228681,0.9312775,17.23537,-9.493979,-39.15386,1002.599
0.879872322,-1.761771,-3.811309,-3.034388,0.02637224,0.02130838,0.921696,17.23537,-9.493979,-39.15386,1002.599
0.899700165,-2.129172,-4.658486,-3.707175,0.0162199,0.01543235,0.9299269,17.23537,-9.493979,-39.15386,1002.6
0.919528484,-1.02697,-9.620528,-5.236237,0.01769687,0.01251953,0.9303865,16.1295,-9.872623,-39.14322,1002.6
0.939356327,0.6875677,-10.46771,-5.847861,0.0372763,0.01271043,0.9674465,16.1295,-9.872623,-39.14322,1002.599
0.959184170,-2.863973,-6.836944,-5.297399,0.04129212,0.01477552,1.007497,16.85332,-8.764572,-39.16544,1002.599
0.979012489,-0.7208021,-5.142588,-5.786699,0.02625778,0.001039006,0.997373,16.85332,-8.764572,-39.16544,1002.6
0.998840332,1.116202,-5.929253,-5.175074,0.02526105,0.03474894,1.045819,16.85332,-8.764572,-39.16544,1002.6
1.018668652,1.238669,-0.6041352,-4.135312,0.01899825,0.02938114,1.054514,15.76472,-10.2433,-39.13535,1002.602
1.038496494,3.075673,-3.811309,-2.667413,0.01028853,0.02496758,1.060331,15.76472,-10.2433,-39.13535,1002.602
1.058325291,5.769945,13.31379,1.185821,-0.02363501,0.04932043,1.13594,17.21729,-8.402313,-39.61666,1002.602
