Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.193895817,98.05859,1208.625,4.098125,247.1875,0
1.248562813,98.04688,843.46875,4.09625,248.75,0
2.127359390,98.04688,696.28125,4.095,247.1875,0
3.182127476,98.03125,589.59375,4.09625,243.125,0
4.236805439,98.01953,508.5,4.0875,246.5625,0
5.115867615,98.01953,463.21875,4.094375,243.4375,0
6.170627594,98.00781,421.125,4.093125,238.75,0
7.225507736,97.99609,387.46875,4.0925,254.6875,0
8.104467392,97.99609,363.9375,4.0925,246.875,0
9.159265041,97.98438,338.34375,4.0875,256.5625,0
10.213944435,97.98438,322.96875,4.090625,240.3125,0
11.093107700,97.97266,311.625,4.090625,244.375,0
12.147794724,97.97266,297.75,4.09,245.3125,0
13.202785969,97.96094,287.4375,4.088125,263.75,0
14.257453919,97.94922,279.1875,4.089375,249.375,0
15.136452198,97.94922,273.09375,4.08875,258.4375,0
16.191129208,97.93359,264.1875,4.089375,260.3125,0
17.246237755,97.93359,257.34375,4.08375,282.5,0
18.125264168,97.92188,254.0625,4.090625,259.6875,0
19.179664612,97.91016,247.96875,4.0875,250.625,0
20.234577179,97.91016,244.21875,4.0875,248.125,0
21.113615513,97.89844,240.9375,4.09,238.4375,0
22.168266296,97.89844,238.03125,4.08875,300,0
23.223535061,97.88672,236.15625,4.08625,257.5,0
24.102225781,97.88672,234.46875,4.086875,270.9375,0
25.156938076,97.875,231.375,4.07875,305,0
26.211692333,97.86328,229.96875,4.086875,249.6875,0
27.090592384,97.86328,228.84375,4.08875,258.4375,0
28.145380974,97.85156,227.71875,4.08625,253.75,0
29.200163364,97.85156,226.875,4.085625,259.375,0
30.255610943,97.83594,224.8125,4.08375,260.3125,0
31.134124279,97.83594,222.84375,4.086875,254.0625,0
32.188897610,97.82422,222.28125,4.08625,258.4375,0
33.243607521,97.8125,221.34375,4.08625,266.25,0
34.122590542,97.8125,220.875,4.085625,255.9375,0
35.177508831,97.80078,219.65625,4.08375,252.5,0
36.232199192,97.80078,218.15625,4.08375,282.8125,0
37.111189842,97.78906,216.75,4.08625,254.0625,0
38.165918827,97.78906,217.21875,4.081875,254.0625,0
39.221107006,97.77734,216.375,4.085,247.8125,0
40.100093365,97.76563,216.28125,4.076875,362.5,0
41.155469894,97.76563,214.3125,4.081875,256.5625,0
42.209434032,97.75391,214.3125,4.081875,259.0625,0
43.088258743,97.73828,214.5,4.076875,315.9375,0
44.143249035,97.73828,213.84375,4.084375,247.5,0
45.198482037,97.72656,213.75,4.083125,246.5625,0
46.252598286,97.72656,213.65625,4.084375,256.25,0
47.131772518,97.71484,213.46875,4.080625,277.5,0
48.186559200,97.70313,213.46875,4.083125,256.5625,0
49.241363525,97.70313,213.84375,4.081875,245,0
50.120966911,97.69141,212.71875,4.079375,269.375,0
51.175410271,97.69141,211.6875,4.081875,258.4375,0
52.229862213,97.67969,212.25,4.08125,250,0
53.108871460,97.67969,211.59375,4.08,287.5,0
54.163563728,97.66797,210.09375,4.08375,250.625,0
55.218391419,97.65625,209.90625,4.073125,310.3125,0
56.097367764,97.65625,209.8125,4.0825,290.3125,0
