Time (s),Power (dBm),Percentage (%)
0.259401798,0,100
0.759024143,0,100
1.259186745,0,100
1.759022236,0,100
2.259402752,0,100
2.759231568,0,100
3.259389877,0,100
3.759169102,0,100
4.259166241,0,100
4.759038925,0,100
5.259149551,0,100
5.759224892,0,100
6.259346008,0,100
6.759119511,0,100
7.259233952,0,100
7.758969307,0,100
8.259137631,0,100
8.759060860,0,100
9.259327412,0,100
9.759086132,0,100
10.259305954,0,100
10.758913517,0,100
11.259094715,0,100
11.758927822,0,100
12.259329319,0,100
12.759023190,0,100
13.259278774,0,100
13.759077072,0,100
14.259084702,0,100
14.758921147,0,100
15.259143353,0,100
15.758970738,0,100
16.259263516,0,100
16.758888245,0,100
17.259169102,0,100
17.758903027,0,100
18.259059906,0,100
18.758934498,0,100
19.259220600,0,100
19.759081364,0,100
20.259133816,0,100
20.758855820,0,100
21.259039402,0,100
21.758906841,0,100
22.259208202,0,100
22.759042740,0,100
23.258994579,0,100
23.758803368,0,100
24.258981705,0,100
24.758784771,0,100
25.259196281,0,100
25.759014130,0,100
26.258945465,0,100
26.758903504,0,100
27.258978367,0,100
27.758808613,0,100
28.259093285,0,100
28.758983135,0,100
29.258895397,0,100
29.758971691,0,100
30.258935928,0,100
30.758728028,0,100
31.258929730,0,100
31.758954525,0,100
32.258860588,0,100
32.758956909,0,100
33.258984089,0,100
33.758695603,0,100
34.258883953,0,100
34.758957386,0,100
35.259068012,0,100
35.758917809,0,100
36.258960247,0,100
36.758679867,0,100
37.258869648,0,100
37.758865357,0,100
38.259055615,0,100
38.758900643,0,100
39.258949280,0,100
39.758702278,0,100
40.258840561,0,100
40.758762837,0,100
41.259037495,0,100
41.758857727,0,100
42.258848190,0,100
42.758639336,0,100
43.258790493,0,100
43.758646965,0,100
44.259006500,0,100
44.758832455,0,100
45.258752346,0,100
45.758589268,0,100
46.258786678,0,100
46.758602143,0,100
47.258981705,0,100
47.758800984,0,100
48.258697033,0,100
48.758562565,0,100
49.258754730,0,100
49.758573532,0,100
50.258980274,0,100
50.758785248,0,100
51.258862019,0,100
51.758539677,0,100
52.258728981,0,100
52.758558273,0,100
53.258956909,0,100
53.758743286,0,100
54.258826733,0,100
54.758644581,0,100
55.258693695,0,100
55.758486271,0,100
56.258924484,0,100
56.758715153,0,100
