Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-1.455604,-1.935415,-0.09859026,0.03159546,0.006435751,1.002681,6.848849,-6.301834,-77.69518,1000.8
0.017340183,-1.333137,-1.511826,-0.3432401,0.03251297,0.009823477,0.9920744,8.326077,-5.910788,-77.26385,1000.8
0.037155628,-0.2309344,-1.088237,-0.7102148,0.0257415,0.007859291,0.9998243,8.326077,-5.910788,-77.26385,1000.8
0.056972504,-0.1084674,-1.693364,-0.7713773,0.03408168,0.001109743,1.00988,8.326077,-5.910788,-77.26385,1000.799
0.076788902,0.1364664,-1.330288,-0.2209152,0.02428629,0.005410087,0.9969235,7.231597,-7.024025,-77.30359,1000.799
0.096605301,1.116202,-1.995928,0.1460596,0.03450632,0.005956897,0.9997665,7.231597,-7.024025,-77.30359,1000.801
0.116421223,0.6263342,-1.269775,0.2683845,0.03450145,0.008886646,1.00316,7.579249,-5.552058,-77.26756,1000.801
0.136237621,-0.4146348,-0.9066988,0.02373465,0.03011855,0.01374847,1.009484,7.579249,-5.552058,-77.26756,1000.799
0.156054020,0.2589334,-0.7251607,-0.5878899,0.03260073,-0.005268839,0.9929617,7.579249,-5.552058,-77.26756,1000.799
0.175870419,1.422369,-1.027724,-0.7713773,0.03696027,-0.0003699115,0.9958591,7.236642,-7.397937,-77.67712,1000.803
0.195686340,0.7488011,-0.9672114,0.3295469,0.01885833,0.02879228,1.012519,7.236642,-7.397937,-77.67712,1000.803
0.215502739,1.851004,0.364068,0.207222,0.04381374,0.001652864,1.012243,7.236642,-7.397937,-77.67712,1000.8
0.235319138,-0.4758682,0.5456061,0.7576842,0.0311925,-0.009639962,1.00067,7.207179,-5.571678,-78.08955,1000.8
0.257612228,0.1976999,0.7876569,-0.03742781,0.0316429,-0.0008634296,1.004574,7.207179,-5.571678,-78.08955,1000.805
0.277429104,1.116202,0.2430426,-0.1597527,0.0325474,0.009848084,1.002211,7.242393,-7.764632,-77.67065,1000.805
0.297245503,1.177435,0.0615045,0.2683845,0.02963439,0.01276976,1.008516,7.242393,-7.764632,-77.67065,1000.802
0.317061901,0.3814003,-0.6646479,-0.2209152,0.03885601,0.009382161,0.9973469,7.207887,-5.564461,-77.70953,1000.802
0.336878300,-0.3534013,0.0009917939,-0.2209152,0.0461477,0.0108842,0.9987627,7.207887,-5.564461,-77.70953,1000.805
