Time (s),Altitude (m)
0.240263939,82.62712
1.238473415,82.72352
2.239162922,82.86027
3.239853859,82.92943
4.240547657,82.94934
5.238766193,83.0054
6.239463329,83.1191
7.240162373,83.11386
8.238386631,83.0405
9.239089012,82.78273
10.239793301,82.57839
11.240499497,82.4647
12.238729954,82.60511
13.239439011,82.52286
14.240149975,82.57263
15.238385201,82.62188
16.239099026,82.49247
17.239814758,82.5983
18.240531921,82.58678
19.238773823,82.57944
20.239494324,82.39922
21.240216255,82.26614
22.238461971,82.29862
23.239187241,82.38192
24.239913940,82.27714
