Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.193795681,97.55859,1156.125,4.078125,244.375,0
1.248452187,97.54297,844.3125,4.076875,253.4375,0
2.127279282,97.54297,700.03125,4.076875,257.5,0
3.182069302,97.53125,582.375,4.078125,243.4375,0
4.236769199,97.51953,506.90625,4.075,243.4375,0
5.115750313,97.51953,462,4.076875,252.5,0
6.170553684,97.50781,416.90625,4.075,264.0625,0
7.225470543,97.49609,382.6875,4.075,240.625,0
8.104444981,97.48438,359.71875,4.073125,260.3125,0
9.159079075,97.48438,334.03125,4.073125,263.125,0
10.214321137,97.47266,312.75,4.0725,252.8125,0
11.093038559,97.46094,301.96875,4.074375,269.6875,0
12.147823811,97.46094,290.25,4.07375,256.25,0
13.202589989,97.44531,280.21875,4.064375,321.25,0
14.257259369,97.43359,273.1875,4.07125,249.6875,0
15.136573792,97.42188,267.1875,4.071875,290.625,0
16.191348076,97.42188,262.6875,4.07125,243.4375,0
17.245997429,97.41016,258,4.058125,352.5,0
18.124923706,97.39844,251.53125,4.069375,246.875,0
19.179595947,97.39844,247.03125,4.070625,247.8125,0
20.234508038,97.38672,244.125,4.07125,237.8125,0
21.113595009,97.375,242.34375,4.07125,244.375,0
22.168258190,97.375,238.96875,4.07,245.9375,0
23.223085880,97.36328,236.0625,4.07,267.8125,0
24.101949692,97.36328,233.0625,4.07125,253.125,0
25.157048225,97.34766,231.65625,4.070625,258.125,0
26.211537838,97.33594,227.53125,4.066875,259.6875,0
27.090545177,97.32422,225.375,4.069375,246.25,0
28.145412922,97.32422,225.09375,4.060625,312.1875,0
29.201509953,97.3125,222.09375,4.061875,278.75,0
30.255261421,97.30078,221.15625,4.066875,260.9375,0
31.134248257,97.30078,220.78125,4.065,251.875,0
32.188808918,97.28906,219.28125,4.068125,254.0625,0
33.243607521,97.27734,218.34375,4.06625,238.125,0
34.122450352,97.27734,217.5,4.066875,261.25,0
35.177423000,97.26563,217.03125,4.063125,264.0625,0
36.232445717,97.25,216.75,4.064375,270.3125,0
37.111138821,97.25,217.03125,4.0675,244.375,0
38.165956974,97.23828,215.71875,4.06375,264.6875,0
39.220613003,97.22656,215.0625,4.065,242.5,0
40.100012302,97.22656,215.4375,4.0675,250.625,0
41.154361248,97.21484,214.875,4.065625,260,0
42.209348202,97.20313,214.875,4.066875,261.25,0
43.088282585,97.20313,215.15625,4.065,247.1875,0
44.142985344,97.19141,211.78125,4.058125,255.625,0
45.198310852,97.17969,212.34375,4.065,245.9375,0
46.252691269,97.17969,211.875,4.06625,248.75,0
