Time (s),W,X,Y,Z
0.000000000,0.3701203,0.3688729,-0.2650256,-0.8082901
0.017339706,0.3717631,0.3618147,-0.2648836,-0.8107692
0.037157536,0.3740913,0.3548054,-0.2638846,-0.8131183
0.056974888,0.3755579,0.3491769,-0.2638896,-0.8148754
0.076792717,0.3757794,0.34321,-0.2648396,-0.8169972
0.096609592,0.374963,0.3379155,-0.26592,-0.8192254
0.116427422,0.373441,0.3355383,-0.2665294,-0.8206983
0.136244774,0.3694305,0.3343916,-0.2684024,-0.8223693
0.156062603,0.3684795,0.3315169,-0.2689978,-0.8237641
0.175879955,0.3693027,0.3288305,-0.2684029,-0.8246657
0.195696831,0.3691516,0.3295305,-0.2681834,-0.8245254
0.215514660,0.368658,0.3316615,-0.268014,-0.8239467
0.235332012,0.369058,0.3337103,-0.2672703,-0.8231816
0.257627010,0.3687328,0.336602,-0.2674938,-0.8220766
0.277443886,0.3687293,0.3382212,-0.267482,-0.8214173
0.297261715,0.3686887,0.3395965,-0.267428,-0.8208854
0.317079067,0.3688542,0.3400517,-0.2671635,-0.8207087
0.336896896,0.3689241,0.3398804,-0.2668388,-0.8208538
0.356714249,0.3692735,0.3395687,-0.2664094,-0.8209653
0.376531601,0.3694757,0.3395832,-0.265772,-0.8210749
0.396348953,0.3692855,0.3400127,-0.2650943,-0.8212017
0.416166782,0.3686756,0.3410096,-0.2648443,-0.821143
0.435984135,0.3685016,0.3416157,-0.2651278,-0.8208778
0.455801964,0.3690785,0.3420772,-0.2650387,-0.8204551
0.475618839,0.3696868,0.3426339,-0.2649341,-0.8199825
0.495436669,0.3697328,0.3434567,-0.2647412,-0.8196797
0.517731190,0.3693189,0.3438655,-0.2645476,-0.8197575
0.537549019,0.3690771,0.3433673,-0.2647445,-0.8200116
0.557365894,0.3694251,0.342154,-0.2647489,-0.8203606
0.577183724,0.3700374,0.3415343,-0.2645667,-0.8204015
0.597001076,0.3703608,0.3414245,-0.2643993,-0.8203554
0.616818905,0.3704554,0.3412159,-0.264058,-0.8205094
0.636636257,0.3704764,0.3411715,-0.2635923,-0.8206681
0.656453610,0.3706126,0.3411653,-0.2633243,-0.8206952
0.676270962,0.3711816,0.340199,-0.2635333,-0.820772
0.696088791,0.3719327,0.3397078,-0.2638215,-0.8205428
0.715906143,0.3722187,0.3394795,-0.2640735,-0.8204267
0.735723972,0.3719597,0.3392573,-0.2635593,-0.8208013
0.755540848,0.3712942,0.3399844,-0.2633782,-0.8208598
0.775358677,0.3707754,0.3402606,-0.2638078,-0.820842
0.797653198,0.3706828,0.3401851,-0.2639423,-0.8208718
0.817471028,0.3703184,0.3414555,-0.2638205,-0.820548
0.837287903,0.369972,0.3422235,-0.2637107,-0.8204195
0.857105732,0.3697954,0.3420588,-0.2638066,-0.8205369
0.876923084,0.3698269,0.3414744,-0.2639239,-0.8207284
0.896740914,0.3698032,0.3410518,-0.2641476,-0.820843
0.916558266,0.3699853,0.340559,-0.2642399,-0.8209357
0.936375618,0.3701248,0.3404008,-0.264182,-0.8209571
0.956192970,0.3699137,0.3405003,-0.263933,-0.8210911
0.976010800,0.3697018,0.3400176,-0.2636005,-0.8214933
0.995828152,0.369468,0.3394772,-0.2631892,-0.8219536
1.015645981,0.3692464,0.3391854,-0.2628723,-0.8222752
1.035462856,0.3692754,0.3383899,-0.2628861,-0.8225852
1.055280685,0.3694974,0.3372039,-0.2631654,-0.8228834
1.077575207,0.3695818,0.3361742,-0.2634531,-0.8231747
1.097393036,0.3694524,0.3360483,-0.2632959,-0.8233343
1.117209911,0.3691759,0.3360313,-0.2631337,-0.8235172
1.137027741,0.369022,0.335669,-0.2630054,-0.8237749
1.156845093,0.3689045,0.3353544,-0.262993,-0.8239596
1.176662922,0.3688752,0.3352786,-0.2632804,-0.8239118
1.196480751,0.3688809,0.3353377,-0.2634817,-0.8238208
1.216297627,0.3690287,0.3350222,-0.2634053,-0.8239073
1.236115456,0.3691216,0.3351293,-0.263134,-0.8239088
1.255932808,0.3689284,0.3354328,-0.2630303,-0.823905
1.275750637,0.3688165,0.3349985,-0.262883,-0.8241787
1.295567989,0.3687186,0.3344514,-0.26273,-0.8244935
1.315385342,0.3687252,0.333785,-0.2628046,-0.8247368
1.337679863,0.368717,0.3336336,-0.2627157,-0.8248301
1.357497692,0.3686542,0.3338725,-0.2629316,-0.8246926
1.377315044,0.3686217,0.334015,-0.2630522,-0.8246109
1.397132874,0.3684022,0.3342074,-0.263198,-0.8245845
1.416950703,0.3683395,0.3344243,-0.2631344,-0.8245449
1.436767578,0.3684378,0.3345813,-0.2630828,-0.8244538
1.456585407,0.3687812,0.3347168,-0.263813,-0.8240119
1.476402760,0.3688982,0.3351536,-0.2646298,-0.8235198
1.496220589,0.3689082,0.3355911,-0.2649601,-0.8232309
1.516037464,0.3689032,0.3354219,-0.2650079,-0.8232867
1.535855293,0.3687565,0.3354156,-0.2650511,-0.8233412
1.555673123,0.3686624,0.3355,-0.2651626,-0.8233129
1.575490475,0.3686917,0.3355479,-0.2653253,-0.823228
1.595308304,0.3688632,0.3356928,-0.2660646,-0.8228533
1.617602825,0.3685166,0.3369255,-0.2669316,-0.8222238
1.637420654,0.3684214,0.337949,-0.2674776,-0.8216687
1.657237530,0.3682657,0.3394627,-0.2681796,-0.8208855
1.677055359,0.3681996,0.3409115,-0.2686219,-0.8201697
1.696872711,0.3682047,0.342006,-0.2687026,-0.8196852
1.716690540,0.3684542,0.3418155,-0.2689934,-0.8195572
1.736507416,0.3690315,0.341116,-0.2694002,-0.8194552
1.756325245,0.3689531,0.3417673,-0.2700559,-0.8190031
1.776143074,0.3690462,0.3419474,-0.270465,-0.8187511
1.795960427,0.3694493,0.3413436,-0.270445,-0.8188277
1.815778256,0.3699804,0.3413736,-0.2703458,-0.8186082
1.835595131,0.3705559,0.3418923,-0.2701115,-0.8182088
1.855412960,0.3716428,0.3412875,-0.2691189,-0.8182952
1.877707482,0.3738835,0.3398179,-0.2668611,-0.8186256
1.897525311,0.3767362,0.337907,-0.2645545,-0.8188573
1.917343140,0.3800474,0.3360029,-0.2615211,-0.8190851
1.937160492,0.3836137,0.334975,-0.2583319,-0.8188557
1.956978321,0.3868485,0.3348932,-0.2555184,-0.8182499
1.976795197,0.3895041,0.3351578,-0.2530893,-0.8176364
1.996613026,0.3920164,0.3346011,-0.2514817,-0.8171597
2.016430855,0.3943322,0.3333001,-0.2509052,-0.8167542
