Time (s),Power (dBm),Percentage (%)
0.021512508,0,100
0.521215916,0,100
1.021337032,0,100
1.521222115,0,100
2.021410942,0,100
2.521352291,0,100
3.021322727,0,100
3.521123886,0,100
4.021297455,0,100
4.521161080,0,100
5.021376610,0,100
5.521308899,0,100
6.021454811,0,100
6.521121025,0,100
7.021268845,0,100
7.521133900,0,100
8.021315098,0,100
8.521280289,0,100
9.021285057,0,100
9.521096230,0,100
10.021236420,0,100
10.521118641,0,100
11.021261215,0,100
11.521265984,0,100
12.021398544,0,100
12.521067143,0,100
13.021239281,0,100
13.521129131,0,100
14.021211624,0,100
14.521238327,0,100
15.021290779,0,100
15.521034718,0,100
16.021189213,0,100
16.521110535,0,100
17.021161556,0,100
17.521194458,0,100
18.021276951,0,100
18.520992279,0,100
19.021172524,0,100
19.521120548,0,100
20.021113396,0,100
20.521166325,0,100
21.021269798,0,100
21.520954132,0,100
22.021121025,0,100
22.521162987,0,100
