Time (s),W,X,Y,Z
1.979326725,0.9536565,0.01496103,-0.1946637,-0.2214705
1.999145031,0.9534395,0.0155443,-0.1948521,-0.2221978
2.018962860,0.9530908,0.0160424,-0.1952188,-0.2233331
2.038780689,0.9525921,0.01707174,-0.1965461,-0.224219
2.058598995,0.9520426,0.01838836,-0.1988587,-0.2244096
2.078416824,0.9514116,0.01877993,-0.2016512,-0.2245611
2.098234653,0.9507924,0.01918406,-0.2042391,-0.2248108
2.118053436,0.9501108,0.02028899,-0.206956,-0.2251105
2.137871265,0.949479,0.02122722,-0.2096974,-0.225153
2.157689571,0.9486676,0.02139649,-0.2127843,-0.2256597
2.177507401,0.9477175,0.02153395,-0.2166373,-0.2259727
2.199802399,0.9466172,0.0216038,-0.2218033,-0.2255663
2.219621182,0.9456066,0.02070029,-0.225586,-0.2261378
2.239439011,0.9448713,0.01988423,-0.2274897,-0.2273739
2.259256840,0.9443857,0.01915225,-0.2282685,-0.2286698
2.279075146,0.9438828,0.01891815,-0.2291814,-0.2298496
2.298892975,0.9433797,0.02054477,-0.2306731,-0.2302831
2.318710804,0.9426503,0.02255972,-0.2331168,-0.2306207
2.338529110,0.9417525,0.02381046,-0.2364941,-0.2307243
2.358346939,0.940927,0.02474805,-0.2395989,-0.2307902
2.378165722,0.9401439,0.02523872,-0.2426068,-0.2307859
2.397983551,0.9393923,0.02563602,-0.2454245,-0.2308234
2.417801380,0.938798,0.0268878,-0.2473274,-0.2310676
2.437619686,0.9383326,0.02872199,-0.2490812,-0.2308535
2.459914684,0.937563,0.03100404,-0.252264,-0.2302282
2.479733467,0.9369438,0.03289677,-0.2550822,-0.2293795
2.499550820,0.9364139,0.03434728,-0.2573693,-0.228775
2.519368649,0.9357224,0.03467195,-0.2598227,-0.2287824
2.539187431,0.9351237,0.03493051,-0.2620422,-0.2286589
2.559005261,0.9347016,0.0354621,-0.2635309,-0.2285925
2.578823567,0.9343352,0.03620672,-0.2648431,-0.2284571
2.598641396,0.9339851,0.03653993,-0.2662124,-0.2282438
2.618459225,0.9334315,0.03582294,-0.2684133,-0.2280443
2.638277531,0.9330295,0.03552704,-0.2702085,-0.2276156
2.658095360,0.9328192,0.03539457,-0.2711374,-0.2273932
2.677913189,0.9325956,0.03450486,-0.271771,-0.227691
2.697731972,0.932577,0.03430028,-0.2713873,-0.2282545
2.717549801,0.9322922,0.03473377,-0.2719491,-0.2286837
2.739845276,0.9313221,0.03666266,-0.2755808,-0.2279864
2.759663105,0.9303191,0.03743135,-0.2799534,-0.2266255
2.779480934,0.9293275,0.03671651,-0.2834338,-0.2264845
