Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.987665176,97.58203,380.25,4.085,248.125,0
1.866711140,97.58203,354.5625,4.0825,252.8125,0
2.921485901,97.57031,332.4375,4.0825,256.5625,0
3.976661682,97.55859,313.78125,4.080625,246.25,0
4.855299950,97.55859,303.5625,4.083125,249.0625,0
5.910086632,97.54297,293.0625,4.081875,263.125,0
6.964878559,97.54297,282.75,4.083125,251.875,0
8.019713879,97.53125,273.9375,4.08125,248.125,0
8.898937702,97.51953,266.90625,4.0825,250.625,0
9.953619003,97.51953,261.75,4.080625,253.125,0
11.008237362,97.50781,256.40625,4.075625,273.125,0
11.887211800,97.50781,251.53125,4.080625,252.8125,0
12.941891193,97.49609,243.09375,4.075,301.5625,0
13.996773720,97.48438,240,4.080625,259.0625,0
14.875876904,97.48438,237.46875,4.08,250.9375,0
15.930566311,97.47266,235.59375,4.07875,248.4375,0
16.985226631,97.47266,233.4375,4.075625,281.875,0
17.864411831,97.46094,230.8125,4.08,236.5625,0
18.919569015,97.46094,228.5625,4.08,243.125,0
19.973899841,97.44531,226.59375,4.080625,245.9375,0
20.852943897,97.44531,226.125,4.08,244.6875,0
21.907623768,97.43359,224.8125,4.0825,255.3125,0
