Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.250287533,42.28,32.084
1.251438141,42.322,32.084
2.250111580,42.276,32.082
3.251263142,42.3,32.078
4.249937058,42.272,32.076
5.251089096,42.282,32.074
6.252240181,42.31,32.074
7.250914097,42.332,32.07
8.252065182,42.29,32.07
9.250739098,42.29,32.068
10.251890183,42.302,32.066
11.250563145,42.246,32.066
12.251713753,42.326,32.064
13.250386715,42.308,32.056
14.251537323,42.278,32.054
15.250210762,42.31,32.058
16.251360893,42.276,32.058
17.250033379,42.242,32.058
18.251183987,42.282,32.054
19.249856472,42.218,32.048
20.251006603,42.246,32.048
21.252156735,42.278,32.05
22.250829220,42.314,32.054
23.251979828,42.256,32.054
24.250651836,42.286,32.052
25.251802445,42.266,32.046
26.250474930,42.246,32.044
27.251626015,42.28,32.048
28.250298500,42.282,32.048
29.251449108,42.31,32.046
30.250122070,42.26,32.046
31.251273155,42.294,32.048
32.249947071,42.344,32.05
33.251098156,42.292,32.048
34.249772549,42.336,32.05
35.250924587,42.304,32.052
36.252077103,42.392,32.056
37.250752449,42.374,32.056
38.251905441,42.402,32.058
39.250581265,42.408,32.062
