Time (s),Altitude (m)
0.250287533,74.54176
1.251438141,74.65746
2.250111580,74.55118
3.251263142,74.35485
4.249937058,74.22607
5.251089096,74.11823
6.252240181,74.08943
7.250914097,74.12503
8.252065182,74.10304
9.250739098,74.17895
10.251890183,74.25224
11.250563145,74.21141
12.251713753,74.21141
13.250386715,74.66373
14.251537323,74.78939
15.250210762,74.59987
16.251360893,74.51348
17.250033379,74.57317
18.251183987,74.80876
19.249856472,75.22132
20.251006603,75.22604
21.252156735,75.11556
22.250829220,74.82813
23.251979828,74.70772
24.250651836,74.67473
25.251802445,75.15535
26.250474930,75.25431
27.251626015,74.98624
28.250298500,75.0674
29.251449108,75.3208
30.250122070,75.27158
31.251273155,75.04593
32.249947071,74.86687
33.251098156,74.90195
34.249772549,74.8831
35.250924587,74.90771
36.252077103,74.68363
37.250752449,74.74384
38.251905441,74.74489
39.250581265,74.55537
