Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.186655998,96.70313,160.40625,3.859375,326.875,0
1.244216919,96.67969,151.96875,3.86,336.5625,0
2.119493485,96.66406,145.96875,3.86,310.625,0
3.173893452,96.65234,139.59375,3.859375,336.5625,0
4.230729580,96.62891,134.625,3.860625,318.75,0
5.115579128,96.61719,131.15625,3.856875,327.1875,0
6.173522472,96.60547,128.625,3.864375,302.5,0
7.218695641,96.59375,124.875,3.859375,341.5625,0
8.096473217,96.56641,122.25,3.858125,325,0
9.151078701,96.55469,119.625,3.859375,321.25,0
10.205920696,96.54297,117.375,3.859375,320.625,0
11.084958076,96.51953,115.59375,3.8625,330.9375,0
12.143076420,96.50781,113.53125,3.85625,330,0
13.194548130,96.49609,111.75,3.858125,323.4375,0
14.249423504,96.46875,109.875,3.85625,344.6875,0
15.129143715,96.45703,108.84375,3.85875,329.0625,0
16.183106422,96.43359,107.53125,3.85625,318.4375,0
17.237839699,96.42188,106.03125,3.855,339.6875,0
18.117126942,96.41016,104.90625,3.854375,359.375,0
19.171796799,96.38672,102.84375,3.855,395,0
20.226379871,96.37109,101.90625,3.860625,340.9375,0
21.106200218,96.34766,100.6875,3.854375,383.125,0
22.162820816,96.33594,99.5625,3.856875,380.625,0
23.218204498,96.3125,98.71875,3.853125,341.25,0
24.094103336,96.30078,98.15625,3.854375,330,0
25.148839474,96.28906,97.875,3.85125,330.625,0
26.203534603,96.26172,97.125,3.855,342.1875,0
27.085837364,96.25,96.75,3.854375,353.75,0
28.138801575,96.22656,96.1875,3.856875,328.4375,0
29.193219662,96.21484,95.4375,3.85125,338.125,0
30.247131348,96.19141,94.875,3.8525,393.4375,0
31.125950336,96.17578,94.21875,3.853125,364.6875,0
32.180616379,96.15234,93.1875,3.849375,397.5,0
33.235484600,96.14063,92.53125,3.84625,343.125,0
34.115758896,96.11719,92.34375,3.855,316.875,0
35.170520783,96.10547,92.0625,3.850625,347.1875,0
36.232807159,96.07813,92.0625,3.85625,324.0625,0
37.103711605,96.06641,92.15625,3.85125,341.875,0
38.157774448,96.05469,92.0625,3.854375,306.5625,0
39.213253498,96.03125,92.0625,3.85375,341.5625,0
40.091723919,96.01953,91.40625,3.851875,338.125,0
41.146480083,95.99609,91.40625,3.85375,325.9375,0
42.201162815,95.98047,91.40625,3.85125,330,0
43.080645084,95.95703,91.59375,3.85625,320.625,0
44.136135578,95.94531,91.78125,3.854375,322.5,0
45.191615105,95.92188,91.875,3.851875,339.6875,0
46.248197556,95.91016,91.59375,3.850625,335,0
47.123539925,95.89844,91.3125,3.8525,340.3125,0
48.178310394,95.87109,91.3125,3.849375,329.0625,0
49.235471726,95.85938,91.3125,3.85,425.625,0
50.112339973,95.83594,90.84375,3.845625,350.625,0
51.170526981,95.82422,90.84375,3.851875,361.25,0
52.225607395,95.80078,90.375,3.848125,346.5625,0
53.100655079,95.78516,90.28125,3.853125,320.625,0
54.155550957,95.76172,90.375,3.84375,334.6875,0
55.210379124,95.75,90.46875,3.845,361.875,0
56.089240074,95.72656,90.1875,3.851875,333.125,0
57.144154072,95.71484,90,3.85375,328.75,0
58.200523377,95.6875,90.09375,3.853125,345.3125,0
59.078601837,95.67578,90.09375,3.8525,353.125,0
