Time (s),Altitude (m)
0.250277996,63.27282
1.248912335,63.38683
2.250026703,63.91611
3.248663902,63.98933
4.249780655,63.87688
5.248419762,63.63159
6.249537468,63.27805
7.248178482,63.2179
8.249298573,63.31884
9.247941017,63.32407
10.249062061,63.29321
11.247705936,63.29478
12.248828411,63.36382
13.247473717,63.45272
14.251075745,63.48672
15.284413815,63.52385
16.248368740,63.41821
17.249494553,63.42867
18.248142242,63.33819
19.249268532,63.38369
20.247917652,63.37218
21.249045849,63.39729
22.250174046,63.37218
23.248825550,63.29478
24.247476578,63.2634
25.248607159,63.2247
26.249737740,63.43442
27.248390675,63.40409
28.271825790,63.40827
29.250655651,63.39363
30.249310017,63.28275
31.247965813,63.29321
32.249099732,63.25294
33.250235081,63.26393
34.248892307,63.31727
35.247550011,63.37323
36.248687267,63.36277
37.249823570,63.35859
38.248484135,63.43965
39.249621868,63.73724
40.248282433,63.68441
41.249422550,63.47887
42.250564098,63.5113
43.249225140,63.43547
44.247888565,63.27125
45.249030590,63.22575
46.247694969,63.23726
47.248837948,63.22941
48.247503758,63.21843
49.248648167,63.20012
50.247315407,63.3429
51.248460770,63.44436
52.284300327,63.50189
53.248275757,63.40304
54.249423504,63.53222
55.248093128,63.52438
56.249244690,63.43442
57.247912884,63.54634
58.249063015,63.48568
59.250213146,63.53588
