Time (s),Humidity (%)
0.252656460,68.9834
1.250898838,69.0293
2.251620770,68.58496
3.252344608,68.66211
4.250593662,68.41504
5.251320839,68.14453
6.252049923,67.85156
7.252780438,67.6748
8.251036644,67.91406
9.251769543,67.21582
10.252505302,68.06934
11.250764370,67.42773
12.251502991,67.21484
13.252243042,67.01465
14.250506878,66.56836
15.251249313,67.37598
16.251993179,67.56934
