Time (s),W,X,Y,Z
0.000000000,0.2961926,-0.001333253,-0.003632573,-0.9533533
0.012385368,0.2962391,-0.001305712,-0.003740535,-0.9533385
0.032201290,0.2959056,-0.001282426,-0.003808106,-0.9534419
0.052017689,0.2956531,-0.001297841,-0.003747237,-0.9535204
0.071834087,0.2953732,-0.001230516,-0.003773464,-0.9536071
0.091650009,0.2951371,-0.001229942,-0.003745543,-0.9536803
0.111466408,0.2949813,-0.001200633,-0.003718662,-0.9537287
0.131282330,0.2951343,-0.001241558,-0.003723696,-0.9536813
0.151098728,0.2952605,-0.001272583,-0.003792107,-0.9536419
0.170914650,0.2950147,-0.001276254,-0.003856903,-0.9537177
0.190731049,0.2946149,-0.001308683,-0.003836279,-0.9538413
0.210547447,0.294314,-0.001327209,-0.003752481,-0.9539346
0.232840538,0.2941242,-0.001259711,-0.003814476,-0.9539929
0.252656460,0.2939717,-0.001269405,-0.003861385,-0.9540398
0.272472858,0.2940674,-0.001261811,-0.003821605,-0.9540104
0.292289257,0.2942579,-0.001271216,-0.003803164,-0.9539517
0.312105179,0.2943856,-0.001295611,-0.003863703,-0.953912
0.331921578,0.294404,-0.001293381,-0.003960054,-0.9539059
0.351737499,0.2944574,-0.001262449,-0.003971834,-0.9538894
0.371553898,0.294661,-0.001256285,-0.004008667,-0.9538264
0.391370297,0.2949417,-0.001294968,-0.004057181,-0.9537394
0.411186218,0.2952156,-0.00129618,-0.004069546,-0.9536546
0.431002617,0.2952203,-0.001264969,-0.004066892,-0.9536532
0.450818539,0.2952001,-0.001228752,-0.004145797,-0.9536592
0.470634937,0.2953854,-0.001237572,-0.004188411,-0.9536017
0.490451336,0.2957534,-0.001217159,-0.00418081,-0.9534876
0.512744427,0.2960972,-0.001199833,-0.004167416,-0.9533809
0.532560349,0.2961411,-0.001172851,-0.004194843,-0.9533672
0.552376747,0.2961924,-0.001151503,-0.004174154,-0.9533514
0.572193623,0.2961933,-0.001136669,-0.004207203,-0.953351
0.592009068,0.2961815,-0.001123254,-0.004196939,-0.9533548
0.611825466,0.2961673,-0.001144859,-0.004199208,-0.9533591
0.631641388,0.2963469,-0.001173921,-0.004162613,-0.9533035
0.651457787,0.2965142,-0.00116561,-0.004140355,-0.9532515
0.671274662,0.296595,-0.001177918,-0.004168839,-0.9532263
0.691090107,0.2965519,-0.001171792,-0.004203222,-0.9532395
0.710906506,0.2965376,-0.001173002,-0.004229314,-0.9532439
0.730722428,0.2965717,-0.00114668,-0.00423654,-0.9532333
0.750538826,0.2966,-0.001149584,-0.004248745,-0.9532244
0.772831917,0.2965121,-0.001150864,-0.004250087,-0.9532517
0.792648792,0.296304,-0.00115356,-0.004264321,-0.9533165
0.812465191,0.29612,-0.001162365,-0.004241775,-0.9533736
0.832281113,0.2959452,-0.001178689,-0.004246409,-0.9534279
0.852097511,0.2957661,-0.001166646,-0.004257042,-0.9534834
0.871913433,0.2957274,-0.001159698,-0.004284346,-0.9534953
0.891729832,0.2958891,-0.001156745,-0.004288089,-0.9534451
0.911546231,0.2960333,-0.001157027,-0.004306742,-0.9534004
0.931362152,0.296102,-0.00115748,-0.004324731,-0.9533789
0.951178551,0.2961538,-0.001163712,-0.004336765,-0.9533627
0.970994950,0.296177,-0.001165722,-0.004372973,-0.9533553
0.990810871,0.2961647,-0.001163665,-0.004386548,-0.9533591
1.010627270,0.2961533,-0.001167318,-0.004395754,-0.9533626
1.030443668,0.2961514,-0.0011885,-0.004414241,-0.9533631
1.052736759,0.2961444,-0.001213077,-0.004432742,-0.9533652
1.072552681,0.2961452,-0.001200151,-0.004442112,-0.9533649
1.092369080,0.2961586,-0.001202082,-0.00444599,-0.9533607
1.112185478,0.2961711,-0.001201445,-0.004447166,-0.9533569
1.132001400,0.2962054,-0.001201948,-0.004469351,-0.9533461
1.151817799,0.2962494,-0.001194343,-0.004472472,-0.9533324
1.171634197,0.2963173,-0.001203552,-0.004487478,-0.9533112
1.191450119,0.2964613,-0.001226749,-0.004492553,-0.9532663
1.211266518,0.2965731,-0.001221982,-0.004519322,-0.9532315
1.231082916,0.2965795,-0.001237519,-0.004527205,-0.9532294
1.250898838,0.2964985,-0.001244174,-0.004545289,-0.9532546
1.270715237,0.2964428,-0.001247307,-0.004537447,-0.9532719
1.290532112,0.2965247,-0.001246518,-0.004538201,-0.9532464
1.312825203,0.296621,-0.001252708,-0.004551727,-0.9532163
1.332641602,0.2967307,-0.001257354,-0.004567633,-0.9531821
1.352457523,0.2968525,-0.001269026,-0.004570313,-0.9531441
1.372273922,0.2969591,-0.001283606,-0.00457794,-0.953111
1.392090321,0.2969844,-0.001279695,-0.004588317,-0.9531029
1.411906242,0.2970133,-0.001280096,-0.004616924,-0.9530939
1.431722641,0.2970676,-0.001276177,-0.004634471,-0.9530768
1.451539040,0.2971291,-0.001270886,-0.004642514,-0.9530576
1.471354962,0.2971959,-0.001253886,-0.004660524,-0.9530368
1.491171360,0.2972906,-0.001259444,-0.00467899,-0.9530072
1.510987759,0.2973737,-0.001247386,-0.00469286,-0.9529811
1.530803681,0.2974795,-0.001238246,-0.004707905,-0.952948
1.550620079,0.2975881,-0.001242179,-0.004728111,-0.9529141
1.570436478,0.2977023,-0.001228871,-0.004749641,-0.9528782
1.592729569,0.2978671,-0.001229762,-0.004765509,-0.9528267
1.612545967,0.2980216,-0.001228875,-0.004763373,-0.9527783
1.632361889,0.2980306,-0.001234445,-0.004777724,-0.9527755
1.652178288,0.2979704,-0.00123598,-0.004776763,-0.9527943
1.671995163,0.2979114,-0.001240079,-0.004777586,-0.9528128
1.691810608,0.2979489,-0.001233829,-0.004776765,-0.952801
1.711627007,0.2979849,-0.001224023,-0.004793575,-0.9527898
1.731443882,0.2980563,-0.00125566,-0.004787477,-0.9527673
1.751259327,0.2981654,-0.001289319,-0.004773604,-0.9527333
1.771076203,0.2982709,-0.00132472,-0.004761429,-0.9527002
1.790892601,0.2983149,-0.001321269,-0.00476804,-0.9526864
1.810709000,0.2983609,-0.001326516,-0.004761195,-0.952672
1.830524922,0.2984325,-0.001325104,-0.0047636,-0.9526496
1.852818489,0.298547,-0.001321162,-0.004777454,-0.9526137
1.872634411,0.2986552,-0.001323137,-0.004782121,-0.9525797
1.892450810,0.2985989,-0.001328434,-0.004780834,-0.9525974
1.912267208,0.298529,-0.001327193,-0.004784253,-0.9526193
1.932083130,0.2985015,-0.00131758,-0.004790131,-0.952628
1.951899529,0.2985308,-0.001328439,-0.004787453,-0.9526187
1.971715927,0.2985494,-0.001308529,-0.004816558,-0.9526127
1.991531849,0.2985405,-0.001318745,-0.004822522,-0.9526155
2.011348248,0.298518,-0.001310288,-0.004846992,-0.9526225
2.031164646,0.2985422,-0.001300584,-0.004863737,-0.9526147
2.050981522,0.2986172,-0.001285641,-0.004873608,-0.9525912
2.070796967,0.2986799,-0.001282768,-0.00488595,-0.9525716
2.090613842,0.298705,-0.001287986,-0.004881872,-0.9525637
2.112906933,0.2987101,-0.001288686,-0.004906439,-0.9525619
2.132723331,0.2986674,-0.001285993,-0.004931817,-0.9525751
2.152539730,0.2985339,-0.001282859,-0.004951032,-0.9526169
2.172355652,0.2984069,-0.001283381,-0.004943947,-0.9526567
2.192172051,0.2984949,-0.00128636,-0.004960287,-0.9526291
2.211988449,0.2986186,-0.001296224,-0.004967457,-0.9525902
2.231804848,0.2987137,-0.001284289,-0.004987955,-0.9525604
2.251620770,0.2987573,-0.00128359,-0.004995517,-0.9525467
2.271437168,0.2988165,-0.00128188,-0.004997355,-0.9525282
2.291253567,0.298858,-0.001284072,-0.004990002,-0.9525151
2.311069965,0.2989035,-0.001295408,-0.004998585,-0.9525008
2.330885887,0.2989383,-0.001295702,-0.005011117,-0.9524898
2.350702286,0.2989872,-0.001297246,-0.005031999,-0.9524743
2.370519161,0.29903,-0.001302962,-0.005038977,-0.9524608
2.392812252,0.2990402,-0.001304719,-0.005035039,-0.9524577
2.412628651,0.2990234,-0.001301702,-0.005044769,-0.9524629
2.432445049,0.2990107,-0.00130776,-0.005030265,-0.952467
2.452260971,0.298991,-0.001308562,-0.005029627,-0.9524732
2.472077370,0.2989584,-0.001313899,-0.005023608,-0.9524834
2.491893768,0.2989995,-0.00130968,-0.005017144,-0.9524706
2.511709690,0.2990601,-0.001304542,-0.005045834,-0.9524514
2.531526089,0.2991229,-0.00130437,-0.005061547,-0.9524316
2.551342487,0.2992173,-0.001297392,-0.005070008,-0.9524019
2.571158886,0.2993073,-0.001301083,-0.005081383,-0.9523735
2.590974808,0.2993402,-0.001318583,-0.005081656,-0.9523631
2.610791207,0.2993293,-0.001328188,-0.005068365,-0.9523666
