Time (s),Power (dBm),Percentage (%)
0.254230976,0,100
0.754108429,0,100
1.254264832,0,100
1.754110813,0,100
2.254437447,0,100
2.754293442,0,100
3.254450798,0,100
3.754137993,0,100
4.254401684,0,100
4.754053593,0,100
5.254242420,0,100
5.754297257,0,100
6.254412174,0,100
6.754179955,0,100
7.254364491,0,100
7.754086971,0,100
8.254224300,0,100
8.754063606,0,100
9.254417419,0,100
9.754130840,0,100
10.254385471,0,100
10.754193306,0,100
11.254210472,0,100
11.754048348,0,100
12.254338265,0,100
12.754084110,0,100
13.254338741,0,100
13.754184723,0,100
14.254334927,0,100
14.754000664,0,100
15.254183292,0,100
15.754031182,0,100
16.254314423,0,100
