Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.252656460,26.954,29.064
1.250898838,27.07,29.076
2.251620770,27.188,29.086
3.252344608,27.178,29.098
4.250593662,27.272,29.108
5.251320839,27.346,29.118
6.252049923,27.408,29.13
7.252780438,27.446,29.14
8.251036644,27.504,29.15
9.251769543,27.582,29.16
10.252505302,27.624,29.172
11.250764370,27.666,29.182
12.251502991,27.74,29.19
13.252243042,27.806,29.202
14.250506878,27.822,29.212
15.251249313,27.932,29.222
16.251993179,27.904,29.232
