Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.188980579,97.65625,1226.71875,4.054375,257.5,0
1.243377686,97.64063,846.46875,4.0475,248.125,0
2.122407436,97.62891,692.0625,4.051875,267.5,0
3.177280426,97.62891,571.78125,4.053125,258.75,0
4.232064724,97.61719,496.03125,4.050625,253.4375,0
5.110935688,97.60547,443.8125,4.0425,310.9375,0
6.165838242,97.60547,402.9375,4.05125,245.3125,0
7.220492363,97.59375,368.8125,4.05125,290.625,0
8.099857330,97.59375,346.40625,4.05,246.5625,0
9.154418469,97.58203,326.34375,4.041875,284.6875,0
10.209037781,97.57031,310.21875,4.049375,260.3125,0
11.088084698,97.57031,297.46875,4.050625,252.8125,0
12.142858028,97.55859,286.59375,4.049375,269.375,0
13.197845936,97.54297,276.1875,4.05125,256.875,0
14.252535343,97.54297,267,4.049375,249.375,0
15.131546974,97.53125,259.6875,4.048125,274.375,0
16.186181545,97.51953,253.5,4.049375,254.0625,0
