Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.186404228,100.0234,1204.3125,4.090625,311.875,0
1.241075039,100.0117,827.8125,4.10375,291.875,0
2.120092869,100.0117,663.28125,4.101875,274.6875,0
3.174751282,100,551.34375,4.101875,276.875,0
4.229619980,99.98438,474.9375,4.096875,280.9375,0
5.109376431,99.98438,425.25,4.09875,287.8125,0
6.164394856,99.97266,387.65625,4.10625,297.1875,0
7.218070507,99.96094,357.1875,4.099375,290.3125,0
8.097092152,99.96094,335.90625,4.100625,283.75,0
9.151973724,99.94922,313.78125,4.1,284.6875,0
10.206714630,99.9375,296.625,4.09625,291.25,0
11.086782455,99.92578,283.875,4.095,309.375,0
12.141953468,99.92578,269.25,4.096875,291.875,0
13.196582794,99.91406,259.59375,4.09375,269.375,0
14.250309467,99.90234,248.4375,4.09875,284.6875,0
15.128952026,99.90234,243.375,4.095,283.125,0
16.183885098,99.88672,237.5625,4.098125,282.5,0
17.238687038,99.875,231.375,4.089375,290.3125,0
18.117582321,99.86328,225.75,4.095625,337.1875,0
19.172472954,99.86328,220.21875,4.09125,280.9375,0
20.232731819,99.85156,214.875,4.0925,309.375,0
21.106106281,99.83984,210.5625,4.093125,315.3125,0
22.161026478,99.82813,206.8125,4.09,309.375,0
23.215801716,99.81641,204.09375,4.0925,296.25,0
24.095024586,99.81641,201.375,4.0875,297.1875,0
25.189996719,99.80469,198.09375,4.084375,284.6875,0
26.204237938,99.78906,195.46875,4.091875,315.625,0
27.083867073,99.77734,193.5,4.089375,333.4375,0
28.138180733,99.77734,191.34375,4.09,298.4375,0
