Time (s),X (g),Y (g),Z (g)
0.000000000,0.00816134,-0.00801994,-0.0005781651
0.002477646,0.006635572,-0.009428138,0.0008708239
0.004954338,0.006083368,-0.006479548,0.002819836
0.007431507,0.00556036,-0.005498928,0.003310382
0.009908199,0.006506055,-0.00551176,0.001374662
0.012384892,0.0007031858,-0.004108561,0.002861977
0.014862061,-0.002110348,-0.00365825,0.01156795
0.027246475,-0.00497212,-0.000173904,0.01160347
0.029723167,-0.008705365,-0.0002721902,0.00921005
0.032200813,-0.008513791,-0.002251904,0.01643878
0.034677029,-0.01460174,-0.00666797,0.01548308
0.037154675,-0.01199589,0.0006259736,0.02660769
0.039631367,-0.01378748,0.002005589,0.01841867
0.042108059,-0.01888323,-0.001435775,0.01987582
0.044585228,-0.01338274,0.001969972,0.01744938
0.047061920,-0.01512952,0.002437573,0.02083969
0.049539089,-0.01490652,-0.003361159,0.02080733
0.052015781,-0.01665331,0.003455658,0.0256778
0.054492950,-0.01453795,0.003444955,0.01601171
0.056969643,-0.01387571,0.003935654,0.01600987
0.059446335,-0.01420649,0.005387193,0.009261012
0.061923504,-0.01351568,0.002988509,0.0106914
0.064400196,-0.009980053,0.003031728,0.004879117
0.066877365,-0.001625637,0.0002135141,0.004817903
0.069354057,-0.003527948,0.003155864,0.00387758
0.071831703,-0.003497005,0.0002601072,-0.007722616
0.074308395,-0.001059566,0.001778508,-0.007245779
0.076784611,0.006160832,0.001371386,-0.007287621
0.079262257,0.01088504,-3.20347E-05,-0.01069981
0.081738949,0.01412542,-0.002883506,-0.01121503
0.084216118,0.01682811,-0.001871208,-0.009293616
0.086692810,0.01372567,-0.00138839,-0.005411983
0.089169979,0.02221562,-0.001832858,-0.004494309
0.091646671,0.03154466,0.002057773,-0.007419169
0.094123364,0.02683978,0.005845015,-0.002544701
0.096600533,0.02990237,0.006243427,0.0003401041
0.099077225,0.0276778,0.003714055,0.007582426
0.101554394,0.02883023,0.0007157363,0.007080793
0.104031086,0.02417125,0.003504965,0.007606506
0.106508732,0.02679443,0.007265233,0.008097827
0.108985424,0.02755173,0.003747031,0.01338845
0.111461639,0.02155331,0.0002022488,0.01388854
0.113939285,0.02042513,0.0005633831,0.01389927
0.116415978,0.01691752,0.002842446,0.01634634
0.118893147,0.01588911,0.004161476,0.02215344
0.121369839,0.01483793,0.003503422,0.01298755
0.123846531,0.01382902,0.005298764,0.01396966
0.126323700,0.008049745,0.005132118,0.02076024
0.128800392,0.0008265199,0.007342535,0.01646918
0.131277561,-0.001006142,0.00571081,0.01212829
0.133754253,-0.003755257,0.006539118,0.02035415
