Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.2589334,-1.027724,-0.5878899,0.01992455,2.071983E-05,0.9925756,24.09266,6.873089,-34.46311,1008.57
0.002477646,0.6263342,-0.4831098,-0.5267274,0.01847865,-0.001444089,0.9940242,24.09266,6.873089,-34.46311,1008.57
0.004954338,0.7488011,-0.05952091,-0.5878899,0.01798253,0.001479628,0.9959725,24.09266,6.873089,-34.46311,1008.57
0.007431507,0.9325016,0.364068,-0.5267274,0.01749239,0.002452132,0.9964628,24.09336,6.880306,-34.08309,1008.57
0.009908199,1.422369,0.8481696,-0.465565,0.01845849,0.002452479,0.9945268,24.09336,6.880306,-34.08309,1008.57
0.012384892,1.544836,0.9691951,-0.3432401,0.01261928,0.003886565,0.9960142,24.09336,6.880306,-34.08309,1008.57
0.014862061,1.728537,1.332271,-0.4044026,0.009728095,0.00437948,1.004721,24.09336,6.880306,-34.08309,1008.57
0.027246475,1.78977,2.179449,-0.3432401,0.006301989,0.008257259,1.004759,24.09336,6.880306,-34.08309,1008.57
0.029723167,1.728537,2.058424,-0.4044026,0.002403157,0.008231265,1.002367,24.09336,6.880306,-34.08309,1008.57
0.032200813,1.60607,1.876886,-0.5267274,0.00243865,0.006301143,1.009597,24.09336,6.880306,-34.08309,1008.57
0.034677029,1.299902,1.997911,-0.5267274,-0.003862385,0.00188376,1.008644,24.09336,6.880306,-34.08309,1008.57
0.037154675,1.054968,1.695347,-0.5878899,-0.001433904,0.009227162,1.01977,24.09336,6.880306,-34.08309,1008.57
0.039631367,0.8100346,1.634835,-0.7102148,-0.003415269,0.01065795,1.011582,24.09336,6.880306,-34.08309,1008.57
0.042108059,0.5038673,1.574322,-0.8937021,-0.008740898,0.007225306,1.013042,24.09336,6.880306,-34.08309,1008.571
0.044585228,0.1976999,1.453297,-1.383002,-0.003418548,0.0106556,1.010617,24.09336,6.880306,-34.08309,1008.571
0.047061920,-0.04723396,1.392784,-1.321839,-0.005355113,0.01114067,1.014009,24.09336,6.880306,-34.08309,1008.571
0.049539089,-0.3534013,1.453297,-1.566489,-0.005322413,0.00529757,1.013979,24.09336,6.880306,-34.08309,1008.571
0.052015781,-0.5983351,1.816373,-2.116951,-0.007289486,0.01211616,1.018851,24.09336,6.880306,-34.08309,1008.571
0.054492950,-0.7208021,1.816373,-2.361601,-0.005376959,0.0121028,1.009187,24.09336,6.880306,-34.08309,1008.571
0.056969643,-0.7820356,1.392784,-2.483926,-0.004893355,0.01259224,1.009187,24.09336,6.880306,-34.08309,1008.571
0.059446335,-1.271903,1.513809,-2.667413,-0.005410814,0.01403409,1.00244,23.40747,7.231278,-34.53038,1008.571
0.061923504,-1.271903,1.634835,-2.973226,-0.004905941,0.0116055,1.003873,23.40747,7.231278,-34.53038,1008.571
0.064400196,-1.516837,1.513809,-3.095551,-0.001521311,0.01160906,0.998062,23.40747,7.231278,-34.53038,1008.571
0.066877365,-1.455604,1.271759,-3.401363,0.00676264,0.008730294,0.9980019,23.40747,7.231278,-34.53038,1008.571
0.069354057,-1.39437,0.7271442,-3.462525,0.004797692,0.01163943,0.9970622,23.40747,7.231278,-34.53038,1008.571
0.071831703,-1.333137,0.5456061,-3.462525,0.004774693,0.008689761,0.985463,23.40747,7.231278,-34.53038,1008.571
0.074308395,-1.39437,0.0615045,-3.401363,0.007199804,0.01016429,0.98594,23.40747,7.231278,-34.53038,1008.571
0.076784611,-1.271903,-0.6041352,-3.279038,0.01449747,0.009715119,0.9858977,23.40747,7.231278,-34.53038,1008.571
0.079262257,-0.965736,-1.027724,-2.973226,0.01935746,0.008271312,0.9824848,23.40747,7.231278,-34.53038,1008.571
0.081738949,-0.7208021,-1.3908,-2.912063,0.02277648,0.005366211,0.9819686,23.40747,7.231278,-34.53038,1008.573
0.084216118,-0.1084674,-1.753877,-2.728576,0.02569556,0.006359849,0.9838883,23.40747,7.231278,-34.53038,1008.573
0.086692810,0.1976999,-1.874902,-2.422764,0.02278798,0.006841046,0.9877682,23.40747,7.231278,-34.53038,1008.573
0.089169979,0.4426338,-1.995928,-2.055789,0.03154791,0.006401769,0.9886833,23.40747,7.231278,-34.53038,1008.573
0.091646671,0.6875677,-2.419516,-1.688814,0.04124286,0.01034047,0.9857545,23.40747,7.231278,-34.53038,1008.573
0.094123364,1.116202,-2.359004,-1.383002,0.03686049,0.01422493,0.9906251,23.40747,7.231278,-34.53038,1008.573
0.096600533,1.422369,-2.419516,-1.016027,0.04027191,0.01473651,0.9935052,23.40747,7.231278,-34.53038,1008.573
0.099077225,1.667303,-2.177466,-0.7713773,0.03836481,0.01230939,1.000743,23.40747,7.231278,-34.53038,1008.573
0.101554394,1.78977,-2.05644,-0.3432401,0.03983851,0.009394226,1.000238,23.40747,7.231278,-34.53038,1008.573
0.104031086,1.912237,-1.693364,-0.2820776,0.03544683,0.01229429,1.000759,23.40747,7.231278,-34.53038,1008.573
0.106508732,2.157171,-1.3908,-0.03742781,0.03834465,0.01620596,1.001246,23.40747,7.231278,-34.53038,1008.573
0.108985424,2.279638,-0.7856733,0.3907094,0.03935442,0.01281541,1.006533,23.7658,7.961436,-34.92474,1008.573
0.111461639,2.463338,-0.3015717,0.5130343,0.03353918,0.009377912,1.00703,23.7658,7.961436,-34.92474,1008.573
0.113939285,2.708272,0.1825299,0.5130343,0.0325638,0.009859802,1.007037,23.7658,7.961436,-34.92474,1008.573
0.116415978,2.830739,0.7876569,0.5741968,0.02915407,0.01228267,1.009482,23.7658,7.961436,-34.92474,1008.573
0.118893147,2.769506,1.271759,0.6965217,0.02819291,0.01375247,1.015287,23.7658,7.961436,-34.92474,1008.573
0.121369839,2.708272,1.513809,0.6353592,0.02719182,0.01323824,1.006119,23.7658,7.961436,-34.92474,1008.576
0.123846531,2.524572,1.816373,0.8188466,0.02621154,0.01518325,1.007099,23.7658,7.961436,-34.92474,1008.576
0.126323700,2.647039,2.179449,0.6965217,0.02039854,0.01516945,1.013889,23.7658,7.961436,-34.92474,1008.576
0.128800392,2.769506,2.4215,0.4518718,0.01307522,0.01755578,1.009597,23.7658,7.961436,-34.92474,1008.576
0.131277561,2.463338,2.542525,0.3907094,0.01112332,0.01607439,1.005256,23.7658,7.961436,-34.92474,1008.576
0.133754253,2.340871,2.663551,0.2683845,0.008227768,0.01705306,1.013482,23.7658,7.961436,-34.92474,1008.576
0.136231422,2.095937,2.482013,0.08489711,0.004305473,0.01945466,1.008207,23.7658,7.961436,-34.92474,1008.576
0.138708115,1.973471,2.360987,-0.09859026,0.006251344,0.01995399,1.009164,23.7658,7.961436,-34.92474,1008.576
0.141184807,1.544836,1.876886,-0.2209152,0.004809838,0.01947006,1.013513,23.7658,7.961436,-34.92474,1008.576
0.143661976,1.299902,1.634835,-0.465565,0.001866205,0.02139211,1.009195,23.7658,7.961436,-34.92474,1008.576
0.146138668,0.8712681,1.332271,-0.5267274,0.006280766,0.01410855,1.008168,23.7658,7.961436,-34.92474,1008.576
0.148616314,0.9325016,1.09022,-0.465565,0.006755064,0.0136136,1.003819,23.7658,7.961436,-34.92474,1008.576
0.151093006,0.5651007,0.6666315,-0.5878899,0.003363898,0.01507199,1.01012,23.7658,7.961436,-34.92474,1008.576
0.153570175,0.1364664,0.364068,-0.7713773,0.007731116,0.02095414,1.016884,23.7658,7.961436,-34.92474,1008.576
0.156046867,-0.1084674,0.0615045,-0.8937021,0.00626938,0.01996688,1.014473,23.7658,7.961436,-34.92474,1008.576
0.158523560,-0.4758682,-0.241059,-0.8325397,0.008227238,0.01803042,1.014935,23.77308,7.610377,-34.09489,1008.576
0.161000729,-0.6595686,-0.1805463,-0.9548646,0.01259386,0.02049004,1.01589,23.77308,7.610377,-34.09489,1008.576
0.163477421,-0.5371017,-0.1805463,-0.8937021,0.01208898,0.02291863,1.014457,23.77308,7.610377,-34.09489,1008.573
