Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.039647579,-2.529011,2.485276,22.70148
0.138767242,-2.299305,2.568376,22.85065
0.240365028,-2.313869,2.625226,23.16941
0.339484692,-2.349129,2.614407,23.06856
0.438604355,-2.292997,2.513947,22.86434
0.540202141,-2.425088,2.492546,23.10632
0.639321804,-2.40456,2.546767,23.00788
0.738441467,-2.158751,2.600621,22.70768
0.840039253,-2.048362,2.510549,22.86699
0.939158916,-1.918986,2.624212,23.0849
1.038278580,-1.994572,2.862731,23.08947
1.139876366,-1.952063,3.013334,23.01643
1.238996029,-1.908161,3.164068,23.04688
1.340593815,-1.914688,3.21642,22.97396
1.439713478,-1.841013,3.307555,22.9514
1.538833141,-1.95734,3.505457,23.06119
1.640430927,-1.950431,3.588748,23.2671
1.739550591,-1.946507,3.659936,23.40305
1.838670731,-1.903994,3.523317,23.53356
1.940268040,-1.807132,3.375033,23.51162
2.039387703,-1.737746,3.301964,23.58463
2.138507843,-1.620866,3.27127,23.54211
2.240105152,-1.496719,3.2943,23.48167
2.339225292,-1.394851,3.365688,23.49157
2.438344956,-1.383672,3.384106,23.47575
2.539942265,-1.403695,3.289131,23.54107
2.639062405,-1.258969,3.335377,23.68284
2.740659714,-1.198053,3.397681,23.67946
2.839780331,-1.245697,3.381451,23.7741
2.938899994,-1.227772,3.327314,23.78106
3.040497780,-1.277626,3.42875,23.81693
3.139617443,-1.348518,3.379699,23.78548
3.238737106,-1.327617,3.263725,23.96003
3.340334892,-1.284502,3.24751,24.10109
3.439454556,-1.271375,3.281121,24.18018
3.538574219,-1.208534,3.307071,24.29255
3.640172482,-1.317244,3.287199,24.28493
3.739292622,-1.504824,3.398255,24.25467
3.838412285,-1.459326,3.141864,24.10002
3.940010071,-1.423932,3.079363,24.09031
4.039129734,-1.230468,3.187187,24.06824
4.138249397,-1.073088,3.025795,24.04086
4.239847660,-1.035763,2.993635,23.81872
4.338967323,-1.004071,2.993382,23.56749
4.440565109,-0.8517126,2.826894,23.45173
4.539684773,-0.9512063,2.945439,23.64426
4.638804436,-1.190652,3.070136,23.66137
4.740402699,-1.089516,3.079845,23.64791
4.839522839,-0.9817822,2.935671,23.963
4.938642502,-0.9223287,2.71312,24.24155
5.040240288,-0.928717,2.860821,24.3091
5.139359951,-0.8387964,3.322369,24.48886
5.238479614,-0.5863603,3.577711,24.72229
5.340077877,-0.5768342,3.706117,25.05207
5.439197540,-0.7006404,3.468757,25.29068
5.538317204,-0.7288395,3.375077,25.47279
5.639914990,-0.5669706,3.364042,25.60149
5.739035607,-0.5665559,3.276811,25.58041
5.840632916,-0.3835196,3.447865,25.67295
5.939753056,-0.1830306,3.429113,25.76186
6.038872719,0.237124,3.698657,25.79852
6.140470505,0.4131741,4.14827,25.31652
6.239590645,0.3887807,5.255343,25.28255
6.338710308,0.2277459,5.144595,25.56724
6.440308094,0.8578912,4.613747,26.32747
6.539427757,0.7043101,4.200544,27.03396
6.638547421,0.7579079,4.448217,27.80332
6.740146160,0.8147298,4.738626,28.40376
6.839265824,0.9278492,5.021696,28.19838
6.938385487,1.183371,5.031665,27.1614
7.039983273,2.107061,3.802452,26.68198
7.139103413,2.120419,3.684819,26.07781
7.238223076,1.817592,3.860576,25.92576
7.339820862,1.485284,3.812478,25.62008
7.438940525,1.593509,3.975014,25.24335
7.540538788,1.77495,3.949589,24.59617
7.639658928,1.794792,3.462464,24.7101
7.738778591,1.529639,2.397503,25.08756
7.840376377,0.7499726,2.796593,26.00059
7.939496517,0.8659365,3.218193,26.02345
8.038616180,0.1693875,3.965739,25.77162
8.140213966,0.3551827,4.163104,25.1628
8.239333630,0.8810016,3.26617,24.54014
8.338453293,0.9516457,2.124798,23.78122
8.440051556,1.107876,2.120343,22.55707
8.539171696,0.6461379,2.467108,21.56739
8.638291359,0.9232983,2.41993,21.33114
8.739889145,1.32128,2.205329,21.18886
8.839009285,1.591105,1.400497,21.41168
8.940607071,1.690434,0.1431077,22.03776
9.039726734,1.502398,1.14962,22.82231
9.138846397,1.225851,1.54328,22.29461
9.240444660,1.435766,2.013708,22.73335
9.339564800,1.295282,1.345759,22.07783
9.438684464,0.9271048,0.7001171,22.28859
9.540281773,0.3857499,0.5745406,22.46274
9.639402390,-0.1708164,0.7974007,21.83853
9.738522053,0.9695876,0.8804738,21.63264
9.840119839,1.319448,0.9098945,21.25804
9.939239502,1.39743,0.8702019,21.28109
10.038360119,1.582797,0.9358438,21.71232
10.139957428,1.724036,0.4555201,22.34429
10.239077568,0.8373983,0.467899,23.3618
10.338197231,1.116986,1.232539,24.42131
10.439795494,1.349358,1.563689,24.63818
10.538915157,1.852792,0.6571452,24.95542
10.640512943,2.167909,-0.5659804,25.69271
10.739632607,1.856302,-0.4987065,25.14526
10.838753224,1.812874,-0.02512979,24.39286
10.940350533,2.266204,0.4070098,23.72531
11.039470196,2.65822,0.2786503,23.8614
11.138590336,2.540256,0.5409984,24.77404
11.240188599,2.397697,0.4011438,25.9586
11.339308262,2.153337,0.7433494,26.83221
11.438427925,2.72525,2.157723,27.51706
11.540025711,2.622198,2.639928,27.71286
11.639145851,2.725305,3.058285,27.75532
11.738265991,2.777185,2.355026,27.55974
11.839863301,3.566578,1.881178,27.19875
11.938983917,2.631194,2.145117,26.90161
12.040581703,3.038275,3.08504,27.00302
12.139701366,3.401172,3.312072,26.5478
12.238821030,2.983443,2.731606,26.31351
12.340419293,2.916367,2.606491,26.66461
12.439538956,3.087887,1.710801,27.09352
12.538658619,1.149705,3.043132,27.97667
12.640256405,1.03907,3.747169,28.64473
12.739377022,1.153998,3.677053,29.13148
12.838496685,1.222371,3.086689,28.67015
12.940094471,1.52407,2.121025,27.90778
13.039214134,1.654397,2.252086,27.63754
13.138334274,1.9122,1.600431,27.02603
13.239932060,2.32355,2.194813,27.62956
13.339051724,2.41083,1.828462,27.70506
13.438171864,2.498481,1.459441,27.93466
13.539770126,2.273633,1.204434,28.88354
13.638889790,1.157901,1.387265,29.97772
13.740487576,0.5822998,2.215367,30.74719
13.839607239,0.9632051,2.178001,30.93372
13.938727379,1.141554,1.931637,31.07281
14.040325165,2.126172,0.8711386,30.80933
14.139444828,2.112902,1.134933,31.42774
14.238564491,2.665781,1.893188,31.47485
14.340163231,2.637608,1.827804,31.1072
14.439282894,2.657788,1.951303,31.09505
14.538402557,2.545402,1.823136,31.28255
14.640000820,2.46139,0.8601078,31.50788
14.739120484,1.417328,0.8122843,32.28529
14.838241101,1.33959,1.488605,32.5033
14.939837933,1.487787,1.770603,32.42989
15.038958550,1.543502,1.705996,32.27686
15.140556335,1.862105,1.137069,31.78184
15.239675999,1.297811,0.4735926,30.74435
15.338795662,2.768027,2.022144,30.05085
15.440393925,2.288922,1.612715,28.91359
15.539513588,3.112895,1.923286,29.10246
15.638633251,2.819571,1.577355,29.18794
15.740231037,2.378597,1.161876,29.29444
15.839351654,1.920035,0.4377453,30.01882
15.938471317,2.017903,1.54606,30.81534
16.040069103,2.064643,1.187297,30.68962
16.139188767,2.009567,1.134848,30.86853
16.238308907,1.907334,0.7828541,30.27489
16.339906693,2.079993,0.7215418,29.85852
16.439026356,2.974621,1.546325,29.63834
16.538146019,2.620939,1.778369,29.5324
16.639744759,2.73425,1.611227,29.67554
