Time (s),Altitude (m)
0.138767242,78.53026
1.139876366,78.4606
2.138507843,78.31657
3.139617443,78.41923
4.140727520,78.50512
5.139359951,78.46532
6.140470505,78.49883
7.139103413,78.54387
8.140213966,78.41975
9.138846397,78.49464
10.139957428,78.51402
11.138590336,78.45536
12.139701366,78.52083
13.138334274,78.47527
14.139444828,78.42603
15.140556335,78.47055
16.139188767,78.55016
17.140299797,78.55016
18.138933182,78.54544
19.140043259,78.41084
20.138676643,78.381
21.139787674,78.45536
22.138420105,78.44541
23.139531612,78.52083
24.140642643,78.48993
25.139275074,78.56587
26.140386105,78.51559
27.139019489,78.47055
28.140130520,78.43389
29.138763905,78.50826
30.139874935,78.53026
31.138508320,78.65334
32.139619827,78.61981
33.138253212,78.7387
34.139365196,78.83507
35.140476704,78.77798
36.139110565,78.65491
37.140223026,78.52606
38.138856888,78.41975
39.139969349,78.5952
40.138604164,78.53445
41.139717102,78.46532
42.138352394,78.47945
43.139465332,78.53026
44.138100624,78.51402
45.139214516,78.54544
46.140328884,78.5004
47.138964653,78.53183
48.140079975,78.4517
49.138717175,78.47631
50.139832497,78.45536
51.138470173,78.54964
