Time (s),Data
0.720072746,$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A\r\n
0.750426293,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
0.805094719,$GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
0.840883732,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
1.720880509,$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42\r\n
1.752522946,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
1.803337574,$GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B\r\n
1.841106892,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
2.728802204,$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43\r\n
2.752997399,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
2.803364277,$GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A\r\n
2.841255188,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
3.727908611,$GPGGA,235946.799,,,,,0,0,,,M,,M,,*40\r\n
3.750805855,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
3.769977570,$GPGSV,1,1,00*79\r\n
3.821300984,$GPRMC,235946.799,V,,,,,0.00,0.00,050180,,,N*49\r\n
3.862727642,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
4.719039917,$GPGGA,235947.799,,,,,0,0,,,M,,M,,*41\r\n
4.750520230,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
4.803590298,$GPRMC,235947.799,V,,,,,0.00,0.00,050180,,,N*48\r\n
4.840822220,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
5.722476483,$GPGGA,235948.799,,,,,0,0,,,M,,M,,*4E\r\n
5.750436783,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
5.802078247,$GPRMC,235948.799,V,,,,,0.00,0.00,050180,,,N*47\r\n
5.842500687,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
6.720599175,$GPGGA,235949.799,,,,,0,0,,,M,,M,,*4F\r\n
6.750384808,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
6.802220822,$GPRMC,235949.799,V,,,,,0.00,0.00,050180,,,N*46\r\n
6.842961312,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
7.719047547,$GPGGA,235950.800,,,,,0,0,,,M,,M,,*48\r\n
7.750700474,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
7.801998615,$GPRMC,235950.800,V,,,,,0.00,0.00,050180,,,N*41\r\n
7.842400551,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
8.719314099,$GPGGA,235951.800,,,,,0,0,,,M,,M,,*49\r\n
8.750787258,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
8.772797585,$GPGSV,1,1,00*79\r\n
8.823290825,$GPRMC,235951.800,V,,,,,0.00,0.00,050180,,,N*40\r\n
8.860194683,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
9.718832970,$GPGGA,235952.800,,,,,0,0,,,M,,M,,*4A\r\n
9.750479698,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
9.802105904,$GPRMC,235952.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
9.848997116,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
10.719219208,$GPGGA,235953.800,,,,,0,0,,,M,,M,,*4B\r\n
10.750414849,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
10.802617550,$GPRMC,235953.800,V,,,,,0.00,0.00,050180,,,N*42\r\n
10.874675751,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
11.722346783,$GPGGA,235954.800,,,,,0,0,,,M,,M,,*4C\r\n
11.750723839,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
11.802315235,$GPRMC,235954.800,V,,,,,0.00,0.00,050180,,,N*45\r\n
11.841311455,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
12.720757485,$GPGGA,235955.800,,,,,0,0,,,M,,M,,*4D\r\n
12.752358914,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
12.803039074,$GPRMC,235955.800,V,,,,,0.00,0.00,050180,,,N*44\r\n
12.841021061,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
13.722846508,$GPGGA,235956.800,,,,,0,0,,,M,,M,,*4E\r\n
13.751341343,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
13.770358086,$GPGSV,1,1,00*79\r\n
13.821289063,$GPRMC,235956.800,V,,,,,0.00,0.00,050180,,,N*47\r\n
13.873446942,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
14.720475197,$GPGGA,235957.800,,,,,0,0,,,M,,M,,*4F\r\n
14.750415802,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
14.802112103,$GPRMC,235957.800,V,,,,,0.00,0.00,050180,,,N*46\r\n
14.843193054,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
15.724456787,$GPGGA,235958.800,,,,,0,0,,,M,,M,,*40\r\n
15.750642300,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
15.804810047,$GPRMC,235958.800,V,,,,,0.00,0.00,050180,,,N*49\r\n
15.840980530,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
16.722360611,$GPGGA,235959.800,,,,,0,0,,,M,,M,,*41\r\n
16.750537872,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
16.802412510,$GPRMC,235959.800,V,,,,,0.00,0.00,050180,,,N*48\r\n
16.842041493,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
17.722070694,$GPGGA,000000.800,,,,,0,0,,,M,,M,,*40\r\n
17.750620842,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
17.805061817,$GPRMC,000000.800,V,,,,,0.00,0.00,060180,,,N*4A\r\n
17.840970516,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
18.720264435,$GPGGA,000001.800,,,,,0,0,,,M,,M,,*41\r\n
18.755543232,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
18.772328377,$GPGSV,1,1,00*79\r\n
18.820393563,$GPRMC,000001.800,V,,,,,0.00,0.00,060180,,,N*4B\r\n
18.859254360,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
19.717946053,$GPGGA,000002.800,,,,,0,0,,,M,,M,,*42\r\n
19.749515057,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
19.802302838,$GPRMC,000002.800,V,,,,,0.00,0.00,060180,,,N*48\r\n
19.840631008,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
20.719717503,$GPGGA,000003.800,,,,,0,0,,,M,,M,,*43\r\n
20.749718189,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
20.802407742,$GPRMC,000003.800,V,,,,,0.00,0.00,060180,,,N*49\r\n
20.840487480,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
