Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.639293671,99.97266,800.0625,4.100625,276.25,0
1.518401623,99.96094,655.96875,4.1,288.125,0
2.572894573,99.94922,549.375,4.096875,266.875,0
3.627707004,99.94922,473.34375,4.101875,279.0625,0
4.506600857,99.9375,426.375,4.101875,287.8125,0
5.561352253,99.92578,389.71875,4.103125,249.6875,0
6.616287231,99.92578,359.625,4.10375,255.3125,0
7.495597839,99.91406,341.8125,4.1025,262.1875,0
8.549955368,99.90234,321.84375,4.1025,302.1875,0
9.605089188,99.90234,307.6875,4.103125,266.875,0
10.484905720,99.88672,298.125,4.099375,251.875,0
11.538526058,99.875,287.8125,4.100625,267.1875,0
12.593603134,99.875,275.4375,4.101875,265.3125,0
13.648430347,99.86328,267.75,4.095,281.5625,0
14.527071953,99.85156,258.9375,4.09625,347.1875,0
15.581949711,99.83984,240.5625,4.063125,476.875,0
16.638399601,99.82813,219.84375,4.058125,428.75,0
17.515655041,99.81641,204.28125,4.061875,433.4375,0
18.570519924,99.80469,189.84375,4.05875,464.0625,0
19.625406265,99.78906,184.3125,4.09,246.875,0
20.504736423,99.77734,186,4.093125,264.0625,0
21.559067726,99.77734,188.25,4.094375,261.875,0
22.613918304,99.76563,188.4375,4.090625,295,0
23.493026733,99.75391,189.65625,4.095625,255,0
24.547586918,99.75391,192,4.0975,245.9375,0
25.602434635,99.74219,193.78125,4.0925,257.5,0
26.481366157,99.73047,193.96875,4.099375,239.6875,0
27.537074089,99.73047,195.75,4.091875,256.5625,0
28.592316151,99.71875,196.125,4.08625,295.625,0
29.645838261,99.70703,197.90625,4.089375,249.6875,0
30.524721146,99.70703,198,4.095,265.9375,0
31.579879761,99.69141,199.96875,4.094375,247.8125,0
32.634367943,99.67969,199.3125,4.095625,263.75,0
33.513349056,99.67969,200.71875,4.093125,237.1875,0
34.569280624,99.66797,201.9375,4.095625,275,0
35.623023033,99.65625,202.875,4.095,300.625,0
36.501914978,99.65625,204.1875,4.09625,243.75,0
37.557033539,99.64453,205.3125,4.095625,261.875,0
38.612267971,99.63281,205.59375,4.091875,249.6875,0
39.490924835,99.63281,197.15625,4.0675,451.875,0
40.545410156,99.60938,185.71875,4.05875,515.3125,0
41.600142002,99.59375,177.1875,4.0525,426.875,0
42.479005813,99.58203,169.59375,4.054375,500.3125,0
43.534017563,99.57031,167.71875,4.088125,272.8125,0
44.589400291,99.57031,171.28125,4.093125,262.8125,0
45.644240379,99.55859,174.1875,4.0875,240.3125,0
46.522486687,99.54688,177.09375,4.09375,261.25,0
47.577168465,99.54688,180.09375,4.0925,280.9375,0
48.632148743,99.53516,182.8125,4.09,247.1875,0
49.511198044,99.52344,185.4375,4.09125,307.8125,0
50.565848350,99.52344,186.5625,4.09125,258.75,0
51.620635986,99.51172,188.15625,4.090625,240,0
52.499636650,99.49609,189.28125,4.089375,248.4375,0
53.554287910,99.49609,190.5,4.085,275.9375,0
54.609158516,99.48438,192,4.08875,283.75,0
55.488147259,99.47266,193.03125,4.091875,266.5625,0
56.543130875,99.47266,194.625,4.091875,288.75,0
57.597800255,99.46094,194.625,4.09125,283.125,0
