Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.106506825,0.9922115,-0.02644975,0.0371516,0.02536164,0.9924998,0.02936431,-0.03790274,-0.02838814,0.9921297
0.108983994,0.9922161,-0.02643957,0.03702885,0.02535054,0.9924965,0.02948077,-0.03778276,-0.02850816,0.9921306
0.111460686,0.9922208,-0.02644216,0.03690112,0.02535344,0.9924939,0.02956948,-0.03765745,-0.02860005,0.9921328
0.113938332,0.9922253,-0.02644511,0.03677486,0.02535699,0.9924914,0.02964965,-0.03753341,-0.02868336,0.9921351
0.116415024,0.9922305,-0.02644806,0.03664704,0.02536054,0.9924892,0.02973163,-0.03740787,-0.02876851,0.9921378
0.118891239,0.9922355,-0.02645606,0.03649105,0.02537003,0.9924861,0.0298125,-0.03725428,-0.02885309,0.9921407
0.121368885,0.9922425,-0.02645897,0.03630994,0.02537462,0.9924836,0.02990841,-0.03707583,-0.02895353,0.9921448
0.123845577,0.9922494,-0.02646462,0.03610585,0.02538315,0.9924805,0.02999112,-0.03687417,-0.02904127,0.9921494
0.126322746,0.9922572,-0.02647534,0.03588355,0.02539608,0.9924767,0.03010727,-0.03665531,-0.02916273,0.992154
0.128799439,0.992265,-0.02649192,0.03565307,0.02541461,0.9924722,0.0302385,-0.03642884,-0.02929928,0.9921583
0.131276131,0.9922735,-0.02651888,0.03539904,0.02544348,0.992467,0.03039187,-0.03617972,-0.0294582,0.9921628
0.133753300,0.9922815,-0.0265672,0.03514013,0.02549374,0.9924609,0.03055096,-0.03592651,-0.02962221,0.9921672
0.136229992,0.9922892,-0.0266291,0.03486765,0.02555785,0.9924539,0.03071593,-0.03566032,-0.029792,0.9921715
0.138707161,0.9922972,-0.0267089,0.0345764,0.02564019,0.9924464,0.03089028,-0.03537617,-0.02997104,0.9921762
0.141183853,0.9923041,-0.02681528,0.03428808,0.02574976,0.9924386,0.03104649,-0.03509533,-0.03013097,0.9921812
0.143660545,0.9923108,-0.02692745,0.03401036,0.02586481,0.9924308,0.03120483,-0.03482534,-0.03029261,0.9921859
0.146137714,0.9923163,-0.02705359,0.03375186,0.02599265,0.992422,0.03138277,-0.03457552,-0.03047293,0.9921892
0.148614407,0.9923202,-0.02718828,0.0335316,0.0261285,0.9924135,0.03154511,-0.03436383,-0.03063641,0.9921917
0.153568268,0.9923263,-0.02744557,0.03313026,0.02638742,0.9923964,0.03185976,-0.03397907,-0.03095288,0.9921948
0.156045914,0.9923276,-0.02757591,0.03298141,0.02651767,0.9923884,0.03199872,-0.0338381,-0.03109139,0.9921952
0.158522606,0.9923294,-0.027692,0.03284154,0.02663471,0.9923823,0.03210008,-0.03370469,-0.03119256,0.992197
0.160998821,0.9923304,-0.02778913,0.03271559,0.02673314,0.9923768,0.03217875,-0.03358399,-0.03127134,0.9921982
0.163476467,0.9923322,-0.02787544,0.03260238,0.02682143,0.9923733,0.03222571,-0.03347487,-0.03131844,0.9922009
0.165953159,0.9923326,-0.0279432,0.03251883,0.0268906,0.9923699,0.03226202,-0.0333945,-0.03135474,0.992202
0.168430328,0.9923342,-0.02798348,0.03244468,0.02693273,0.9923687,0.03227643,-0.03332207,-0.03136981,0.9922044
0.170907021,0.9923356,-0.02800234,0.03238358,0.02695333,0.9923679,0.03228204,-0.03326176,-0.03137645,0.9922061
0.173383713,0.9923378,-0.0279968,0.03232655,0.02694965,0.9923682,0.03228022,-0.03320457,-0.03137635,0.9922081
0.175860882,0.9923392,-0.02797493,0.032286,0.02692957,0.9923687,0.03226487,-0.03316294,-0.03136282,0.9922094
0.178337574,0.9923412,-0.0279424,0.03226796,0.02689786,0.9923702,0.03225757,-0.0331437,-0.03135709,0.9922107
0.180814743,0.9923438,-0.02789776,0.03222487,0.02685532,0.9923722,0.03223491,-0.03309863,-0.03133707,0.9922128
0.183291435,0.9923458,-0.0278482,0.03220871,0.02680701,0.9923742,0.03221231,-0.03308031,-0.03131655,0.9922141
0.185768127,0.9923476,-0.02780361,0.03218662,0.02676395,0.992376,0.03218754,-0.03305617,-0.03129385,0.9922155
0.188245297,0.9923499,-0.02776158,0.0321539,0.02672334,0.9923776,0.03217558,-0.03302184,-0.03128417,0.992217
0.190721989,0.9923523,-0.02771462,0.03210773,0.02667807,0.9923787,0.03216819,-0.03297404,-0.03127958,0.9922184
0.193199635,0.9923549,-0.02767883,0.03205808,0.02664341,0.9923792,0.0321813,-0.03292365,-0.0312952,0.9922196
0.195675850,0.9923583,-0.02764884,0.03197978,0.02661538,0.9923795,0.0321965,-0.03284489,-0.03131349,0.9922217
0.198152542,0.9923619,-0.02762788,0.03188339,0.02659525,0.9923778,0.03226338,-0.03274971,-0.03138364,0.9922225
0.200630188,0.9923655,-0.02762099,0.03178091,0.02658898,0.9923754,0.03234293,-0.03264922,-0.03146617,0.9922233
0.203106880,0.9923699,-0.02761655,0.03165689,0.02658639,0.9923739,0.03240639,-0.03252686,-0.0315331,0.9922256
0.205584049,0.9923738,-0.02761787,0.03151718,0.02658973,0.9923708,0.03248021,-0.03238929,-0.03161061,0.9922271
0.208060741,0.9923787,-0.02760896,0.0313864,0.02658232,0.9923688,0.03256198,-0.03226052,-0.03169618,0.992229
0.210537911,0.9923831,-0.02760755,0.03124369,0.02658317,0.9923664,0.03263291,-0.03211978,-0.03177097,0.9922311
0.213014603,0.992387,-0.02760286,0.03111576,0.02658044,0.9923641,0.03269874,-0.03199356,-0.03184038,0.9922327
0.215491295,0.9923905,-0.02758714,0.03101191,0.02656655,0.9923627,0.03274545,-0.03189055,-0.03189037,0.9922342
0.217968464,0.9923935,-0.02756273,0.03093338,0.02654396,0.9923625,0.03276725,-0.03181189,-0.03191505,0.9922358
0.220445156,0.9923961,-0.02751946,0.03088565,0.02650226,0.9923636,0.03276598,-0.03176278,-0.03191644,0.9922373
0.222922325,0.9923993,-0.02745938,0.03084826,0.02644403,0.9923662,0.03274546,-0.03172296,-0.03189882,0.9922395
0.225399017,0.9924017,-0.02739086,0.0308257,0.02637693,0.9923686,0.03272372,-0.03169763,-0.03187986,0.9922408
0.227875710,0.9924039,-0.0273142,0.03082966,0.02630141,0.992372,0.03268423,-0.0316981,-0.0318427,0.992242
0.230352879,0.9924058,-0.02723444,0.03083942,0.02622271,0.9923756,0.03264108,-0.03170416,-0.03180182,0.9922432
0.232829571,0.992408,-0.02715417,0.03083139,0.02614459,0.9923793,0.03258172,-0.03169202,-0.03174523,0.9922452
0.235307217,0.9924106,-0.02707696,0.03081799,0.02606905,0.9923826,0.03254257,-0.03167514,-0.03170887,0.992247
0.237783432,0.992413,-0.02700561,0.03080246,0.02599887,0.9923852,0.03252167,-0.03165681,-0.03169065,0.9922482
0.240260124,0.9924158,-0.02694525,0.03076949,0.02593952,0.9923868,0.03252283,-0.03162197,-0.03169459,0.9922492
0.242737770,0.9924186,-0.02690114,0.03071699,0.02589667,0.9923875,0.03253568,-0.03156845,-0.0317102,0.9922504
0.245214462,0.9924218,-0.02685995,0.03065013,0.02585641,0.9923873,0.03257405,-0.03150133,-0.03175161,0.9922513
0.247691631,0.9924257,-0.02682703,0.03055317,0.02582465,0.9923862,0.03263534,-0.03140499,-0.03181648,0.9922523
0.250168324,0.9924292,-0.02680545,0.03045048,0.02580396,0.992384,0.03271136,-0.03130367,-0.03189585,0.9922527
0.252645493,0.992433,-0.02680039,0.03033384,0.02579969,0.9923811,0.0328051,-0.03118939,-0.03199278,0.9922533
0.255122185,0.9924371,-0.02679847,0.03020248,0.02579864,0.9923776,0.03291266,-0.03106087,-0.03210382,0.9922537
0.257598877,0.9924413,-0.02681019,0.03005549,0.02581112,0.9923731,0.03304081,-0.03091771,-0.03223543,0.9922541
0.260076046,0.9924451,-0.02682201,0.02991481,0.02582381,0.9923686,0.03316014,-0.03078062,-0.03235806,0.9922541
0.262552738,0.992449,-0.02683057,0.02977235,0.02583422,0.9923653,0.03325024,-0.03064091,-0.0324516,0.9922553
0.265029907,0.9924536,-0.02683592,0.02962811,0.02584206,0.9923632,0.03332258,-0.03049884,-0.03252752,0.9922577
0.267506599,0.9924578,-0.02683827,0.02948522,0.025847,0.9923608,0.03339063,-0.03035793,-0.03259921,0.9922597
0.269983292,0.9924616,-0.02682688,0.02936849,0.02583801,0.9923594,0.03343754,-0.03024214,-0.0326495,0.9922615
0.272460461,0.9924647,-0.02680708,0.02927917,0.02582053,0.9923592,0.03345788,-0.03015278,-0.03267277,0.9922634
0.274937153,0.9924672,-0.02677387,0.02920946,0.02578973,0.9923596,0.03345376,-0.03008193,-0.03267145,0.9922652
0.277414799,0.9924706,-0.02673231,0.02915124,0.02575036,0.9923615,0.03344466,-0.03002216,-0.03266511,0.9922677
0.279891014,0.9924737,-0.0266853,0.02908745,0.0257057,0.9923629,0.03343631,-0.02995667,-0.03265983,0.9922699
0.282367706,0.9924763,-0.02663062,0.02903104,0.02565295,0.9923639,0.03343362,-0.02989845,-0.03266023,0.9922712
0.284845352,0.9924793,-0.02657419,0.02897687,0.02559742,0.9923642,0.03346303,-0.02984322,-0.03269274,0.9922716
0.287322044,0.9924831,-0.02652081,0.02891122,0.02554429,0.992364,0.03352726,-0.02977753,-0.03276026,0.9922719
0.289799213,0.9924859,-0.0264786,0.02884055,0.02550204,0.9923619,0.03360663,-0.02970757,-0.03284271,0.9922708
0.292275906,0.9924891,-0.02643391,0.02877311,0.02545695,0.9923602,0.0336953,-0.02964098,-0.03293444,0.9922699
0.294753075,0.9924923,-0.02639956,0.02870951,0.02542217,0.9923586,0.03378037,-0.02957847,-0.03302217,0.9922692
0.297229767,0.9924941,-0.02637293,0.02865331,0.02539518,0.9923562,0.03385547,-0.02952335,-0.0330995,0.9922678
0.299706459,0.9924961,-0.02635641,0.02860913,0.02537853,0.9923552,0.03390938,-0.02948004,-0.03315502,0.9922676
0.302183628,0.9924975,-0.0263469,0.02857348,0.02536906,0.9923542,0.03394841,-0.0294451,-0.03319525,0.9922674
0.304660320,0.992498,-0.02633192,0.02855395,0.02535405,0.9923533,0.03397157,-0.02942567,-0.03321935,0.9922667
