Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.047061443,-1.52018,2.178576,1.514943
0.148614407,-1.768589,1.96929,1.50829
0.247691631,-1.836554,1.799669,1.4906
0.346767902,-1.955807,1.67859,1.432932
0.448321819,-1.984593,1.589594,-0.0910157
0.547398567,-2.087865,1.5055,-0.1725018
0.646475315,-2.137318,1.397245,-0.1960389
0.748028755,-2.208808,1.295862,-0.2266861
0.847105980,-2.307981,1.333485,-0.2611575
0.948659420,-2.343282,1.373755,-0.2912636
1.047736645,-2.350489,1.327471,-0.3003645
1.146812916,-2.353599,1.265509,-0.2778241
1.248366833,-2.364777,1.229044,-0.5194771
1.347443581,-2.425938,1.124916,-0.4952657
1.446520805,-2.450214,1.05784,-0.5061241
1.548074722,-2.443305,0.9609849,-0.5025935
1.647151470,-2.519532,0.8989425,-0.4671487
1.746228695,-2.619886,0.8702551,-0.6760139
1.847783089,-2.628781,0.9466615,-0.9163122
1.946860313,-2.688143,0.8346834,-0.8274358
2.048413754,-2.700397,0.8591414,-0.8490707
2.147490978,-2.608389,1.052242,-0.8472689
2.246567726,-2.617611,0.9631057,-0.7884539
2.348122120,-2.580882,0.9409169,-0.7994369
2.447199345,-2.417114,0.8966741,-0.8415499
2.546276569,-2.079364,0.911804,-0.9663798
2.647830963,-1.862318,0.9179566,-1.047194
2.746907711,-1.70503,0.9623152,-1.002751
2.848462105,-1.690735,0.9174779,-1.096109
2.947539330,-1.705236,0.8983839,-1.091782
3.046616077,-1.692104,1.003779,-1.219151
3.148170471,-1.70104,1.085547,-1.397416
3.247247696,-1.685341,1.103495,-1.417122
3.346325398,-1.687021,1.094561,-1.502795
3.447879791,-1.720139,1.145738,-1.557542
3.546957016,-1.762042,1.105955,-1.572253
3.648511410,-1.7301,1.203153,-1.639917
3.747589111,-1.766897,1.164775,-1.793588
3.846665859,-1.796782,1.120388,-1.752058
3.948221207,-1.813593,1.103591,-1.764396
4.047297955,-1.867624,1.028687,-1.73166
4.146375179,-1.840747,1.039081,-1.724581
4.247929573,-1.821518,1.081059,-1.828621
4.347007275,-1.905472,1.204895,-1.974927
4.448561668,-1.949729,1.183834,-1.988789
4.547639370,-1.960729,1.107513,-2.024632
4.646717071,-1.897915,1.200063,-2.085695
4.748271465,-1.86758,1.175629,-2.075635
4.847349167,-1.966341,1.20279,-2.06277
4.946426868,-2.000044,1.453368,-2.049505
5.047981262,-1.871597,1.386236,-2.122751
5.147058964,-1.797763,1.441711,-2.184022
5.248613358,-1.655361,1.453857,-2.447964
5.347691059,-1.72268,1.309462,-2.359563
5.446768761,-1.735624,1.293331,-2.2872
5.548323631,-1.649531,1.226036,-2.386554
5.647401810,-1.64999,1.220896,-2.329541
5.746479511,-1.630425,1.192417,-2.333462
5.848033905,-1.695663,1.139708,-2.330318
5.947111607,-1.610432,1.156533,-2.388281
6.046189308,-1.515127,1.224315,-2.518402
6.147744179,-1.65264,1.141325,-2.355609
6.246821880,-1.468059,1.326754,-2.456273
6.350853443,-1.497173,1.178486,-2.418696
6.447454452,-1.44737,1.204936,-2.519415
6.546532154,-1.382805,1.331531,-2.559064
6.648087501,-1.268079,1.394426,-2.595521
6.747165203,-1.129748,1.3868,-2.75348
6.846243381,-1.148471,1.380926,-2.696958
6.947798729,-1.32221,1.337784,-2.692877
7.046876431,-1.351368,1.422728,-2.721719
7.148431301,-1.296756,1.445796,-2.808188
7.247509003,-1.25478,1.474445,-2.935257
7.346587658,-1.233407,1.538327,-2.943863
7.448142528,-1.322732,1.520046,-2.925052
7.547220230,-1.25591,1.624473,-2.978568
7.646298408,-1.24485,1.587379,-2.910333
7.747853756,-1.2064,1.574905,-2.919954
7.846931457,-1.139898,1.56447,-2.930452
7.948486328,-1.175604,1.464471,-2.952924
8.047564983,-1.203111,1.433892,-3.002799
8.146643162,-1.192088,1.583242,-2.998441
8.248198032,-1.198562,1.53919,-3.019556
8.347275734,-1.255309,1.400061,-2.996347
8.446354389,-1.284813,1.354789,-2.990556
8.547909260,-1.245733,1.318259,-2.939633
8.646987915,-1.268991,1.266744,-2.905849
8.748542786,-1.250449,1.274696,-2.91258
8.847620964,-1.309713,1.214946,-2.89642
8.946699619,-1.334794,1.18466,-2.844372
9.048255444,-1.461455,1.031485,-2.803468
9.147333145,-1.635083,1.155233,-2.790064
9.246411324,-1.713977,1.027916,-2.719689
9.347967148,-1.892972,0.8913646,-2.551233
9.447045326,-2.291597,0.8279552,-2.340326
9.546123981,-2.763041,0.8374344,-2.026253
9.647678852,-3.666007,0.6027728,-1.756178
9.746757507,-4.447588,0.4970424,-1.42751
9.850789547,-5.248029,0.4261972,-0.9043812
9.947391510,-5.980699,0.3409311,-0.367323
10.046469688,-6.56299,0.4446441,0.1340512
10.148025513,-7.557996,0.06656376,0.6693761
10.247103691,-8.634081,-0.2649898,1.121038
10.346182346,-9.508222,-0.5725089,1.473207
10.447738170,-10.02797,-0.7020485,1.940137
10.546816349,-10.81564,-0.8199859,2.648575
10.648372173,-11.99873,-1.12061,3.277127
10.747450352,-12.33886,-1.034436,3.721014
10.846529007,-13.10844,-1.175588,4.161904
10.948084354,-14.65893,-1.439785,4.402336
11.047163010,-16.2426,-1.655088,4.916667
11.146242142,-17.40253,-1.784406,5.731977
11.247797489,-17.72324,-1.577852,6.645383
11.346876144,-18.8075,-1.878553,7.813498
11.448431969,-20.01745,-2.037561,8.520642
11.547511101,-20.92261,-2.274299,9.383995
11.646589279,-22.23381,-2.385429,10.08341
11.748145103,-23.56744,-2.562945,11.06528
11.847224235,-24.5288,-3.018268,12.12013
11.946302414,-25.93673,-3.672638,13.37766
12.047858238,-27.41369,-4.098927,14.97495
12.146937370,-28.74197,-4.525903,16.50216
12.248492718,-30.92401,-5.112929,18.19848
12.347571850,-32.82927,-5.951221,20.5167
12.446650505,-32.97719,-6.314581,21.92566
12.548206806,-34.19764,-6.839125,23.32654
12.647284985,-35.31108,-7.574354,25.08143
12.746364117,-36.80232,-8.62294,27.30579
12.847919941,-38.44686,-9.358154,29.93662
12.946999073,-38.9856,-9.128531,31.49936
13.048555374,-39.47325,-8.491632,32.42505
13.147633553,-40.25335,-8.45334,33.59336
13.246713162,-40.74749,-8.518687,34.6316
13.348268986,-41.15065,-8.940784,35.93393
13.447348118,-41.79875,-8.870616,36.82674
13.546427250,-43.34949,-8.990259,38.37255
13.647983074,-44.73277,-8.929518,39.77852
13.747062206,-45.62661,-8.967096,40.88943
13.846140861,-46.35857,-8.897063,42.46702
13.947697163,-46.59693,-9.146032,44.56027
14.046776295,-47.56704,-9.04843,46.20896
14.148332119,-48.22885,-9.008081,47.08471
14.247411728,-49.36612,-8.877274,48.37981
14.346490860,-50.62759,-8.503855,50.08267
14.448046684,-51.39547,-8.203623,51.61171
14.547126293,-52.03273,-7.875643,52.74982
14.646205425,-52.36929,-7.538044,53.79096
14.747761249,-52.71011,-7.112464,54.68684
14.846840858,-54.45,-6.976857,55.95942
14.948397160,-55.90397,-6.7367,57.22482
15.047476292,-56.13994,-6.594436,57.76401
15.146555424,-56.61958,-6.538352,58.71582
15.248111725,-57.6501,-6.436613,59.95221
15.347190857,-58.3368,-6.315471,60.67799
15.446270466,-58.86568,-6.242438,61.40023
15.547826767,-59.8014,-6.083525,62.20673
15.646905899,-61.20377,-6.235668,63.56809
15.748462200,-62.18211,-6.301116,64.76389
15.847541809,-63.52839,-6.338093,65.93241
15.946620941,-65.78768,-6.226539,67.29912
16.048178196,-67.43614,-6.191687,68.12984
16.147257328,-69.66368,-6.203421,69.33677
16.246336937,-72.30695,-6.102666,70.88288
16.347893238,-75.15279,-5.935343,72.60101
16.446972370,-76.59473,-5.566618,73.6328
16.548529148,-79.13785,-5.33788,75.56561
16.647608280,-81.36717,-5.326707,76.68819
16.746688366,-82.55433,-5.20865,78.03149
16.848245144,-83.23395,-5.083417,79.72819
16.947324276,-84.56338,-5.049815,81.4251
17.046403885,-85.66692,-5.110854,82.90809
17.147960186,-86.61528,-5.114466,84.07626
17.247040272,-87.14526,-5.145145,84.99905
17.346119881,-87.41544,-5.211143,85.50437
17.447676182,-87.87568,-5.252054,85.67782
17.546755791,-88.00246,-5.202843,85.78537
17.648313045,-88.05176,-5.124536,85.94711
17.747392654,-88.05471,-5.092908,86.02236
17.846472263,-88.07245,-5.150032,85.92809
17.952982903,-88.02308,-5.215219,85.82548
18.047108650,-88.22044,-5.174381,85.87411
18.146188259,-88.35297,-5.25548,85.81586
18.247745037,-88.28513,-5.237697,85.70533
18.346825123,-88.41219,-5.301715,85.7601
18.448381901,-88.33506,-5.393486,85.69443
18.547461510,-88.08541,-5.426631,85.61897
18.646541595,-88.0817,-5.675408,85.65337
18.748098373,-88.00278,-5.722085,85.62599
18.847177982,-88.20761,-5.757933,85.81561
18.946258068,-88.34942,-5.741385,85.90392
19.047814846,-88.33211,-5.74936,85.90977
19.146894455,-88.56021,-5.838775,85.92825
19.248451710,-88.68542,-5.824649,85.95203
19.347532272,-89.07057,-5.837173,86.16977
19.446611881,-88.96228,-5.76443,86.13083
19.548168659,-88.7236,-5.785796,86.19144
19.647248745,-88.81037,-5.827536,86.28777
19.746328831,-88.80598,-5.949933,86.63135
19.847886085,-88.60468,-6.037384,86.83229
19.946965694,-88.60883,-6.15752,87.22636
20.046046257,-89.16611,-6.23557,87.77547
20.147603035,-89.06837,-6.261927,87.94112
20.246683121,-88.20797,-6.152745,87.73438
20.353194714,-88.23748,-6.032907,87.94485
20.447320461,-88.26946,-6.133364,88.28454
20.546400547,-88.10686,-6.219761,88.56197
20.647957802,-88.106,-6.169633,88.71793
20.747038364,-87.92617,-6.1786,88.84995
20.846117973,-88.1567,-6.107597,89.14266
20.947675705,-88.06097,-6.099174,89.19118
21.046755791,-87.66396,-6.043651,89.23579
21.148313046,-87.55161,-6.105633,89.31682
21.247393608,-86.95834,-6.192499,89.23353
21.346473694,-85.87112,-6.353219,89.15414
21.452984810,-84.221,-6.623639,89.15891
21.547111034,-82.08619,-6.729673,88.90319
21.646191597,-79.44998,-6.665534,88.52389
21.747748852,-76.3925,-6.812412,87.87148
21.846828937,-71.99535,-6.875269,86.66463
21.948386669,-68.20117,-6.70766,85.85897
22.047467232,-63.88273,-5.910747,84.603
22.146547318,-59.079,-5.166842,83.91095
22.248104572,-55.18461,-4.594658,83.50486
22.347185135,-51.66089,-4.038023,82.71622
22.446266174,-48.05015,-3.591014,82.09649
22.547822952,-44.03355,-3.270366,80.83827
22.646903515,-38.36901,-2.502005,79.67758
22.748461246,-31.24823,-1.040807,78.26701
22.847541332,-26.60243,0.4768705,79.58346
22.946622372,-21.92858,1.495242,79.85852
23.048179626,-16.49991,0.6408764,80.50907
23.147260666,-11.52553,0.1593596,81.40738
23.246341229,-7.407489,-0.4177564,81.24442
23.347898960,-3.614372,0.1553271,80.61081
23.446979046,-1.198453,-0.340286,80.24215
23.546060085,0.001371701,-1.7298,80.54237
23.647617817,-0.21274,-1.739968,80.7352
23.746698379,-0.6185223,-2.338107,82.34892
23.850733280,-1.203418,-2.684539,86.3855
23.947337151,-0.5483041,-2.944368,89.26239
24.046417236,0.45516,-3.509388,92.42616
24.147974968,0.007698395,-4.00441,95.67395
24.247056007,-0.4967419,-3.407529,100.7008
24.346136570,-0.5436428,-3.058834,105.5734
24.447694301,-0.2875684,-1.729897,109.6892
24.546775341,-1.402355,-2.050781,115.314
24.648333073,-1.327304,-1.41725,119.582
24.747414112,-1.479922,-1.975373,123.6217
24.846495151,-1.504718,-2.106302,126.748
24.948052883,-2.121309,-1.08012,135.3348
25.047133923,-1.553281,-1.217458,139.2539
25.146214962,-1.500071,-1.656698,146.318
25.247772694,-1.93983,-1.005047,154.6476
25.346853733,-1.706141,0.2310715,158.4652
25.448411465,-1.329317,0.1660207,168.9892
25.547492504,-1.744368,1.206395,173.999
25.646573543,-1.88384,0.7799383,177.6884
25.748131275,-2.204998,0.01585179,-178.7377
25.847212315,-1.155972,-1.137281,-178.8326
25.946293354,-0.07207111,-1.370762,-178.9786
26.047851563,0.23954,-1.378384,-179.0185
26.146932602,0.3148574,-1.641774,-179.4699
26.246014118,0.07241375,-1.902296,179.9505
26.347572327,-0.06953567,-1.738565,179.6112
26.446653366,0.08174101,-1.576948,179.5149
26.548211574,0.06756512,-1.151703,179.1769
26.647292614,0.1493945,-0.9310997,178.3838
26.746373653,0.2533843,-1.030871,177.6158
26.847932339,0.4582055,-1.028361,176.8863
26.947013378,0.36277,-1.079761,176.7043
27.046094418,0.1472519,-0.8488165,176.5374
27.147652626,0.2914918,-0.6850107,176.6049
27.246733666,0.4824784,-0.4935821,176.7668
27.355723381,0.515619,-0.321583,176.8085
27.447373867,0.6195372,0.02344937,177.0158
27.546454906,0.4788403,0.1827976,177.0101
27.648013115,0.4554821,0.2869113,177.1258
27.747095108,0.3947726,0.4018072,177.2491
27.846176147,0.2896909,0.4852006,177.3516
27.947734356,0.3800954,0.6026292,177.5492
28.046816349,0.530776,0.6352807,177.6568
28.148374558,0.4863045,0.8856401,177.6494
28.247455597,0.3439806,1.030296,177.3205
28.346537113,0.3918326,1.033149,177.0066
28.448095798,0.3931158,1.070921,176.7272
28.547177315,0.3471683,1.103166,176.2719
28.646258354,0.3143719,1.309989,176.1641
28.747817516,0.3721984,1.345789,176.287
28.846898556,0.4336334,1.402905,176.5581
28.945980072,0.5096064,1.466743,176.979
